frame	x	y	width	height
1	75	141	39	36
2	74	140	39	36
3	74	138	39	37
4	73	137	39	38
5	72	135	40	38
6	71	133	40	39
7	71	132	40	40
8	70	130	40	40
9	69	129	40	41
10	68	127	40	42
11	67	125	40	42
12	67	124	40	43
13	66	122	40	44
14	65	121	40	44
15	64	119	40	45
16	64	117	40	46
17	65	114	40	46
18	65	110	40	47
19	65	106	39	48
20	64	102	38	48
21	64	98	38	49
22	65	96	38	48
23	67	93	39	46
24	68	90	39	45
25	69	87	39	44
26	70	85	40	44
27	71	82	42	44
28	72	79	44	44
29	73	77	46	44
30	74	74	48	44
31	75	71	50	44
32	76	69	52	44
33	77	66	53	44
34	76	64	53	44
35	76	61	52	44
36	76	58	51	44
37	76	56	50	44
38	76	53	50	44
39	76	51	49	44
40	76	48	48	44
41	75	45	48	44
42	75	45	47	44
43	75	45	46	44
44	74	44	46	44
45	74	44	45	44
46	74	45	45	43
47	74	46	45	43
48	74	47	45	42
49	74	48	45	42
50	74	49	45	41
51	74	50	45	41
52	74	51	45	40
53	73	52	46	40
54	73	53	46	39
55	74	57	44	40
56	75	60	42	40
57	76	64	40	41
58	76	68	39	41
59	77	71	37	42
60	74	69	44	48
61	76	70	44	49
62	77	70	45	50
63	79	70	45	50
64	80	70	46	51
65	81	70	46	52
66	83	68	47	53
67	83	69	46	52
68	84	70	46	52
69	85	71	45	52
70	85	73	45	51
71	86	74	44	51
72	86	73	43	51
73	86	73	43	51
74	86	73	42	50
75	87	72	42	50
76	87	72	41	50
77	87	72	41	49
78	87	72	40	49
79	88	71	39	49
80	88	71	39	49
81	88	71	39	48
82	88	70	39	48
83	88	70	39	48
84	89	70	38	48
85	89	69	38	48
86	89	69	38	48
87	89	69	38	47
88	90	68	37	47
89	91	70	40	44
90	91	70	40	45
91	91	69	40	45
92	92	69	39	46
93	92	69	39	47
94	92	68	39	47
95	92	68	39	48
96	93	68	38	48
97	93	67	38	49
98	93	67	38	50
99	94	67	37	50
100	94	66	37	51
101	94	66	37	51
102	95	66	37	51
103	96	65	37	51
104	97	65	37	50
105	98	64	37	50
106	99	64	37	50
107	100	63	37	50
108	100	64	37	49
109	99	64	37	49
110	99	64	37	49
111	99	64	37	48
112	98	65	37	48
113	98	65	37	48
114	97	65	37	48
115	97	66	38	47
116	97	66	39	47
117	96	67	39	47
118	96	67	40	47
119	95	67	41	47
120	95	68	42	47
121	94	68	42	47
122	94	69	43	46
123	93	69	44	46
124	93	70	44	46
125	92	70	45	46
126	92	70	46	46
127	91	71	47	46
128	90	71	48	47
129	88	70	50	49
130	88	71	49	49
131	88	73	49	49
132	89	74	48	49
133	89	75	47	48
134	89	77	47	48
135	89	78	46	48
136	90	80	45	45
137	92	83	43	43
138	93	86	42	40
139	94	85	42	41
140	95	84	42	41
141	96	84	42	42
142	97	83	42	43
143	99	82	42	43
144	101	81	42	42
145	102	80	42	42
146	104	78	42	42
147	105	77	43	42
148	107	76	43	42
149	108	75	43	41
150	110	74	43	41
151	112	73	43	41
152	113	74	43	39
153	115	74	43	36
154	116	75	43	34
155	118	76	43	32
156	120	77	43	29
157	120	76	43	30
158	119	75	44	31
159	119	74	44	32
160	119	72	45	33
161	118	71	45	33
162	118	70	46	34
163	118	69	46	35
164	118	68	46	36
165	122	75	40	20
166	122	74	41	21
167	123	73	42	23
168	123	71	43	24
169	123	70	44	25
170	123	69	45	26
171	124	68	46	27
172	124	67	47	29
173	124	65	48	30
174	125	64	49	31
175	126	65	49	31
176	127	65	49	30
177	128	66	48	30
178	129	66	48	30
179	130	67	48	30
180	131	67	48	29
181	132	68	48	29
182	133	68	48	29
183	132	62	48	38
184	133	63	48	37
185	133	64	48	37
186	134	65	48	36
187	135	67	48	36
188	135	68	48	35
189	136	70	48	34
190	137	73	48	32
191	137	76	47	31
192	138	79	47	29
193	138	80	45	29
194	139	81	43	29
195	139	82	41	29
196	137	85	43	29
197	136	87	45	29
198	135	90	47	29
199	133	92	49	29
200	133	92	48	28
201	133	91	47	27
202	132	91	46	26
203	132	91	45	26
204	131	90	44	25
205	131	90	43	24
206	129	89	43	25
207	128	89	43	26
208	127	89	43	27
209	125	88	43	28
210	124	88	43	29
211	123	87	43	29
212	120	84	44	33
213	116	81	46	36
214	116	81	43	38
215	116	81	39	40
216	114	80	40	41
217	112	79	40	42
218	110	79	41	42
219	109	78	41	43
220	107	77	41	44
221	105	76	42	45
222	106	77	42	45
223	106	77	42	46
224	106	77	42	46
225	106	78	42	47
226	106	78	43	47
227	110	79	38	43
228	111	78	38	43
229	113	78	38	43
230	114	78	38	44
231	116	77	38	44
232	117	77	38	44
233	119	76	38	45
234	120	76	38	45
235	121	75	39	45
236	123	74	40	45
237	124	73	41	46
238	125	72	42	46
239	126	71	43	46
240	127	70	44	47
241	129	70	45	47
242	130	69	46	47
243	132	68	47	47
244	134	67	48	47
245	136	66	50	47
246	140	67	48	44
247	144	67	46	40
248	147	68	44	37
249	149	66	46	39
250	150	63	49	41
251	151	60	51	43
252	150	59	52	44
253	149	57	52	45
254	148	56	53	46
255	148	55	53	48
256	147	53	53	49
257	146	52	54	50
258	145	51	54	51
259	144	49	55	52
260	146	48	54	51
261	147	47	53	51
262	148	46	52	50
263	149	45	51	50
264	151	44	50	49
265	152	43	49	49
266	154	42	48	48
267	157	41	47	47
268	159	40	46	46
269	161	39	45	44
270	164	38	44	43
271	164	37	45	44
272	164	36	45	45
273	164	36	46	45
274	164	35	46	46
275	164	34	47	47
276	165	33	48	48
277	165	32	48	48
278	165	31	49	49
279	164	32	49	50
280	164	32	50	50
281	164	32	50	50
282	164	33	50	50
283	164	33	51	50
284	163	33	51	50
285	163	34	51	49
286	163	34	52	49
287	163	35	52	49
288	163	35	52	49
289	163	35	52	49
290	163	36	53	49
291	163	36	53	48
292	163	36	53	48
293	162	37	54	48
294	162	36	54	48
295	162	36	54	48
296	162	36	54	48
297	162	36	54	48
298	162	36	54	48
299	161	35	55	48
300	161	35	55	48
301	161	35	55	48
302	161	35	55	48
303	161	34	55	48
304	161	34	55	48
305	160	34	56	48
306	160	34	56	48
307	160	34	56	47
308	160	34	56	47
309	160	34	56	47
310	159	34	56	47
311	159	34	56	47
312	159	34	55	47
313	159	34	55	47
314	158	33	55	47
315	158	33	55	46
316	158	33	55	46
317	158	33	55	46
318	158	33	55	46
319	157	34	55	46
320	157	35	54	46
321	156	36	53	46
322	156	36	53	46
323	156	37	52	46
324	155	38	51	46
325	154	39	51	46
326	153	40	51	45
327	152	41	52	45
328	150	42	52	44
329	150	42	51	44
330	150	42	50	44
331	150	44	49	42
332	149	45	48	40
333	149	47	47	37
334	148	49	45	35
335	148	50	44	33
336	147	52	43	31
337	148	52	45	31
338	148	54	45	30
339	148	55	45	29
340	148	56	46	28
341	148	58	46	27
342	148	59	46	26
343	149	61	47	26
344	148	60	47	25
345	148	60	47	25
346	147	60	47	25
347	147	60	47	25
348	146	59	47	25
349	146	59	47	25
350	145	59	47	25
351	145	59	47	25
352	145	59	48	25
353	144	59	48	24
354	144	59	48	24
355	144	60	48	24
356	144	60	48	24
357	143	60	48	23
358	143	62	48	23
359	143	63	48	23
360	143	64	48	23
361	143	66	48	23
362	143	67	47	23
363	143	68	47	24
364	143	70	47	25
365	143	71	47	26
366	143	73	47	27
