frame	x	y	width	height
2	75	140	39	36
3	76	139	39	36
4	75	137	39	36
5	75	135	39	36
6	75	135	39	36
7	75	133	39	36
8	74	132	39	36
9	75	130	39	36
10	75	129	39	36
11	75	128	39	36
12	75	125	39	36
13	74	124	39	36
14	74	122	39	36
15	73	120	39	36
16	72	119	39	36
17	72	116	39	36
18	72	112	39	36
19	72	108	39	36
20	72	104	39	36
21	71	101	39	36
22	72	99	39	36
23	71	96	39	36
24	72	94	41	38
25	74	90	41	38
26	74	88	41	38
27	76	86	41	38
28	78	83	41	38
29	78	80	43	40
30	80	80	43	40
31	80	79	43	40
32	81	77	43	40
33	82	74	43	40
34	81	71	43	40
35	82	67	43	40
36	80	65	43	40
37	81	63	41	38
38	80	60	41	38
39	78	58	41	38
40	78	56	41	38
41	77	53	41	38
42	77	52	41	38
43	76	51	41	38
44	75	51	41	38
45	76	51	41	38
46	75	50	41	38
47	75	50	41	38
48	75	51	41	38
49	74	52	41	38
50	74	53	41	38
51	74	55	39	36
52	75	55	39	36
53	75	55	39	36
54	75	57	39	36
55	76	60	39	36
56	77	63	39	36
57	77	66	39	36
58	80	66	41	38
59	80	69	41	38
60	79	72	43	40
61	83	73	43	40
62	84	74	43	40
63	85	74	43	40
64	86	74	43	40
65	87	74	43	40
66	89	73	43	40
67	91	73	43	40
68	91	74	43	40
69	92	74	43	40
70	91	75	43	40
71	92	76	43	40
72	92	76	43	40
73	94	76	41	38
74	93	76	41	38
75	91	76	43	40
76	92	76	43	40
77	91	75	43	40
78	91	75	43	40
79	91	74	43	40
80	92	74	43	40
81	91	74	43	40
82	92	74	43	40
83	92	73	43	40
84	92	73	43	40
85	92	73	43	40
86	92	72	43	40
87	93	72	43	40
88	93	71	43	40
89	93	70	43	40
90	94	70	43	40
91	94	70	43	40
92	95	70	43	40
93	95	69	43	40
94	95	69	43	40
95	96	68	43	40
96	95	67	43	40
97	96	67	43	40
98	97	68	43	40
99	97	67	43	40
100	97	67	43	40
101	98	67	43	40
102	98	66	43	40
103	98	66	43	40
104	100	67	43	40
105	100	66	43	40
106	102	66	43	40
107	102	66	43	40
108	103	66	43	40
109	103	65	43	40
110	102	65	43	40
111	101	65	43	40
112	101	65	43	40
113	101	65	43	40
114	99	65	43	40
115	100	67	43	40
116	99	68	43	40
117	99	69	43	40
118	99	70	43	40
119	98	69	45	42
120	98	69	45	42
121	99	70	45	42
122	99	71	45	42
123	99	71	45	42
124	99	71	45	42
125	99	72	45	42
126	99	72	45	42
127	98	73	45	42
128	98	74	45	42
129	98	75	45	42
130	98	75	45	42
131	98	76	45	42
132	96	76	47	44
133	96	76	47	44
134	95	76	47	44
135	96	79	47	44
136	96	80	47	44
137	97	81	47	44
138	97	81	47	44
139	98	82	47	44
140	98	82	47	44
141	99	82	47	44
142	98	82	47	44
143	99	81	47	44
144	100	80	47	44
145	101	79	47	44
146	104	77	47	44
147	106	77	47	44
148	107	76	47	44
149	110	73	47	44
150	111	73	47	44
151	111	73	47	44
152	111	73	47	44
153	111	73	47	44
154	110	73	47	44
155	111	74	47	44
156	110	74	47	44
157	110	74	47	44
158	110	74	45	42
159	111	73	45	42
160	110	72	45	42
161	111	71	45	42
162	111	71	45	42
163	110	70	45	42
164	111	70	45	42
165	111	70	45	42
166	112	70	45	42
167	111	70	45	42
168	112	69	45	42
169	113	69	45	42
170	115	68	45	42
171	116	68	45	42
172	117	67	45	42
173	118	66	45	42
174	119	65	45	42
175	119	64	45	42
176	120	64	45	42
177	120	64	45	42
178	121	63	45	42
179	121	63	45	42
180	123	63	45	42
181	123	63	45	42
182	123	63	45	42
183	123	64	45	42
184	124	65	45	42
185	126	65	45	42
186	127	67	45	42
187	129	67	45	42
188	130	69	45	42
189	133	71	45	42
190	134	73	45	42
191	133	73	45	42
192	134	74	45	42
193	132	73	47	44
194	132	75	45	42
195	133	75	45	42
196	132	75	45	42
197	132	75	45	42
198	130	76	45	42
199	131	76	45	42
200	129	76	45	42
201	129	76	45	42
202	128	75	45	42
203	127	76	45	42
204	125	78	43	40
205	124	78	43	40
206	123	79	41	38
207	123	79	41	38
208	122	80	41	38
209	121	81	41	38
210	121	82	41	38
211	120	82	41	38
212	119	83	41	38
213	119	82	41	38
214	120	81	41	38
215	118	81	41	38
216	118	81	41	38
217	114	81	43	40
218	111	81	43	40
219	110	79	43	40
220	109	78	43	40
221	109	78	43	40
222	109	78	43	40
223	109	78	43	40
224	109	78	43	40
225	110	78	43	40
226	110	78	43	40
227	111	79	43	40
228	111	79	43	40
229	113	79	43	40
230	114	79	43	40
231	115	79	43	40
232	117	79	43	40
233	119	78	43	40
234	121	77	43	40
235	122	76	43	40
236	123	76	43	40
237	125	76	43	40
238	126	75	43	40
239	127	75	43	40
240	129	74	43	40
241	131	73	43	40
242	132	73	43	40
243	135	72	43	40
244	138	71	43	40
245	140	70	43	40
246	143	70	43	40
247	145	71	43	40
248	146	71	43	40
249	148	70	43	40
250	147	68	45	42
251	147	66	47	44
252	147	65	47	44
253	148	63	47	44
254	147	61	47	44
255	147	60	47	44
256	147	59	47	44
257	147	58	47	44
258	146	56	47	44
259	146	55	47	44
260	147	54	47	44
261	148	52	47	44
262	149	51	47	44
263	151	50	47	44
264	152	49	47	44
265	155	45	47	44
266	155	45	47	44
267	156	44	47	44
268	157	42	47	44
269	161	39	47	44
270	162	39	47	44
271	162	37	47	44
272	164	37	47	44
273	164	36	47	44
274	164	35	47	44
275	165	35	47	44
276	165	35	47	44
277	165	35	47	44
278	166	35	47	44
279	167	35	47	44
280	167	35	47	44
281	167	35	47	44
282	167	35	47	44
283	167	36	47	44
284	168	37	47	44
285	167	38	47	44
286	167	38	47	44
287	167	39	47	44
288	167	39	47	44
289	166	39	47	44
290	167	39	47	44
291	166	40	47	44
292	166	41	47	44
293	165	41	47	44
294	164	41	47	44
295	163	41	47	44
296	163	41	47	44
297	163	42	47	44
298	162	41	47	44
299	162	41	47	44
300	162	41	47	44
301	162	41	47	44
302	162	41	47	44
303	162	41	47	44
304	162	40	47	44
305	162	41	47	44
306	162	40	47	44
307	162	40	47	44
308	162	40	47	44
309	162	40	47	44
310	162	39	47	44
311	161	39	47	44
312	161	39	47	44
313	160	39	47	44
314	160	39	47	44
315	159	38	47	44
316	159	38	47	44
317	158	38	47	44
318	158	39	47	44
319	158	39	47	44
320	157	39	47	44
321	157	39	47	44
322	156	39	47	44
323	156	40	47	44
324	155	40	47	44
325	154	41	47	44
326	154	43	47	44
327	152	44	47	44
328	151	44	47	44
329	150	44	47	44
330	149	45	47	44
331	148	46	47	44
332	147	46	47	44
333	146	47	47	44
334	146	47	47	44
335	143	48	47	44
336	143	48	47	44
337	141	49	47	44
338	141	50	47	44
339	139	52	47	44
340	139	53	47	44
341	139	54	47	44
342	138	55	47	44
343	138	55	47	44
344	138	55	47	44
345	137	54	47	44
346	137	54	47	44
347	136	54	47	44
348	136	54	47	44
349	136	54	47	44
350	135	54	50	46
351	135	54	50	46
352	135	54	50	46
353	134	54	50	46
354	133	53	50	46
355	134	53	50	46
356	133	53	50	46
357	133	54	50	46
358	133	54	50	46
359	133	55	50	46
360	133	56	50	46
361	133	57	50	46
362	133	59	50	46
363	133	61	50	46
364	133	62	50	46
365	133	63	50	46
