frame	ave_fps
2	94.7127
3	81.1838
4	88.3239
5	80.9487
6	79.2737
7	81.9519
8	78.5722
9	80.9101
10	86.0417
11	91.4175
12	96.0053
13	100.407
14	103.501
15	107.275
16	110.886
17	113.848
18	116.788
19	118.631
20	121.238
21	123.463
22	125.036
23	127.039
24	129.196
25	130.584
26	130.204
27	132.142
28	133.824
29	135.337
30	133.951
31	131.826
32	132.595
33	132.291
34	133.638
35	134.972
36	135.682
37	136.934
38	137.9
39	139.049
40	139.677
41	140.784
42	141.753
43	137.859
44	138.585
45	139.629
46	140.409
47	141.012
48	141.992
49	142.59
50	143.485
51	143.343
52	143.675
53	144.481
54	144.997
55	145.589
56	145.701
57	145.507
58	146.141
59	146.522
60	147.22
61	147.863
62	145.813
63	146.354
64	146.897
65	147.274
66	147.877
67	148.068
68	148.646
69	149.098
70	149.654
71	150.221
72	150.706
73	151.098
74	151.35
75	151.941
76	152.122
77	152.582
78	152.698
79	151.264
80	151.733
81	152.24
82	152.383
83	152.498
84	152.952
85	153.228
86	153.702
87	153.812
88	154.197
89	154.63
90	155.073
91	153.867
92	154.274
93	154.585
94	155.002
95	155.276
96	155.676
97	155.849
98	156.254
99	156.477
100	156.797
101	156.033
102	156.206
103	156.528
104	156.828
105	157.156
106	157.439
107	157.819
108	158.193
109	158.406
110	158.731
111	158.482
112	158.798
113	159.072
114	159.387
115	159.7
116	159.875
117	160.16
118	160.296
119	160.564
120	160.62
121	160.896
122	160.515
123	160.616
124	160.491
125	160.712
126	160.998
127	161.262
128	159.637
129	159.436
130	159.448
131	159.66
132	159.868
133	160.101
134	160.34
135	160.531
136	160.642
137	160.663
138	160.932
139	161.155
140	159.595
141	159.569
142	159.686
143	159.924
144	160.154
145	160.315
146	160.37
147	160.608
148	160.164
149	160.311
150	160.469
151	160.578
152	160.781
153	160.779
154	160.979
155	161.157
156	161.037
157	160.302
158	160.464
159	159.922
160	159.936
161	160.14
162	160.259
163	160.441
164	160.45
165	160.606
166	160.723
167	160.896
168	161.089
169	161.143
170	161.304
171	161.336
172	161.548
173	161.736
174	161.914
175	162.02
176	161.306
177	161.469
178	161.491
179	161.649
180	161.586
181	161.771
182	161.96
183	162.133
184	162.305
185	162.39
186	162.564
187	162.641
188	162.793
189	162.593
190	162.677
191	162.657
192	162.85
193	162.933
194	163.09
195	163.2
196	163.349
197	163.517
198	163.613
199	163.775
200	163.641
201	163.817
202	163.886
203	164.059
204	164.176
205	164.272
206	164.416
207	164.58
208	164.72
209	164.819
210	164.948
211	164.962
212	165.104
213	165.217
214	165.35
215	165.463
216	165.584
217	165.733
218	165.82
219	165.957
220	165.996
221	166.133
222	165.815
223	165.688
224	165.813
225	165.862
226	165.967
227	165.314
228	165.296
229	165.29
230	165.362
231	165.46
232	165.414
233	165.521
234	165.617
235	165.659
236	165.73
237	165.716
238	165.846
239	165.151
240	165.113
241	165.057
242	165.206
243	165.302
244	165.403
245	165.517
246	165.566
247	165.661
248	165.666
249	165.794
250	165.676
251	165.618
252	165.728
253	165.607
254	165.655
255	165.763
256	165.851
257	165.927
258	165.819
259	165.804
260	165.835
261	165.968
262	166.081
263	166.162
264	166.256
265	166.25
266	166.329
267	166.357
268	166.466
269	166.574
270	166.675
271	166.699
272	166.722
273	166.837
274	166.865
275	166.979
276	166.688
277	166.675
278	166.767
279	166.751
280	166.868
281	166.862
282	166.95
283	167.041
284	167.123
285	167.224
286	167.231
287	167.219
288	166.777
289	166.697
290	166.612
291	166.726
292	166.839
293	166.941
294	167.005
295	167.079
296	167.169
297	167.199
298	167.303
299	167.261
300	167.372
301	167.461
302	167.567
303	167.662
304	167.717
305	167.816
306	167.876
307	167.979
308	168.027
309	168.139
310	168.13
311	168.235
312	168.315
313	168.41
314	168.496
315	168.559
316	168.641
317	168.689
318	168.792
319	168.826
320	168.908
321	168.611
322	168.583
323	168.674
324	168.662
325	168.765
326	167.941
327	168.027
328	168.032
329	168.055
330	168.123
331	168.154
332	168.229
333	168.266
334	168.354
335	168.065
336	168.091
337	168.175
338	167.933
339	167.686
340	167.767
341	167.86
342	167.919
343	168.003
344	167.929
345	167.993
346	167.941
347	168.031
348	168.09
349	168.172
350	168.1
351	167.951
352	167.847
353	167.924
354	167.848
355	167.902
356	167.787
357	167.85
358	167.682
359	167.442
360	167.494
361	167.573
362	167.611
363	167.678
364	167.616
365	167.687
366	167.744
367	167.827
368	167.906
369	168
370	168.067
371	168.157
372	168.175
373	168.173
374	168.223
375	167.886
376	167.743
377	167.614
378	167.686
379	167.758
380	167.843
381	167.875
382	167.907
383	167.995
384	167.959
385	168.03
386	168.064
387	168.13
388	167.678
389	167.767
390	167.69
391	167.767
392	167.842
393	167.928
394	167.987
395	168.06
396	168.142
397	168.218
398	168.294
399	168.245
400	168.323
401	168.297
402	168.365
403	168.399
404	168.463
405	168.521
406	168.601
407	168.676
408	168.747
409	168.821
410	168.905
411	168.958
412	168.971
413	169.034
414	169.053
415	169.121
416	169.163
417	169.237
418	169.251
419	169.319
420	169.37
421	169.422
422	169.415
423	169.207
424	169.27
425	169.34
426	169.414
427	169.201
428	169.17
429	169.006
430	169.019
431	169.084
432	169.034
433	169.105
434	169.136
435	169.208
436	169.021
437	169.065
438	169.134
439	169.17
440	168.602
441	168.667
442	168.552
443	168.626
444	168.702
445	168.771
446	168.833
447	168.901
448	168.937
449	168.974
450	169.039
451	169.024
452	168.972
453	168.849
454	168.814
455	168.755
456	168.797
457	168.826
458	168.736
459	168.687
460	168.403
461	168.479
462	168.481
