frame	x	y	width	height
1	274	67	23	67
2	275	66	23	67
3	275	66	23	67
4	275	67	23	67
5	276	67	23	67
6	276	66	23	67
7	276	65	23	67
8	276	64	23	67
9	276	64	23	68
10	276	64	23	68
11	276	65	23	68
12	276	65	23	68
13	276	65	23	68
14	277	64	23	68
15	277	64	23	68
16	276	65	23	68
17	276	65	23	69
18	276	65	23	69
19	276	64	23	69
20	275	64	23	69
21	275	64	23	69
22	274	64	23	69
23	275	65	23	69
24	276	64	23	69
25	276	63	23	70
26	277	63	23	70
27	277	62	23	70
28	277	62	23	70
29	277	62	23	70
30	276	62	23	70
31	276	62	23	70
32	276	61	23	70
33	276	61	24	71
34	275	61	24	71
35	275	62	24	71
36	275	61	24	71
37	275	61	24	71
38	276	61	24	71
39	277	61	24	71
40	275	61	24	71
41	275	61	24	71
42	276	62	24	71
43	275	60	24	71
44	275	60	24	71
45	274	61	24	71
46	274	61	24	71
47	273	63	25	71
48	273	62	25	71
49	274	62	25	71
50	275	62	25	71
51	275	62	25	71
52	274	62	25	71
53	274	61	25	71
54	274	61	25	71
55	274	61	25	71
56	273	61	25	71
57	273	61	25	71
58	273	61	25	71
59	272	61	25	71
60	272	61	25	71
61	272	61	26	72
62	272	62	26	72
63	271	62	26	72
64	271	62	26	72
65	271	62	26	72
66	271	62	26	72
67	270	62	26	72
68	270	63	26	72
69	270	63	26	72
70	270	63	26	72
71	269	62	26	72
72	269	61	26	72
73	269	60	26	72
74	268	60	26	72
75	268	60	27	72
76	268	60	27	72
77	267	60	27	72
78	267	60	27	72
79	266	60	27	72
80	266	60	27	72
81	266	59	27	72
82	266	59	27	72
83	266	58	27	72
84	266	58	27	72
85	266	58	27	72
86	266	58	27	72
87	266	58	27	72
88	265	61	27	72
89	265	64	28	73
90	264	60	28	73
91	264	60	28	73
92	264	60	28	73
93	265	62	28	74
94	266	64	28	74
95	267	66	28	74
96	267	70	28	74
97	268	71	28	75
98	269	72	28	75
99	270	73	28	75
100	271	74	28	76
101	269	73	28	77
102	268	72	29	78
103	267	72	29	80
104	266	71	30	81
105	264	71	31	82
106	263	70	31	84
107	262	69	32	85
108	261	66	33	87
109	261	66	33	86
110	261	66	33	86
111	262	66	33	86
112	262	66	33	86
113	262	66	33	86
114	263	66	33	86
115	263	67	33	86
116	263	67	33	86
117	264	67	33	86
118	264	67	33	86
119	266	66	33	86
120	267	65	33	86
121	269	64	34	86
122	271	64	34	86
123	271	64	34	86
124	272	65	34	86
125	273	66	34	86
126	273	64	34	86
127	274	63	34	86
128	274	64	34	86
129	273	65	34	86
130	273	65	34	86
131	274	64	34	86
132	275	63	34	86
133	275	64	35	86
134	276	65	35	86
135	276	66	35	86
136	276	65	35	86
137	276	65	35	86
138	277	64	35	86
139	277	63	35	86
140	277	63	35	86
141	278	63	35	86
142	279	63	35	86
143	280	63	35	86
144	281	63	35	86
145	282	64	36	86
146	281	64	36	85
147	281	65	36	85
148	281	65	36	85
149	281	66	36	85
150	282	66	36	85
151	282	66	36	85
152	282	67	37	85
153	283	67	37	85
154	283	65	37	85
155	283	64	37	85
156	284	64	37	85
157	284	63	37	85
158	285	63	38	85
159	285	63	38	85
160	284	60	38	85
161	282	57	38	85
162	282	56	38	85
163	283	55	38	85
164	286	55	39	85
165	286	54	38	85
166	287	53	38	85
167	288	52	37	85
168	288	52	37	86
169	288	52	36	86
170	288	52	36	86
171	289	53	35	86
172	289	53	35	87
173	289	53	34	87
174	289	53	34	87
175	290	54	33	87
176	290	54	33	88
177	290	54	32	88
178	290	54	32	88
179	291	55	32	89
180	291	54	31	89
181	291	54	31	89
182	292	54	31	89
183	292	54	31	89
184	293	54	31	89
185	293	54	31	90
186	293	53	31	90
187	293	54	31	90
188	293	54	31	90
189	293	54	31	90
190	294	53	31	90
191	295	52	31	91
192	295	53	31	91
193	295	53	31	91
194	295	54	31	91
195	295	55	31	91
196	296	55	31	91
197	294	54	31	92
198	294	54	30	92
199	294	54	30	93
200	294	55	30	94
201	294	54	30	94
202	294	54	30	95
203	295	54	30	96
204	295	54	30	96
205	295	54	30	97
206	296	54	30	98
207	296	54	30	98
208	296	55	30	99
209	296	55	30	100
210	296	55	30	100
211	296	56	30	101
212	296	56	30	102
213	297	55	30	103
214	297	54	30	103
215	298	53	30	104
216	298	54	30	105
217	298	56	30	105
218	298	57	30	106
219	298	55	30	107
220	298	54	30	107
221	299	53	30	108
222	299	53	30	109
223	299	53	30	109
224	299	53	30	110
225	299	53	30	111
226	299	54	30	112
227	300	53	30	112
228	303	52	31	112
229	303	53	32	112
230	303	55	32	112
231	302	54	33	112
232	301	54	34	112
233	300	53	35	112
234	300	53	35	112
235	300	53	36	112
236	301	52	37	112
237	301	52	38	112
238	301	52	38	112
239	302	51	39	112
240	302	51	40	112
241	303	57	41	113
242	303	57	41	111
243	303	55	41	111
244	303	54	41	112
245	303	55	41	113
246	303	55	41	113
247	303	55	41	114
248	304	56	41	115
249	303	56	41	110
250	303	56	41	105
251	302	57	41	101
252	302	57	41	97
253	301	57	41	92
254	301	58	42	88
255	300	56	43	95
256	299	54	45	103
257	298	53	47	111
258	298	53	46	112
259	298	53	46	113
260	299	53	46	114
261	299	53	46	115
262	299	53	46	116
263	300	54	46	117
264	300	54	46	118
265	300	54	46	119
266	301	54	46	119
267	301	54	46	121
268	301	55	46	121
269	300	55	46	123
270	299	56	46	124
271	299	57	46	125
272	299	56	46	125
273	300	55	46	125
274	301	54	46	126
275	301	54	46	126
276	301	55	46	126
277	301	55	46	127
278	301	56	46	127
279	301	56	46	127
280	301	57	46	128
281	301	57	46	128
282	301	58	46	129
283	300	61	45	131
284	300	60	45	129
285	301	59	46	128
286	299	55	46	128
287	299	54	47	129
288	300	54	47	130
289	299	55	48	131
290	298	57	49	132
291	297	57	49	133
292	295	56	50	134
293	294	55	50	135
294	294	56	51	136
295	294	57	52	137
296	293	56	52	136
297	292	56	52	136
298	292	55	52	136
299	291	55	53	136
300	291	55	53	135
301	291	56	53	135
302	291	57	53	135
303	291	58	54	135
304	289	57	54	135
305	287	56	54	136
306	286	55	55	137
307	284	55	55	138
308	282	54	55	139
309	281	53	56	140
310	279	53	56	141
311	277	52	56	142
312	275	53	57	143
313	272	54	57	144
314	270	55	57	145
315	268	57	58	146
316	269	58	58	146
317	268	58	58	146
318	267	58	58	146
319	265	63	55	138
320	264	62	56	137
321	264	62	56	137
322	263	62	57	136
323	262	61	58	135
324	262	61	58	135
325	261	61	59	134
326	260	60	59	133
327	260	60	60	133
328	259	60	61	132
329	259	59	61	131
330	258	59	62	130
331	259	60	59	136
332	261	60	56	141
333	263	61	53	147
334	258	64	59	142
335	257	63	58	144
336	257	62	58	146
337	257	61	57	148
338	256	60	57	150
339	256	59	56	152
340	256	58	56	154
341	256	57	55	156
342	255	56	55	158
343	255	55	54	160
344	255	54	54	162
345	255	53	54	165
346	254	53	53	164
347	254	53	54	163
348	254	53	54	162
349	254	53	54	161
350	254	53	54	161
351	254	53	53	160
352	254	53	54	159
353	254	53	54	158
354	254	53	54	157
355	254	54	54	157
356	254	54	54	157
357	255	54	54	158
358	256	54	54	158
359	257	54	55	159
360	257	54	55	159
361	258	54	55	160
362	259	54	55	160
363	260	54	56	161
364	261	54	56	161
365	261	55	56	162
366	262	55	57	163
367	263	55	57	163
368	264	55	57	164
369	265	55	57	164
370	265	55	58	165
371	266	55	58	165
372	267	55	58	166
373	268	55	58	166
374	269	55	59	167
375	269	56	59	168
376	270	56	59	168
377	271	56	60	169
378	272	56	60	169
379	273	56	60	170
380	273	56	60	170
381	274	56	61	171
382	275	56	61	171
383	276	56	61	172
384	277	57	62	173
385	278	56	61	173
386	279	56	60	174
387	280	56	59	174
388	282	55	59	175
389	283	55	58	176
390	284	55	57	176
391	286	54	57	177
392	287	54	56	177
393	288	54	55	178
394	290	54	55	179
395	290	53	55	179
396	290	52	55	180
397	290	52	56	181
398	290	51	56	182
399	291	51	56	183
400	291	50	57	184
401	291	49	57	185
402	291	49	57	186
403	292	48	58	186
404	292	48	58	187
405	292	47	58	188
406	292	46	59	189
407	293	46	59	190
408	293	45	59	191
409	293	45	60	192
410	293	44	60	193
411	294	44	61	194
412	293	43	61	194
413	293	43	61	194
414	293	43	61	194
415	293	42	61	195
416	293	42	61	195
417	293	42	61	195
418	293	42	61	195
419	293	41	61	196
420	293	41	61	196
421	292	41	61	196
422	292	41	61	196
423	292	40	61	197
424	292	40	61	197
425	292	40	61	197
426	292	40	61	197
427	292	39	61	198
428	292	39	61	198
429	292	39	61	198
430	292	39	62	199
431	292	38	62	199
432	292	38	62	199
433	292	37	62	199
434	292	37	63	199
435	293	37	63	199
436	293	36	63	199
437	293	36	64	199
438	293	36	64	199
439	293	35	64	199
440	294	35	64	199
441	294	35	65	199
442	294	34	65	199
443	294	34	65	199
444	295	34	66	200
445	286	34	87	202
446	277	34	108	205
447	280	33	105	207
448	282	32	102	209
449	284	31	100	210
450	287	30	97	212
451	289	29	94	214
452	291	28	92	216
453	294	27	89	218
454	296	26	86	220
455	299	26	84	222
456	301	31	80	214
457	303	30	79	214
458	305	30	79	215
459	308	30	78	215
460	310	30	78	216
461	313	30	77	216
462	315	30	77	217
463	318	30	77	218
464	315	30	77	217
465	313	30	78	217
466	311	30	79	217
467	309	30	80	217
468	307	30	81	217
469	305	30	82	217
470	303	31	83	217
471	300	31	87	218
472	298	31	91	219
473	296	32	96	220
474	294	32	100	222
475	292	30	103	219
476	290	30	106	216
477	287	29	108	214
478	283	32	111	211
479	278	35	113	209
480	275	34	116	206
481	272	34	119	204
482	261	30	136	213
483	260	28	136	213
484	262	30	136	213
485	264	33	137	213
486	265	31	138	213
487	267	28	139	213
488	269	25	140	213
489	271	23	141	214
490	279	25	124	217
491	287	27	107	220
492	295	29	90	224
493	293	27	95	223
494	291	25	100	222
495	296	22	95	229
496	301	20	91	237
497	298	21	98	234
498	293	25	105	232
499	287	34	113	230
500	280	36	120	228
501	278	28	127	225
502	274	21	135	223
503	270	20	142	221
504	265	21	149	219
505	262	27	157	217
506	259	32	158	217
507	254	29	159	217
508	250	26	160	217
509	246	23	161	217
510	242	20	162	218
511	278	25	99	235
512	273	29	118	232
513	281	30	98	235
514	267	23	125	231
515	269	13	113	247
516	260	11	123	258
517	261	13	117	259
518	253	19	127	252
519	238	22	149	258
520	235	36	142	242
521	222	40	135	245
522	206	41	139	229
523	192	43	143	215
524	182	51	147	200
525	179	44	171	281
526	187	52	173	234
527	199	47	134	250
528	200	37	153	255
529	214	40	158	250
530	227	50	139	225
531	237	57	142	211
532	258	66	125	252
533	261	66	125	240
534	264	65	125	229
535	256	64	132	219
536	237	58	162	238
537	245	66	136	226
538	245	73	123	227
539	236	76	135	202
540	239	85	123	203
541	237	82	123	196
542	240	79	116	192
543	249	80	108	188
544	255	82	110	189
545	265	89	112	191
546	259	87	131	213
547	263	87	138	233
548	264	85	137	196
549	270	84	139	199
550	287	92	103	168
551	304	101	67	138
552	293	93	116	192
553	290	95	108	183
554	286	95	122	189
555	291	96	107	177
556	298	97	100	158
557	303	100	93	161
558	308	102	87	164
559	313	105	80	167
560	300	102	93	164
561	293	105	113	178
562	295	105	95	160
563	300	109	68	150
564	296	111	69	134
565	293	119	73	129
566	294	124	57	115
567	288	121	63	125
568	282	119	69	136
569	276	117	75	146
570	280	119	65	137
571	284	122	55	128
572	276	121	61	121
573	274	120	65	124
574	272	122	69	120
575	270	125	73	117
576	270	127	57	114
577	277	133	50	105
578	285	140	43	97
579	283	141	43	96
580	282	143	43	95
581	282	141	45	97
582	283	140	47	99
583	286	144	46	94
584	289	148	45	90
585	293	152	44	86
586	294	152	43	85
587	295	153	42	84
588	296	154	41	83
589	298	155	40	82
590	299	156	39	81
591	300	157	38	80
592	302	158	37	79
593	303	159	36	78
594	304	160	35	77
595	306	161	35	77
596	306	163	35	75
597	306	165	35	73
598	304	169	32	68
599	302	169	30	67
600	301	169	29	67
601	299	169	28	66
602	298	169	26	66
603	296	169	25	65
604	295	169	24	65
605	294	168	25	64
606	293	168	26	64
607	292	167	27	63
608	291	167	28	63
609	290	169	27	61
610	291	169	26	60
611	291	169	25	58
612	292	170	24	57
613	293	170	24	55
614	293	170	23	54
615	294	170	22	52
616	295	170	21	51
617	296	171	21	50
618	295	170	21	50
619	295	169	22	50
620	295	169	23	50
621	294	167	24	48
622	293	166	26	47
623	292	165	28	46
624	292	165	27	47
625	292	164	27	47
626	293	164	26	47
627	293	164	26	47
628	293	163	25	47
629	293	164	21	41
630	291	163	20	43
631	290	164	20	39
632	290	166	21	36
633	289	164	21	37
634	289	163	22	39
635	286	162	22	39
636	283	162	22	39
637	280	162	23	39
638	278	162	22	39
639	277	162	22	39
640	275	162	21	39
641	274	162	21	39
642	272	162	21	39
643	271	163	20	39
644	269	163	20	39
645	268	163	20	39
646	266	163	19	39
647	265	163	19	39
648	264	164	19	39
649	262	164	19	39
650	260	164	19	39
651	258	164	19	39
652	256	164	19	39
653	254	164	19	39
654	252	164	19	39
655	250	164	19	39
656	248	164	19	39
657	246	164	19	39
658	244	164	19	39
659	242	164	19	39
660	240	164	19	39
661	238	164	19	39
662	236	164	20	39
663	233	164	21	38
664	231	164	23	38
665	228	164	22	37
666	226	164	22	37
667	224	164	21	37
668	222	164	21	37
669	220	164	21	36
670	218	164	20	36
671	215	165	20	36
672	213	165	19	36
673	211	165	19	35
674	209	165	19	35
675	207	165	18	35
676	205	165	18	35
677	203	166	18	35
678	198	166	21	38
679	196	165	20	37
680	195	165	19	36
681	193	165	19	36
682	192	165	18	35
683	191	165	18	35
684	189	164	18	35
685	187	164	18	35
686	185	164	18	36
687	183	164	18	36
688	182	163	18	36
689	180	163	18	37
690	178	163	18	37
691	176	163	18	37
