frame	x	y	width	height
2	274	67	23	67
3	274	67	23	67
4	275	67	23	67
5	274	65	24	70
6	274	66	24	70
7	274	66	24	70
8	274	66	24	70
9	274	65	24	70
10	274	65	24	70
11	274	65	24	70
12	274	65	24	70
13	274	65	24	70
14	274	65	24	70
15	274	65	24	70
16	274	64	24	70
17	275	64	24	70
18	274	65	24	70
19	274	65	24	70
20	274	65	24	70
21	274	65	24	70
22	274	65	24	70
23	274	65	24	70
24	274	65	24	70
25	274	64	24	70
26	274	64	24	70
27	274	63	24	70
28	275	63	24	70
29	275	63	24	70
30	275	63	24	70
31	275	63	24	70
32	275	63	24	70
33	274	63	24	70
34	274	62	24	70
35	274	62	24	70
36	274	62	24	70
37	274	62	24	70
38	274	62	24	70
39	274	62	24	70
40	275	62	24	70
41	275	62	24	70
42	274	63	24	70
43	274	62	24	70
44	274	63	24	70
45	273	62	24	70
46	273	62	24	70
47	273	63	24	70
48	273	63	24	70
49	273	63	24	70
50	274	62	24	70
51	274	62	24	70
52	274	63	24	70
53	274	63	24	70
54	274	63	24	70
55	274	63	24	70
56	274	62	24	70
57	273	62	24	70
58	273	62	24	70
59	273	62	24	70
60	273	62	24	70
61	273	62	24	70
62	273	62	24	70
63	274	62	24	70
64	273	63	24	70
65	273	63	24	70
66	273	63	24	70
67	273	63	24	70
68	272	63	24	70
69	272	63	24	70
70	272	63	24	70
71	272	63	24	70
72	272	63	24	70
73	272	62	24	70
74	271	62	24	70
75	271	61	24	70
76	271	62	24	70
77	271	62	24	70
78	271	63	24	70
79	271	62	24	70
80	270	62	24	70
81	270	62	24	70
82	269	62	24	70
83	269	61	24	70
84	269	61	24	70
85	269	60	24	70
86	269	60	24	70
87	269	60	24	70
88	269	61	24	70
89	268	62	24	70
90	268	61	24	70
91	268	61	24	70
92	268	61	24	70
93	268	62	24	70
94	268	63	24	70
95	268	68	24	70
96	268	71	25	74
97	269	70	25	74
98	270	70	25	74
99	270	72	25	74
100	271	72	25	74
101	270	73	25	74
102	269	73	25	74
103	268	73	25	74
104	266	71	27	78
105	267	74	25	74
106	266	74	25	74
107	266	73	25	74
108	265	71	25	74
109	265	70	25	74
110	264	67	27	78
111	265	66	27	78
112	264	65	28	81
113	263	64	29	86
114	262	64	29	86
115	262	64	29	86
116	263	63	29	86
117	263	66	28	81
118	264	66	28	81
119	264	64	29	86
120	264	61	31	90
121	266	61	31	90
122	267	61	31	90
123	270	62	31	90
124	271	62	31	90
125	271	62	31	90
126	272	62	31	90
127	273	62	31	90
128	273	62	31	90
129	273	62	31	90
130	274	63	31	90
