frame	PSR
2	9.35963
3	9.15713
4	9.58521
5	8.91202
6	8.68859
7	8.47713
8	8.89629
9	8.35641
10	8.71099
11	8.50542
12	8.94281
13	8.82316
14	8.6146
15	8.09312
16	9.06781
17	9.09901
18	8.44672
19	8.81672
20	8.96589
21	9.13975
22	9.24714
23	9.59066
24	9.24104
25	9.32812
26	9.25507
27	8.61199
28	8.92024
29	8.91366
30	9.05735
31	8.92955
32	9.05662
33	8.19551
34	8.05776
35	8.35748
36	8.259
37	8.32227
38	8.42602
39	8.69063
40	8.83621
41	9.25045
42	9.32567
43	8.85691
44	8.86419
45	8.84673
46	8.79874
47	8.69964
48	8.77145
49	8.59631
50	8.72567
51	9.00971
52	8.93569
53	8.82104
54	8.75062
55	9.45057
56	9.25664
57	9.20238
58	9.10182
59	9.12159
60	9.20292
61	9.00151
62	9.31337
63	8.9976
64	8.76087
65	8.69719
66	8.88364
67	8.55023
68	8.33389
69	8.5278
70	8.00426
71	8.43811
72	8.19526
73	8.30113
74	8.07961
75	7.64919
76	7.52757
77	6.73284
78	6.35404
79	5.86266
80	5.57574
81	5.60544
82	5.81892
83	5.24664
84	5.60464
85	5.63274
86	5.87749
87	5.39024
88	5.5131
89	4.47139
90	4.28257
91	4.25377
92	4.81311
93	4.63077
94	4.25648
95	3.54706
96	3.72013
97	5.5845
98	5.55153
99	4.95191
100	4.92445
101	4.2656
102	4.97111
103	5.07035
104	5.42256
105	5.19815
106	5.18544
107	5.37809
108	5.76894
109	5.58784
110	5.98505
111	6.08752
112	5.3928
113	5.41454
114	5.44111
115	4.55939
116	3.73699
117	5.02751
118	4.1378
119	4.47624
120	4.71084
121	5.04533
122	5.28
123	5.21206
124	5.48543
125	5.60534
126	5.28065
127	5.41835
128	5.28059
129	5.42789
130	5.56466
131	5.52615
132	6.40012
133	5.93401
134	5.40989
135	6.05608
136	6.24545
137	5.93988
138	6.03032
139	6.01832
140	6.1024
141	5.7661
142	6.36025
143	5.5625
144	5.63686
145	6.01087
146	5.86538
147	5.72026
148	6.14284
149	6.23545
150	6.09888
151	6.39449
152	5.79144
153	6.27595
154	6.29371
155	5.98223
156	5.99724
157	5.8409
158	5.50571
159	5.52216
160	5.36696
161	6.33124
162	6.11147
163	6.92228
164	5.95625
165	5.93833
166	5.99207
167	5.93165
168	6.31324
169	6.01933
170	6.56105
171	6.48514
172	7.03228
173	6.43152
174	6.38426
175	6.4216
176	6.05344
177	7.12002
178	6.62783
179	6.59616
180	7.06136
181	6.56279
182	6.90106
183	6.88118
184	7.11275
185	7.12452
186	7.12789
187	7.2546
188	6.88106
189	7.26032
190	7.28472
191	7.0118
192	6.65295
193	7.21378
194	6.67588
195	7.17011
196	7.2367
197	7.19073
198	7.2758
199	7.11998
200	7.09418
201	7.34748
202	7.21198
203	7.45184
204	7.25465
205	7.116
206	7.28575
207	7.41627
208	7.35537
209	7.39117
210	7.46989
211	7.46869
212	7.1643
213	7.15299
214	7.3995
215	7.47307
216	7.3805
217	7.52035
218	7.39258
219	7.44482
