frame	x	y	width	height
1	649	265	33	148
2	650	267	32	147
3	651	270	31	146
4	652	274	31	145
5	654	278	30	144
6	649	281	29	143
7	645	285	29	142
8	646	286	29	142
9	647	288	30	143
10	647	288	30	143
11	643	287	31	144
12	636	291	31	144
13	633	298	32	145
14	631	306	33	146
15	627	311	32	145
16	624	314	31	145
17	628	311	30	144
18	632	308	30	144
19	640	302	29	143
20	642	298	28	143
21	636	300	27	142
22	630	302	27	142
23	633	300	27	141
24	646	299	28	141
25	647	298	28	141
26	649	297	29	141
27	650	296	29	141
28	651	295	30	141
29	653	294	31	141
30	653	285	30	141
31	661	282	30	141
32	662	277	30	142
33	663	272	30	142
34	665	268	30	142
35	663	263	30	143
36	658	261	30	143
37	652	258	30	143
38	651	255	30	144
39	650	252	30	144
40	649	249	30	145
41	645	246	30	144
42	639	246	31	144
43	628	247	31	144
44	625	248	32	143
45	627	244	33	143
46	635	238	33	143
47	636	235	34	143
48	633	234	35	143
49	629	234	35	141
50	632	234	35	141
51	637	235	35	140
52	643	236	35	138
53	643	236	35	138
54	643	236	36	137
55	639	233	41	139
56	635	231	46	141
57	640	232	42	141
58	642	230	53	143
59	646	231	51	140
60	650	231	49	137
61	652	230	51	143
62	659	229	49	142
63	666	229	46	141
64	673	228	44	141
65	679	228	42	140
66	684	227	39	139
67	689	227	37	138
68	695	227	35	138
69	697	225	34	138
70	700	223	33	139
71	703	221	32	140
72	702	218	31	140
73	701	216	30	141
74	703	211	29	142
75	704	208	30	141
76	705	206	32	141
77	706	203	33	141
78	704	201	35	141
79	703	195	37	141
80	708	194	38	141
81	716	194	40	141
82	732	192	42	141
83	745	190	40	140
84	752	187	39	139
85	742	192	38	139
86	738	199	36	138
87	747	203	35	137
88	755	207	34	137
89	752	209	34	137
90	746	214	35	137
91	746	214	35	137
92	742	215	36	137
93	737	217	36	138
94	735	222	37	138
95	736	220	37	138
96	739	215	38	138
97	737	211	39	139
98	731	210	38	138
99	733	208	38	137
100	734	205	37	137
101	736	203	37	136
102	738	200	36	135
103	740	198	36	135
104	742	193	36	136
105	745	188	36	137
106	750	188	36	139
107	751	188	36	140
108	752	189	37	142
109	754	187	37	139
110	757	186	37	137
111	759	189	37	135
112	761	191	38	133
113	763	194	38	131
114	765	196	38	129
115	768	199	39	127
116	765	198	38	127
117	763	197	38	128
118	760	196	38	129
119	759	196	37	130
120	758	196	37	131
121	757	197	37	132
122	760	194	37	133
123	763	190	38	133
124	767	192	39	134
125	766	194	41	135
126	765	195	42	136
127	764	196	44	137
128	763	199	45	138
129	762	202	47	139
130	764	202	47	141
131	767	202	47	143
132	768	201	47	145
133	767	200	47	147
134	770	200	47	149
135	778	198	47	151
136	788	196	47	153
137	799	195	47	156
138	809	193	47	159
139	820	191	47	162
140	822	192	48	165
141	834	188	48	168
142	849	184	56	172
143	863	180	63	175
144	876	171	63	184
145	886	167	55	191
146	875	159	56	200
147	862	152	75	210
148	848	144	93	220
149	835	137	111	229
150	839	139	103	229
151	843	142	95	228
152	846	145	86	227
153	850	147	78	226
154	854	150	70	225
155	858	153	62	225
156	863	160	67	221
157	857	170	72	217
158	851	180	77	214
159	846	190	82	210
160	828	203	106	184
161	809	226	129	158
162	801	234	152	132
163	805	239	176	106
164	814	251	199	80
165	810	217	192	138
166	820	189	156	195
167	817	137	159	268
168	826	111	141	296
169	836	86	123	324
170	840	115	115	291
171	831	115	110	289
172	793	106	176	312
173	755	87	203	331
174	735	106	250	306
175	735	206	196	133
176	722	220	206	111
177	734	212	196	167
178	747	205	186	224
179	750	212	187	199
180	753	218	189	174
181	755	225	190	149
182	758	230	192	128
183	760	228	194	122
184	753	225	214	116
185	765	204	251	154
186	781	142	220	308
187	823	145	158	318
188	855	158	107	292
189	846	156	139	295
190	819	192	174	286
191	792	228	209	277
192	701	280	274	130
193	697	292	266	120
194	675	244	282	310
195	694	241	249	351
196	726	228	169	356
197	740	221	102	357
198	706	201	145	377
199	661	172	203	308
200	606	167	254	314
201	572	169	307	239
202	573	188	266	178
203	549	209	296	145
204	526	181	304	180
205	520	149	299	235
206	515	118	293	290
207	519	71	291	353
208	532	59	217	388
209	570	47	147	387
210	548	120	193	343
211	533	129	243	343
212	500	169	280	285
213	466	208	317	227
214	475	247	334	198
215	523	306	288	117
216	499	297	300	141
217	542	259	266	225
218	521	187	314	327
219	558	198	261	324
220	589	205	208	321
221	621	212	156	318
222	620	203	150	354
223	621	193	140	355
224	621	184	131	355
225	621	175	121	356
226	621	166	111	356
227	622	157	102	357
228	585	152	143	393
229	549	147	185	429
230	553	156	170	425
231	556	166	155	420
232	559	176	140	416
233	589	203	88	366
234	562	216	118	395
235	571	221	130	403
236	557	220	139	401
237	564	219	134	401
238	576	231	118	394
239	583	240	110	392
240	574	222	127	406
