frame	x	y	width	height
2	649	267	33	148
3	649	270	33	148
4	650	273	33	148
5	651	277	31	141
6	651	280	31	141
7	649	281	31	141
8	648	283	31	141
9	648	287	30	134
10	648	288	30	134
11	646	287	31	141
12	645	288	31	141
13	641	297	33	148
14	639	305	33	148
15	635	310	33	148
16	631	310	33	148
17	630	308	33	148
18	631	307	33	148
19	633	298	35	155
20	634	294	35	155
21	635	293	35	155
22	633	294	35	155
23	633	298	33	148
24	635	292	35	155
25	638	292	35	155
26	640	291	35	155
27	641	291	35	155
28	643	289	35	155
29	645	286	35	155
30	647	281	35	155
31	649	277	35	155
32	651	273	35	155
33	653	268	35	155
34	656	264	35	155
35	656	255	36	163
36	656	250	36	163
37	655	252	35	155
38	652	250	35	155
39	650	246	35	155
40	650	248	33	148
41	648	245	33	148
42	645	239	35	155
43	642	243	33	148
44	638	242	33	148
45	637	243	33	148
46	637	233	33	148
47	638	233	33	148
48	638	231	33	148
49	636	230	33	148
50	636	231	33	148
51	636	233	33	148
52	637	232	33	148
53	637	233	33	148
54	637	232	33	148
55	637	231	33	148
56	638	234	31	141
57	639	238	30	134
58	640	238	30	134
59	642	237	30	134
60	644	236	30	134
61	645	236	30	134
62	646	233	31	141
63	648	230	31	141
64	649	230	31	141
65	651	226	33	148
66	653	224	33	148
67	655	219	35	155
68	659	219	35	155
69	661	221	33	148
70	663	221	33	148
71	664	221	31	141
72	664	220	31	141
73	664	216	31	141
74	664	210	33	148
75	664	209	33	148
76	663	203	35	155
77	663	201	35	155
78	663	198	35	155
79	663	191	35	155
80	663	189	35	155
81	667	190	35	155
82	668	205	33	148
83	667	178	33	148
84	667	176	33	148
85	663	179	33	148
86	661	186	33	148
87	662	199	31	141
88	662	201	31	141
89	662	203	31	141
90	662	206	31	141
91	662	208	31	141
92	661	208	31	141
93	660	212	31	141
94	659	215	31	141
95	658	216	31	141
96	658	212	31	141
97	658	206	31	141
98	657	208	31	141
99	656	204	31	141
100	656	199	31	141
101	657	196	31	141
102	657	194	31	141
103	658	189	31	141
104	658	186	31	141
105	659	185	31	141
106	659	184	31	141
107	659	184	31	141
108	659	181	33	148
109	659	179	33	148
110	659	177	33	148
111	659	176	33	148
112	659	175	33	148
113	659	174	33	148
114	659	174	33	148
115	660	170	33	148
116	661	168	33	148
117	662	167	33	148
118	663	171	31	141
119	663	174	31	141
120	662	177	31	141
121	663	177	31	141
122	665	174	31	141
123	665	168	31	141
124	665	166	31	141
125	665	171	31	141
126	666	175	31	141
127	667	180	31	141
128	667	184	31	141
129	668	190	31	141
130	670	194	31	141
131	670	194	33	148
132	672	191	33	148
133	672	192	33	148
134	672	192	33	148
135	672	193	33	148
136	671	191	33	148
137	672	194	33	148
138	673	193	33	148
139	673	197	31	141
140	672	196	33	148
141	673	195	33	148
142	674	192	33	148
143	673	187	35	155
144	675	187	33	148
145	673	181	33	148
146	671	184	33	148
147	670	190	33	148
148	671	197	31	141
149	672	199	33	148
150	673	215	33	148
151	672	218	33	148
152	672	218	33	148
153	671	213	35	155
154	673	212	35	155
155	673	212	35	155
156	673	209	35	155
157	673	205	35	155
158	673	203	36	163
159	672	207	36	163
160	672	212	36	163
161	671	214	36	163
162	671	215	36	163
163	671	207	38	171
164	671	205	38	171
165	671	206	38	171
166	671	206	38	171
167	672	207	38	171
168	675	209	38	171
169	674	211	38	171
170	673	210	38	171
171	672	206	40	180
172	672	206	40	180
173	672	208	40	180
174	672	212	38	171
175	672	214	38	171
176	672	216	38	171
177	671	212	40	180
178	672	219	38	171
179	673	222	38	171
180	672	228	36	163
181	674	236	35	155
182	675	243	33	148
183	675	237	35	155
184	674	239	33	148
185	674	240	33	148
186	675	244	31	141
187	676	250	31	141
188	674	262	31	141
189	675	277	30	134
190	675	288	31	141
191	676	304	31	141
192	675	321	31	141
193	674	330	31	141
194	675	341	31	141
195	676	348	31	141
196	677	355	31	141
197	678	361	31	141
198	679	365	31	141
199	679	366	33	148
200	678	378	33	148
201	680	381	33	148
202	681	392	33	148
203	682	404	33	148
204	683	399	35	155
205	682	393	36	163
206	681	394	38	171
207	680	398	40	180
208	679	406	42	189
209	679	413	42	189
210	679	452	42	189
211	679	456	40	180
212	680	454	40	180
213	679	462	38	171
214	679	464	38	171
215	680	460	38	171
216	680	451	36	163
217	680	437	36	163
218	681	407	36	163
219	680	387	36	163
220	681	370	36	163
221	682	348	36	163
222	683	329	36	163
223	685	320	35	155
224	685	300	36	163
225	685	285	36	163
226	686	288	35	155
227	689	300	35	155
228	690	312	35	155
229	688	315	35	155
230	688	317	35	155
231	688	323	35	155
232	685	331	36	163
233	683	339	38	171
234	682	340	40	180
235	681	345	40	180
236	680	347	40	180
237	679	349	40	180
238	679	354	40	180
239	678	358	40	180
