frame	ave_fps
2	108.266
3	102.542
4	64.1356
5	61.3257
6	66.8101
7	64.9834
8	71.6717
9	76.063
10	81.4068
11	85.6894
12	90.4465
13	94.7855
14	98.3152
15	100.947
16	104.116
17	107.366
18	107.084
19	106.927
20	108.886
21	111.272
22	113.63
23	115.729
24	117.618
25	119.708
26	121.525
27	122.928
28	117.779
29	119.13
30	120.424
31	121.495
32	122.599
33	123.377
34	124.579
35	125.178
36	125.612
37	126.627
38	127.469
39	128.387
40	128.796
41	129.257
42	130.135
43	130.793
44	131.646
45	132.324
46	133.105
47	133.687
48	134.5
49	133.945
50	134.683
51	135.396
52	135.713
53	136.079
54	135.003
55	135.14
56	135.495
57	136.173
58	136.635
59	137.24
60	137.811
61	138.351
62	138.825
63	136.322
64	135.851
65	136.108
66	136.434
67	136.464
68	136.321
69	132.911
70	131.971
71	131.363
72	131.437
73	131.594
74	131.811
75	131.21
76	131.271
77	131.249
78	130.925
79	130.451
80	130.376
81	130.356
82	130.109
83	127.826
84	127.621
85	127.556
86	127.542
87	127.682
88	127.816
89	128.018
90	127.354
91	126.63
92	126.793
93	126.977
94	127.181
95	127.311
96	127.357
97	126.892
98	127.005
99	127.06
100	126.997
101	127.006
102	127.103
103	127.146
104	127.23
105	127.356
106	127.533
107	127.697
108	127.493
109	127.667
110	127.842
111	127.998
112	128.091
113	127.031
114	127.137
115	127.292
116	127.412
117	127.542
