frame	PSR
2	5.33743
3	5.38396
4	5.35275
5	5.35736
6	5.19814
7	5.24107
8	5.25155
9	5.07486
10	4.85327
11	4.48562
12	4.06313
13	3.54028
14	3.46743
15	3.2387
16	3.27711
17	3.69939
18	3.86341
19	3.86039
20	3.07021
21	2.63537
22	2.98672
23	2.90221
24	3.34818
25	3.43103
26	3.35127
27	3.29793
28	3.36752
29	3.50439
30	3.46814
31	3.57135
32	3.60584
33	3.76198
34	3.63985
35	3.71008
36	3.67655
37	3.8627
38	4.04797
39	4.08268
40	3.99381
41	3.93093
42	3.69845
43	3.58185
44	3.32765
45	3.30177
46	3.47234
47	3.63683
48	3.65639
49	3.44941
50	3.45653
51	3.45727
52	3.37466
53	3.37898
54	3.31729
55	3.36222
56	3.3537
57	3.31519
58	3.43692
59	3.55996
60	3.50766
61	3.55353
62	3.60222
63	3.67721
64	3.7611
65	3.80782
66	3.89722
67	3.70773
68	3.2818
69	3.45243
70	3.98358
71	3.84369
72	3.97208
73	3.93354
74	3.97515
75	3.8111
76	3.61693
77	3.50213
78	3.44658
79	3.35774
80	3.15908
81	2.80507
82	3.03175
83	3.32547
84	3.46247
85	3.21723
86	2.9586
87	3.73017
88	3.70476
89	3.55156
90	3.47138
91	3.4114
92	3.40326
93	3.46538
94	3.27044
95	3.15703
96	2.68099
97	2.27636
98	2.24526
99	3.21258
100	3.22596
101	3.27519
102	3.39389
103	3.59484
104	3.67725
105	3.75249
106	3.91925
107	4.00798
108	3.93726
109	3.90789
110	3.87711
111	3.81042
112	3.95747
113	3.83226
114	3.89281
115	3.82944
116	3.92694
117	3.84513
118	3.81027
119	3.97048
120	3.91662
121	3.96363
122	3.98631
123	3.80682
124	3.76345
125	3.82803
126	3.93726
127	3.56449
128	3.31291
129	3.14239
130	2.71444
131	2.31999
132	2.23543
133	2.6391
134	2.63899
135	2.63386
136	2.80095
137	2.92393
138	3.02817
139	2.79255
140	2.60858
141	3.13076
142	2.9218
143	3.00274
144	3.77125
145	3.56461
146	3.60592
147	3.65309
148	3.76889
149	3.89398
150	3.89511
151	3.90916
152	3.9807
153	4.02269
154	4.07306
155	4.07861
156	4.16903
157	4.17471
158	4.23599
159	4.33758
160	4.29531
161	4.34665
162	4.3872
163	4.37103
164	4.4961
165	4.54054
166	4.51581
167	4.62538
168	4.69149
169	4.72568
170	4.74591
171	4.69273
172	4.71602
173	4.65728
174	4.70956
175	4.6732
176	4.64574
177	4.71941
178	4.70963
179	4.74596
180	4.73104
181	4.76057
182	4.78788
183	4.78215
184	4.78558
185	4.8403
186	4.79977
187	4.87235
188	4.88923
189	4.91652
190	4.88631
191	4.91604
192	4.96316
193	5.00006
194	4.87172
195	4.52897
196	4.55582
197	4.38551
198	4.05398
199	3.7946
200	4.0377
201	4.04329
202	4.42939
203	4.46934
204	4.6762
205	4.72958
206	4.69508
207	4.79954
208	4.81201
209	4.66949
210	4.67762
211	4.66732
212	4.70649
213	4.89894
214	4.93517
215	5.03999
216	5.04577
217	5.03844
218	5.01258
219	5.01834
220	4.96532
221	4.95712
222	4.99151
223	4.97007
224	4.97249
225	5.02392
226	5.03929
227	5.1005
228	5.0853
229	4.98712
230	5.10325
231	5.06531
232	5.08284
233	5.05276
234	4.97813
235	5.04476
236	4.95706
237	4.98735
238	4.95602
239	4.87995
240	4.9777
241	5.06585
242	5.06247
243	5.13381
244	5.18805
245	5.09907
246	5.21678
247	5.22419
248	5.20263
249	5.16977
250	5.12773
251	5.0295
252	4.98547
253	4.63704
254	4.44836
255	4.21513
256	4.31133
257	4.28917
258	4.19864
259	4.20064
260	4.26624
261	4.29938
262	4.41383
263	4.33761
264	4.38557
265	4.36063
266	4.43665
