frame	ave_fps
2	53.7027
3	56.3466
4	52.3382
5	49.6892
6	50.0802
7	49.9111
8	49.5295
9	48.3697
10	50.8007
11	53.7885
12	56.2345
13	58.2827
14	60.4782
15	62.6152
16	64.4134
17	65.7074
18	64.57
19	66.0348
20	67.5371
21	68.5951
22	69.7685
23	70.826
24	72.0667
25	73.1315
26	74.233
27	75.3155
28	76.155
29	77.016
30	77.8898
31	78.4095
32	78.9822
33	79.8619
34	80.5515
35	81.0729
36	81.8418
37	82.4641
38	83.0293
39	83.7364
40	84.2554
41	84.1536
42	84.564
43	85.1461
44	85.7235
45	86.0838
46	86.4663
47	86.9442
48	86.3647
49	85.4348
50	85.9326
51	86.3991
52	86.6899
53	87.0024
54	87.279
55	87.4697
56	87.7725
57	88.0213
58	87.0607
59	87.2419
60	87.6231
61	88.0045
62	88.1079
63	88.4152
64	88.7252
65	88.9007
66	89.1474
67	89.3138
68	89.2181
69	89.1812
70	89.0517
71	89.2285
72	89.5539
73	89.8078
74	89.9865
75	90.3001
76	90.3812
77	90.4121
78	90.6387
79	90.7203
80	90.8852
81	91.0308
82	91.2568
83	91.424
84	91.506
85	91.6267
86	91.8154
87	91.8768
88	91.0891
89	91.2348
90	91.426
91	91.639
92	91.8503
93	92.009
94	92.2228
95	92.2066
96	92.3837
97	92.5424
98	92.0877
99	92.0049
100	92.1884
101	92.3142
102	92.3557
103	92.4999
104	92.6498
105	92.8527
106	92.9214
107	93.0745
108	93.2577
109	93.3582
110	93.4502
111	93.614
112	93.7347
113	93.8071
114	93.9975
115	94.1389
116	94.2596
117	94.4129
118	94.5376
119	94.4245
120	94.524
121	94.4347
122	94.5869
123	94.6633
124	94.7798
125	94.9157
126	95.0097
127	95.1073
128	94.4081
129	94.2982
130	94.3776
131	94.5224
132	94.6203
133	94.6891
134	94.7849
135	94.8387
136	94.9584
137	95.0429
138	94.7252
139	94.765
140	94.8654
141	94.98
142	94.9881
143	95.0521
144	95.1567
145	95.2604
146	95.3064
147	95.4162
148	95.5007
149	95.4926
150	95.1591
151	95.2163
152	95.3252
153	95.4205
154	95.4596
155	95.5806
156	95.6403
157	95.7191
158	95.792
159	95.8915
160	95.9375
161	96.0092
162	96.0141
163	96.0906
164	96.1879
165	96.1903
166	96.2664
167	96.1284
168	95.6501
169	95.6915
170	95.7902
171	95.8653
172	95.9323
173	96.0433
174	96.1196
175	96.1416
176	96.187
177	96.1144
178	95.7781
179	95.8496
180	95.914
181	95.9644
182	96.0448
183	96.0979
184	96.1668
185	96.204
186	96.3002
187	96.3864
188	96.4406
189	96.532
190	96.4497
191	96.4461
192	96.4802
193	96.5614
194	96.6282
195	96.681
196	96.7632
197	96.8548
198	96.8998
199	96.9737
200	96.8627
201	96.9411
202	96.9899
203	97.0457
204	97.1175
205	97.1725
206	97.1919
207	97.2223
208	96.6956
209	96.7137
210	96.7906
211	96.8507
212	96.8319
213	96.8714
214	96.9305
215	96.8903
216	96.8824
217	96.792
218	96.6533
219	96.6543
220	96.7172
221	96.7434
222	96.7149
223	96.7508
224	96.7685
225	96.7131
226	96.7287
227	96.7487
228	96.8056
229	96.7956
230	96.7643
231	96.823
232	96.8927
233	96.8821
234	96.9239
235	96.9958
236	96.9521
237	96.9396
238	96.9448
239	96.9827
240	97.0045
241	97.0221
242	97.0833
243	97.1424
244	97.1289
245	97.1593
246	97.2192
247	96.7646
248	96.7829
249	96.8447
250	96.9105
251	96.9288
252	96.9842
253	97.049
254	96.9729
255	96.9871
256	96.9234
257	96.6898
258	96.7074
259	96.767
260	96.8168
261	96.7932
262	96.8383
263	96.9007
264	96.932
265	96.9997
266	97.0565
