frame	x	y	width	height
1	149	65	50	59
2	148	64	49	58
3	148	64	49	58
4	148	64	49	58
5	148	63	49	58
6	148	63	49	58
7	148	63	49	58
8	148	63	49	58
9	150	60	49	58
10	152	58	49	58
11	154	56	49	58
12	156	54	49	58
13	158	51	50	58
14	160	49	50	58
15	162	47	50	58
16	164	45	50	58
17	166	43	51	59
18	167	45	56	60
19	170	48	57	62
20	174	51	63	67
21	179	53	62	65
22	177	54	72	72
23	183	55	70	71
24	188	59	69	68
25	193	62	68	66
26	199	61	68	70
27	203	66	63	65
28	205	69	68	65
29	209	73	66	64
30	214	78	63	63
31	218	82	60	61
32	221	86	59	59
33	223	90	58	56
34	218	91	64	61
35	221	99	53	48
36	225	107	42	35
37	215	104	43	34
38	206	102	44	34
39	197	95	45	35
40	188	89	46	36
41	179	82	47	37
42	171	76	49	39
43	162	71	48	39
44	153	66	48	39
45	145	61	47	40
46	136	56	47	40
47	127	51	46	40
48	119	46	46	41
49	112	44	45	41
50	105	42	44	42
51	98	40	43	42
52	91	38	42	43
53	84	36	41	43
54	77	35	41	44
55	72	34	41	46
56	67	34	41	49
57	62	34	42	52
58	57	34	42	55
59	52	34	43	58
60	39	33	61	71
61	26	32	80	85
62	30	37	81	87
63	34	42	81	88
64	55	50	69	78
65	75	58	56	68
66	94	65	47	61
67	110	64	46	64
68	126	63	45	67
69	143	62	45	71
70	161	67	38	69
71	169	69	39	67
72	178	72	41	65
73	186	75	42	63
74	195	77	44	62
75	201	77	51	65
76	200	76	61	71
77	204	78	60	69
78	195	76	69	71
79	191	78	69	69
80	186	81	68	68
81	181	76	71	74
82	175	72	70	72
83	170	69	68	69
84	164	66	67	67
85	158	62	66	64
86	147	56	69	67
87	136	50	72	70
88	135	54	54	51
89	128	44	57	56
90	111	31	72	75
91	104	29	66	72
92	102	29	61	69
93	101	30	56	66
94	100	32	55	65
95	107	35	54	64
96	114	39	53	63
97	121	42	52	62
98	129	46	51	61
99	143	51	50	60
100	157	57	49	59
101	171	63	48	58
102	185	69	47	57
103	192	72	47	57
104	198	77	46	55
105	205	82	46	54
106	211	87	46	53
107	218	92	46	52
108	225	98	46	51
109	226	100	45	50
110	227	103	45	49
111	228	106	45	48
112	229	109	45	46
113	231	112	45	46
114	231	117	43	43
115	231	122	42	40
116	231	128	41	38
117	225	126	44	38
118	219	124	49	38
119	214	122	53	39
120	207	117	61	39
121	200	112	69	40
122	195	105	69	43
123	190	98	69	47
124	179	91	69	48
125	169	84	70	50
126	159	75	70	52
127	149	66	71	54
128	139	58	72	56
129	136	54	67	56
130	133	51	62	57
131	131	48	58	58
132	123	48	55	58
133	115	49	53	59
134	107	49	50	59
135	99	50	48	60
136	92	51	46	61
137	93	53	44	62
138	97	55	42	63
139	102	57	40	65
140	111	61	39	65
141	120	66	38	65
142	129	71	38	65
143	140	77	40	59
144	157	88	43	53
145	175	99	46	46
146	193	111	49	41
147	207	113	49	42
148	221	115	50	43
149	220	116	51	45
150	222	117	50	43
151	224	119	50	42
152	226	120	49	40
153	228	122	49	39
154	230	124	49	37
155	232	125	48	36
156	234	127	48	34
157	237	129	48	33
158	234	128	48	33
159	231	127	48	33
160	221	118	48	33
161	211	109	48	34
162	201	100	48	34
163	192	92	48	35
164	184	83	47	36
165	177	75	47	37
166	170	67	47	38
167	169	59	47	39
168	168	52	47	40
169	167	45	47	41
170	172	43	46	40
171	177	41	45	39
172	183	40	45	39
173	192	44	44	38
174	202	48	43	37
175	212	52	43	37
176	221	56	41	36
177	230	61	41	36
178	240	66	40	36
179	243	69	39	35
180	246	72	39	35
181	245	72	38	35
182	245	72	38	35
183	239	69	38	34
184	234	66	37	33
185	229	63	38	33
186	224	60	38	32
187	219	57	38	32
188	214	54	38	31
189	209	51	38	31
190	198	49	38	32
191	187	48	38	33
192	176	47	38	35
193	165	46	38	36
194	154	45	38	37
195	143	44	38	39
196	132	43	38	40
197	122	42	38	42
198	112	41	37	43
199	102	40	36	44
200	92	40	36	45
201	84	40	35	46
202	76	40	34	47
203	68	40	34	48
204	65	40	34	49
205	62	44	35	48
206	60	49	36	47
207	58	54	37	47
208	61	61	38	47
209	64	69	40	47
210	70	78	40	47
211	76	88	40	47
212	82	97	40	47
213	88	107	40	47
214	93	119	40	47
215	95	126	41	48
216	96	129	42	50
217	98	133	43	52
218	96	128	44	55
219	95	123	47	57
220	94	119	49	61
221	97	116	49	62
222	100	116	48	62
223	104	116	47	62
224	107	116	46	62
225	111	117	45	63
226	114	117	44	63
227	118	117	43	63
228	122	118	43	64
229	118	114	47	63
230	115	111	52	63
231	112	108	57	63
232	114	105	56	62
233	117	102	56	62
234	120	100	55	61
235	123	97	55	61
236	125	94	55	61
237	128	92	54	60
238	131	89	54	60
239	134	87	54	60
240	137	85	53	60
241	140	84	53	60
242	143	82	52	60
243	146	81	52	60
244	149	80	51	60
245	152	78	51	60
246	155	77	50	60
247	158	76	50	61
248	154	74	50	60
249	150	72	51	60
250	141	71	51	59
251	132	71	52	59
252	123	70	52	58
253	115	69	53	58
254	109	68	53	58
255	103	67	53	58
256	98	67	54	58
257	95	67	55	58
258	92	67	56	59
259	93	67	55	58
260	95	67	55	58
261	96	67	55	58
262	98	67	55	58
263	99	67	55	57
264	101	67	55	57
265	102	67	55	57
266	104	67	55	57
267	106	68	54	58
