frame	x	y	width	height
2	149	65	50	59
3	149	65	50	59
4	149	65	50	59
5	149	65	50	59
6	148	65	50	59
7	148	64	50	59
8	148	64	50	59
9	148	63	50	59
10	149	62	50	59
11	150	62	50	59
12	151	61	50	59
13	156	57	50	59
14	157	55	50	59
15	162	51	50	59
16	164	49	50	59
17	165	47	52	62
18	171	49	50	59
19	174	50	50	59
20	177	53	50	59
21	164	61	50	59
22	163	66	50	59
23	152	65	50	59
24	150	67	50	59
25	148	67	52	62
26	148	67	52	62
27	147	68	52	62
28	146	67	55	65
29	147	67	55	65
30	146	67	55	65
31	146	67	55	65
32	146	66	55	65
33	147	66	55	65
34	147	66	55	65
35	147	66	55	65
36	147	67	55	65
37	148	66	55	65
38	147	66	55	65
39	147	67	55	65
40	147	66	55	65
41	148	65	55	65
42	147	64	55	65
43	146	67	58	68
44	145	67	58	68
45	146	67	58	68
46	142	67	58	68
47	141	67	58	68
48	139	66	58	68
49	138	66	58	68
50	139	67	58	68
51	138	67	58	68
52	137	67	58	68
53	135	65	61	72
54	130	65	61	72
55	130	65	61	72
56	130	65	61	72
57	127	65	61	72
58	126	65	61	72
59	127	65	61	72
60	126	66	61	72
61	128	67	58	68
62	128	67	58	68
63	128	67	58	68
64	129	67	58	68
65	129	67	58	68
66	130	67	58	68
67	134	67	58	68
68	141	67	58	68
69	140	66	58	68
70	140	66	58	68
71	143	66	58	68
72	145	66	58	68
73	146	66	58	68
74	148	66	58	68
75	150	66	58	68
76	152	66	58	68
77	154	66	58	68
78	154	66	58	68
79	156	67	58	68
80	156	66	58	68
81	155	66	58	68
82	156	67	58	68
83	153	66	58	68
84	147	65	58	68
85	143	63	58	68
86	148	62	61	72
87	149	63	61	72
88	144	65	61	72
89	139	66	61	72
90	134	66	61	72
91	130	67	61	72
92	125	68	61	72
93	119	68	61	72
94	116	69	61	72
95	111	68	61	72
96	106	70	61	72
97	107	72	58	68
98	96	80	58	68
99	88	71	58	68
100	86	70	58	68
101	83	69	58	68
102	80	68	58	68
103	78	67	58	68
104	77	65	58	68
105	76	64	58	68
106	76	63	58	68
107	76	62	58	68
108	77	61	58	68
109	79	61	58	68
110	80	60	58	68
111	82	61	58	68
112	82	62	58	68
113	84	62	58	68
114	85	62	58	68
115	85	62	58	68
116	86	62	58	68
117	87	61	58	68
118	88	61	58	68
119	89	61	58	68
120	90	61	58	68
121	91	62	58	68
122	92	62	58	68
123	93	60	61	72
124	96	60	61	72
125	99	60	61	72
126	102	60	61	72
127	103	60	61	72
128	111	61	61	72
129	112	59	61	72
130	111	54	61	72
131	107	48	61	72
132	102	44	61	72
133	94	46	58	68
134	85	50	61	72
135	85	57	61	72
136	85	59	61	72
137	88	58	64	75
138	90	58	64	75
139	92	58	67	79
140	86	54	67	79
141	88	56	67	79
142	90	57	67	79
143	85	58	67	79
144	85	59	67	79
145	86	59	67	79
146	86	59	67	79
147	86	59	67	79
148	86	58	67	79
149	87	59	67	79
150	86	59	67	79
151	86	59	67	79
152	86	58	67	79
153	86	58	67	79
154	86	59	67	79
155	86	58	67	79
156	86	59	67	79
157	86	58	67	79
158	86	58	67	79
159	86	59	67	79
160	86	58	67	79
161	86	59	67	79
162	86	59	67	79
163	86	58	67	79
164	86	59	67	79
165	86	59	67	79
166	86	58	67	79
167	86	58	67	79
168	86	59	67	79
169	86	58	67	79
170	86	58	67	79
171	85	59	67	79
172	86	59	67	79
173	85	59	67	79
174	86	59	67	79
175	86	59	67	79
176	85	59	67	79
177	86	59	67	79
178	86	59	67	79
179	86	58	67	79
180	86	59	67	79
181	85	58	67	79
182	86	59	67	79
183	86	59	67	79
184	86	59	67	79
185	85	58	67	79
186	86	59	67	79
187	86	59	67	79
188	85	59	67	79
189	86	59	67	79
190	85	59	67	79
191	86	59	67	79
192	86	58	67	79
193	85	59	67	79
194	85	58	67	79
195	85	59	67	79
196	87	59	67	79
197	86	58	67	79
198	86	57	67	79
199	84	58	67	79
200	84	58	67	79
201	86	59	67	79
202	87	59	67	79
203	86	60	67	79
204	86	59	67	79
205	85	59	67	79
206	85	59	67	79
207	86	59	67	79
208	86	59	67	79
209	86	59	67	79
210	85	58	67	79
211	86	59	67	79
212	85	59	67	79
213	84	59	67	79
214	85	59	67	79
215	85	59	67	79
216	85	59	67	79
217	85	58	67	79
218	85	59	67	79
219	85	59	67	79
220	85	59	67	79
221	85	59	67	79
222	85	59	67	79
223	85	59	67	79
224	85	59	67	79
225	86	59	67	79
226	85	59	67	79
227	86	59	67	79
228	86	58	67	79
229	85	59	67	79
230	86	59	67	79
231	85	59	67	79
232	85	59	67	79
233	86	58	67	79
234	86	58	67	79
235	85	58	67	79
236	86	58	67	79
237	86	58	67	79
238	85	57	67	79
239	85	58	67	79
240	86	59	67	79
241	85	58	67	79
242	85	59	67	79
243	85	58	67	79
244	85	58	67	79
245	86	59	67	79
246	85	59	67	79
247	85	59	67	79
248	86	59	67	79
249	85	59	67	79
250	85	58	67	79
251	85	59	67	79
252	86	58	67	79
253	86	58	67	79
254	85	58	67	79
255	86	57	67	79
256	86	56	67	79
257	85	56	67	79
258	85	56	67	79
259	85	55	67	79
260	86	56	67	79
261	85	56	67	79
262	86	57	67	79
263	87	57	67	79
264	86	57	67	79
265	86	56	67	79
266	87	57	67	79
