frame	ave_fps
2	74.3292
3	57.8915
4	62.6348
5	59.4987
6	61.6949
7	61.8719
8	64.9481
9	67.9731
10	72.0536
11	73.7693
12	77.0159
13	79.4611
14	81.9093
15	84.457
16	85.7297
17	87.7478
18	89.9426
19	90.6751
20	92.2445
21	93.6478
22	94.0762
23	95.3417
24	95.954
25	97.2066
26	98.2864
27	97.7788
28	98.8079
29	98.4423
30	99.514
31	99.8533
32	100.31
33	100.232
34	101.074
35	101.484
36	102.096
37	102.5
38	103.209
39	103.898
40	103.847
41	104.486
42	104.46
43	105.208
44	105.929
45	106.078
46	106.531
47	106.98
48	106.951
49	107.312
50	107.435
51	107.888
52	108.438
53	108.455
54	108.881
55	109.365
56	109.223
57	109.6
58	109.546
59	109.428
60	109.873
61	110.317
62	110.614
63	110.55
64	110.79
65	111.202
66	111.226
67	111.391
68	111.636
69	111.302
70	111.406
71	111.004
72	111.195
73	110.884
74	111.163
75	110.996
76	111.233
77	111.048
78	111.34
79	110.97
80	110.736
81	111.071
82	111.081
83	111.192
84	111.465
85	111.451
86	111.623
87	111.865
88	111.811
89	111.961
90	111.685
91	111.845
92	111.795
93	111.759
94	111.637
95	111.889
96	111.691
97	111.792
98	111.463
99	111.708
100	111.954
101	111.712
102	112.01
103	111.917
104	112.199
105	112.43
106	112.392
107	112.64
108	112.525
109	112.682
110	112.37
111	112.57
112	112.565
113	112.309
114	112.248
115	112.468
116	112.663
117	112.613
118	112.73
119	112.946
120	112.855
121	112.887
122	112.954
123	113.165
124	113.092
125	113.314
126	113.318
127	113.48
128	113.707
129	113.574
130	113.775
131	113.986
132	113.86
133	114.069
134	114.256
135	114.281
136	114.477
137	114.37
138	114.523
139	114.522
140	114.716
141	114.872
142	114.819
143	114.993
144	114.917
145	115.006
146	115.016
147	115.113
148	115.198
149	115.104
150	115.188
151	115.127
152	115.238
153	115.097
154	115.218
155	115.38
156	115.277
157	115.418
158	115.288
159	115.385
160	115.547
161	115.438
162	115.601
163	115.509
164	115.637
165	115.631
166	115.706
167	115.842
168	115.653
169	115.801
170	115.775
171	115.854
172	115.987
173	115.962
174	116.065
175	116.187
176	116.1
177	116.193
178	116.331
179	116.237
180	116.346
181	116.452
182	116.434
183	116.515
184	116.519
185	116.442
186	116.563
187	116.481
188	116.58
189	116.555
190	116.628
191	116.729
192	116.627
193	116.735
194	116.684
195	116.782
196	116.791
197	116.803
198	116.923
199	117.044
200	116.932
201	117.056
202	116.976
203	117.061
204	117.177
205	117.088
206	117.21
207	117.209
208	117.158
209	117.247
210	117.171
211	117.241
212	117.237
213	117.174
214	117.271
215	117.266
216	117.292
217	117.396
218	117.322
219	117.384
220	117.493
221	117.416
222	117.453
223	117.328
224	117.424
225	117.412
226	117.444
227	117.25
228	117.34
229	117.32
230	117.42
231	117.526
232	117.328
233	117.026
234	117.123
235	117.022
236	117.117
237	117.198
238	117.219
239	117.309
240	117.271
241	117.369
242	117.329
243	117.363
244	117.439
245	117.381
246	117.469
247	117.462
248	117.506
249	117.595
250	117.544
251	117.588
252	117.684
253	117.645
254	117.705
255	117.801
256	117.701
257	117.761
258	117.84
259	117.804
260	117.867
261	117.808
262	117.88
263	117.789
264	117.813
265	117.774
266	117.838
267	117.913
268	117.912
269	117.833
270	117.907
271	117.891
272	117.93
273	117.935
274	117.974
275	118.051
276	117.904
277	117.983
278	117.91
279	117.959
280	117.92
281	117.96
282	118.048
283	117.991
284	118.041
285	117.976
286	118.026
287	117.973
288	118.029
289	118.092
290	118.027
291	118.09
292	118.037
293	118.093
294	118.152
295	118.099
296	118.157
297	118.236
298	118.164
299	118.231
300	118.199
301	118.246
302	118.167
303	118.222
304	118.291
305	118.211
306	118.282
307	118.262
308	118.171
309	118.178
310	118.127
311	118.179
312	118.148
313	118.157
314	118.223
315	118.165
316	118.217
317	118.096
318	117.92
319	117.868
320	117.912
321	117.975
322	117.944
323	117.987
324	117.941
325	118.001
326	117.948
327	117.862
328	117.832
329	117.878
330	117.868
331	117.888
332	117.892
333	117.841
334	117.898
335	117.886
336	117.882
337	117.86
338	117.893
339	117.962
340	117.933
341	117.968
342	118.026
343	117.962
344	118.022
345	117.989
346	117.982
347	117.977
348	117.983
349	117.945
350	117.991
351	118.011
352	117.927
353	117.973
354	117.942
355	117.962
356	117.83
357	117.866
358	117.924
359	117.861
360	117.924
361	117.863
362	117.915
363	117.909
364	117.831
365	117.891
366	117.851
367	117.879
368	117.819
369	117.855
370	117.908
371	117.869
372	117.911
373	117.947
374	117.902
375	117.948
376	117.918
