frame	PSR
2	5.90439
3	5.71086
4	5.27209
5	5.36414
6	5.20331
7	5.01801
8	4.90707
9	4.73389
10	4.62875
11	4.31974
12	4.26607
13	3.91865
14	3.99575
15	4.23138
16	4.66456
17	4.66981
18	4.5477
19	4.23619
20	4.52044
21	4.34075
22	4.3265
23	4.47754
24	4.2404
25	4.16773
26	4.19443
27	4.26731
28	4.53584
29	4.24052
30	4.33933
31	4.46909
32	4.60903
33	4.85112
34	4.44662
35	4.3085
36	5.01921
37	4.83908
38	4.27191
39	4.36163
40	4.66569
41	4.40224
42	4.3745
43	4.29913
44	3.94435
45	4.07162
46	4.39259
47	4.50363
48	4.53601
49	4.17798
50	4.00457
51	4.02796
52	4.387
53	4.24223
54	4.47106
55	4.53712
56	4.35614
57	4.94069
58	4.57597
59	4.85386
60	4.62273
61	4.58485
62	4.53943
63	4.57436
64	4.4079
65	4.4565
66	4.66017
67	3.8582
68	4.36483
69	4.1763
70	4.42865
71	4.28739
72	4.3645
73	4.5557
74	4.95422
75	4.35199
76	4.40352
77	4.54907
78	3.98474
79	3.72128
80	4.75624
81	4.08868
82	3.18123
83	2.90788
84	3.23164
85	4.6719
86	3.09864
87	3.57991
88	5.21063
89	5.84346
90	5.54951
91	5.86444
92	5.98909
93	5.7039
94	5.53157
95	4.82368
96	5.13593
97	5.0336
98	3.15432
99	3.26364
100	3.028
101	3.42148
102	3.27536
103	3.34685
104	3.64217
105	3.94462
106	3.57941
107	3.86854
108	3.89347
109	4.09646
110	3.94591
111	3.97405
112	3.99474
113	4.09629
114	3.62308
115	3.50218
116	3.35839
117	3.54951
118	3.52323
119	3.39389
120	3.30736
121	3.31638
122	3.00437
123	3.2059
124	4.93673
125	3.12392
126	4.79295
127	3.30915
128	4.80058
129	3.36254
130	3.06583
131	4.40499
132	3.80368
133	3.33762
134	3.15606
135	3.61415
136	2.696
137	2.71544
138	2.37142
139	3.53892
140	2.83892
141	2.0009
142	3.8826
143	2.38621
144	2.70212
145	2.38306
146	2.23543
147	3.09933
148	2.78471
149	2.87199
150	2.35252
151	3.13813
152	3.88235
153	3.08151
154	2.58787
155	4.0554
156	4.14996
157	4.1346
158	2.59069
159	2.62206
160	2.82264
161	2.87455
162	4.65189
163	3.06663
164	2.65347
165	3.33774
166	2.99378
167	3.79525
168	3.49674
169	2.81974
170	3.44943
171	2.96714
172	2.77502
173	3.50563
174	3.15994
175	3.13119
176	3.86546
177	2.48459
178	2.39063
179	3.29181
180	3.68568
181	2.56299
182	3.82125
183	3.04861
184	2.52657
185	2.24826
186	2.54719
187	2.46319
188	3.38384
189	3.10502
190	3.22592
191	3.38912
192	2.28379
193	2.62789
194	3.65175
195	3.65384
196	3.61922
197	2.77992
198	2.65647
199	4.66193
200	2.15692
201	2.33294
202	2.99141
203	2.10066
204	2.30413
205	2.54252
206	2.62051
207	3.27013
208	2.0378
209	2.55051
210	3.12468
211	2.32818
212	3.98283
213	4.18058
214	3.15639
215	2.70879
216	3.84217
217	3.25685
218	2.46122
219	3.52551
220	3.56494
221	2.22667
222	2.85717
223	2.89642
224	2.5968
225	2.51647
226	2.48878
227	2.37826
228	2.18025
229	2.25026
230	2.3726
231	3.28452
232	3.52675
233	3.33381
234	3.37643
235	2.64807
236	2.38107
237	2.43025
238	3.24906
239	3.04754
240	3.24509
241	3.49538
242	2.76502
243	2.18057
244	2.43511
245	3.95831
246	2.7254
247	2.09717
248	2.87537
249	2.95194
250	2.47536
251	2.33725
252	2.10631
253	2.15154
254	2.95107
255	2.53321
256	3.24839
257	2.74864
258	2.36507
259	2.40605
260	2.53617
261	2.01084
262	1.97235
263	2.08039
264	2.44662
265	2.36371
266	3.55951
267	3.19401
268	2.72918
269	2.28947
270	3.64805
271	2.69609
272	2.0766
273	3.15167
274	2.55886
275	2.33221
276	3.16054
277	3.54302
278	3.58248
279	3.36563
280	3.09414
281	3.16997
282	2.5725
283	2.60503
284	3.56675
285	3.49483
286	2.37758
287	2.95337
288	3.86329
289	3.3791
290	2.40118
291	2.77783
292	3.62937
293	2.10392
294	2.42005
295	3.36454
296	2.93248
297	2.02659
298	4.15256
299	3.8794
300	4.16474
301	3.17568
302	3.32193
303	2.53069
304	3.01242
305	2.97205
306	2.15514
307	3.95099
308	3.37416
309	2.14202
310	2.1454
311	2.20686
312	2.58122
313	2.87934
314	2.68725
315	2.65436
316	2.93259
317	3.07788
318	2.74891
319	2.76938
320	2.62667
321	2.52189
322	2.83842
323	2.38159
324	2.72996
325	4.18073
326	3.13044
327	4.56212
328	4.26033
329	2.63317
330	2.85591
331	3.0703
332	3.23969
333	3.38335
334	3.38537
335	3.57847
336	3.68109
337	3.40776
338	2.74846
339	2.44332
340	2.31594
341	2.03527
342	2.77044
343	2.82704
344	2.52726
345	3.12001
346	2.52225
347	2.32358
348	2.61519
349	2.02229
350	2.68303
351	2.48003
352	2.63763
353	2.83674
354	2.81085
355	2.63266
356	2.62423
357	2.92981
358	2.38076
359	3.17122
360	2.58203
361	3.14944
362	2.54859
363	2.22624
364	2.10626
365	2.34065
366	2.53294
367	1.85416
368	2.61641
369	2.61965
370	2.31444
371	3.05967
372	2.24989
373	2.32627
374	2.29615
375	2.72921
376	2.48923
377	2.03791
378	2.1768
379	1.93015
380	2.42082
381	2.89506
382	3.04197
383	2.5604
384	2.55948
385	3.15431
386	2.72169
387	2.32048
388	2.3559
389	2.6387
390	3.86342
391	2.93224
392	2.40876
393	2.43287
394	3.21946
395	3.06854
396	3.29291
397	3.36843
398	3.21508
