frame	x	y	width	height
1	704	245	36	70
2	701	245	35	69
3	698	245	34	68
4	695	245	34	67
5	692	245	33	66
6	689	245	32	66
7	686	245	32	65
8	683	245	31	64
9	680	245	30	63
10	677	246	30	63
11	674	246	29	62
12	671	246	28	61
13	668	246	28	60
14	665	246	27	59
15	662	246	26	59
16	659	246	25	58
17	656	246	25	57
18	653	246	24	56
19	650	247	24	56
20	646	246	24	55
21	643	246	24	55
22	639	246	24	54
23	636	246	24	54
24	633	246	24	54
25	629	246	24	53
26	626	246	24	53
27	623	246	24	52
28	619	246	24	52
29	616	246	24	52
30	612	246	24	51
31	609	246	24	51
32	606	246	24	50
33	602	246	24	50
34	599	246	25	50
35	596	246	25	49
36	592	246	25	49
37	589	246	25	48
38	586	246	25	48
39	582	246	25	48
40	579	246	25	47
41	575	246	25	47
42	572	246	25	46
43	569	246	25	46
44	565	246	25	45
45	562	246	25	45
46	559	246	25	45
47	555	246	25	44
48	552	246	25	44
49	549	246	26	44
50	548	245	25	43
51	547	245	25	43
52	546	245	25	43
53	546	245	25	42
54	545	245	25	42
55	544	245	24	42
56	543	245	24	41
57	543	245	24	41
58	542	245	24	41
59	541	245	24	40
60	540	245	23	40
61	540	245	23	40
62	539	245	23	40
63	538	245	23	39
64	538	245	23	39
65	537	245	22	39
66	536	245	22	38
67	535	245	22	38
68	535	245	22	38
69	534	245	22	37
70	533	245	21	37
71	532	245	21	37
72	532	245	21	36
73	531	245	21	36
74	530	245	21	36
75	530	245	21	36
76	531	245	20	36
77	532	245	20	37
78	534	245	20	38
79	535	245	19	39
80	536	245	19	40
81	538	246	19	41
82	540	246	19	40
83	542	246	20	40
84	544	247	21	39
85	546	247	22	39
86	548	247	23	39
87	550	248	24	38
88	552	248	25	38
89	554	248	26	38
90	556	249	27	37
91	558	249	28	37
92	561	250	29	37
93	563	250	28	36
94	566	250	28	36
95	569	250	28	35
96	572	250	28	35
97	574	250	28	34
98	577	250	28	34
99	580	250	28	33
100	583	250	28	33
101	586	250	28	33
102	587	250	28	32
103	588	250	28	32
104	589	250	28	32
105	591	250	28	31
106	592	251	28	31
107	593	251	28	31
108	595	251	28	30
109	596	251	28	30
110	597	251	28	30
111	599	252	28	30
112	599	250	27	32
113	599	249	27	35
114	599	247	27	37
115	599	246	27	40
116	594	246	26	37
117	589	247	26	35
118	584	247	26	33
119	579	248	26	31
120	572	246	26	32
121	565	245	26	34
122	559	243	26	35
123	552	242	26	37
124	546	241	26	39
125	537	241	25	38
126	529	241	25	38
127	520	241	25	37
128	512	241	25	37
129	503	241	25	36
130	495	241	25	36
131	486	241	25	35
132	478	241	25	35
133	470	242	25	35
134	458	243	25	38
135	446	244	25	42
136	432	245	25	41
137	419	247	25	40
138	406	249	25	39
139	392	250	26	38
140	379	252	26	37
141	366	254	26	36
142	353	256	27	36
143	330	254	27	36
144	308	252	28	36
145	286	250	28	36
146	264	249	29	37
147	245	249	28	37
148	226	250	28	38
149	207	250	28	39
150	189	251	28	40
151	175	252	27	39
152	162	253	26	39
153	148	254	26	39
154	135	255	25	38
155	121	256	25	38
156	108	257	24	38
157	95	259	24	38
158	86	261	30	37
159	78	264	36	36
160	79	264	36	37
161	81	265	36	38
162	83	266	36	40
163	85	266	36	41
164	87	267	36	43
165	89	268	36	44
166	91	268	36	46
167	93	269	36	47
168	95	270	37	49
169	95	270	37	49
170	96	270	37	50
171	96	270	37	50
172	97	270	37	51
173	97	270	37	51
174	98	270	37	52
175	99	270	38	53
176	105	270	37	52
177	112	270	35	51
178	118	271	35	50
179	125	271	34	49
180	132	272	33	48
181	141	270	32	47
182	151	269	31	46
183	161	267	31	45
184	170	266	30	44
185	180	264	29	43
186	190	263	29	43
187	197	263	29	43
188	204	264	29	43
189	211	265	29	44
190	218	266	29	44
191	225	266	29	44
192	232	267	29	45
193	239	268	29	45
194	247	269	30	46
195	254	268	29	46
196	262	267	29	47
197	269	266	29	48
198	277	265	29	49
199	284	264	28	50
200	292	263	28	51
201	300	262	28	52
202	307	261	28	53
203	315	260	27	54
204	322	259	27	55
205	330	258	27	56
206	338	257	27	57
207	345	257	27	56
208	352	257	27	55
209	359	258	27	54
210	366	258	27	53
211	373	258	27	52
212	380	259	27	51
213	387	259	27	50
214	394	259	27	49
215	401	260	27	48
216	408	260	27	47
217	415	261	28	46
218	422	260	28	44
219	430	260	29	43
220	438	260	29	41
221	446	260	30	40
222	452	261	28	40
223	458	262	27	40
224	464	263	26	41
225	470	265	24	41
226	476	266	23	42
227	482	267	22	42
228	488	269	21	43
229	489	266	21	42
230	491	264	21	42
231	493	262	21	42
232	495	260	22	42
233	494	260	22	42
234	494	261	22	42
235	494	261	22	42
236	493	262	23	42
237	493	262	23	42
238	493	263	23	42
239	492	263	24	42
240	492	264	24	42
241	492	264	24	42
242	492	265	25	42
243	477	264	25	42
244	462	264	25	42
245	448	264	26	42
246	433	263	26	42
247	418	263	26	42
248	404	263	27	42
249	389	262	27	42
250	374	262	27	42
251	360	262	28	42
252	347	263	28	42
253	335	265	29	42
254	322	267	30	42
255	310	269	31	42
256	303	270	31	42
257	297	272	32	42
258	291	274	33	42
259	285	276	34	43
260	278	277	34	43
261	272	279	35	43
262	266	281	36	43
263	260	283	37	44
264	250	285	37	42
265	241	288	37	41
266	232	291	37	40
267	222	294	37	39
268	213	297	37	38
269	204	300	37	37
270	193	298	35	37
271	183	297	34	37
272	173	296	32	37
273	163	295	31	38
274	166	296	30	38
275	169	297	29	39
276	173	298	29	40
277	176	299	28	41
278	180	301	28	42
279	185	301	28	41
280	191	302	28	40
281	196	303	29	40
282	202	303	29	39
283	207	304	30	38
284	213	305	30	38
285	218	305	31	37
286	224	306	31	36
287	230	307	32	36
288	233	306	32	36
289	236	305	33	37
290	240	304	33	38
291	243	303	34	38
292	247	302	34	39
293	250	301	35	40
294	254	301	36	41
295	260	300	34	41
296	266	300	33	41
297	272	300	32	41
298	278	299	31	41
299	284	299	30	41
300	290	299	29	41
301	295	298	29	40
302	300	298	30	40
303	305	297	31	40
304	311	297	31	40
305	316	296	32	40
306	321	296	33	40
307	327	296	34	40
308	333	297	32	39
309	339	299	30	38
310	345	300	29	37
311	351	302	27	36
312	357	303	25	35
313	363	305	24	35
314	364	304	23	36
315	365	303	22	37
316	367	303	21	39
317	368	302	20	40
318	369	301	19	41
319	371	301	19	43
320	372	299	19	42
321	374	297	20	41
322	375	296	20	40
323	377	294	21	39
324	378	293	21	39
325	380	291	22	38
326	381	290	22	37
327	383	288	23	36
328	385	287	24	36
329	386	287	23	35
330	387	288	23	35
331	388	288	23	35
332	389	289	22	34
333	390	289	22	34
334	391	290	22	34
335	392	290	22	34
336	393	291	21	33
337	394	291	21	33
338	395	292	21	33
339	397	293	21	33
340	393	293	21	33
341	390	293	21	33
342	387	294	21	33
343	384	294	21	33
344	381	295	21	33
345	378	295	21	33
346	375	296	22	33
347	372	296	22	33
348	369	296	22	33
349	366	297	22	33
350	363	297	22	33
351	360	298	22	33
352	357	298	22	33
353	354	299	23	34
354	345	297	23	34
355	336	295	24	34
356	327	294	25	34
357	318	292	26	34
358	309	291	27	35
359	296	292	27	35
360	284	293	28	36
361	272	294	29	36
362	260	295	30	37
363	248	296	31	37
364	236	297	32	38
365	226	296	32	38
366	217	296	32	38
367	207	295	32	39
368	198	295	32	39
369	188	294	32	40
370	179	294	32	40
371	170	294	32	41
372	166	294	31	41
373	162	295	30	41
374	158	296	29	41
375	154	296	28	41
376	150	297	27	41
377	146	298	26	42
378	143	297	25	42
379	141	297	24	42
380	139	297	24	43
381	139	297	24	44
382	139	297	24	46
383	139	297	24	47
384	139	297	24	49
385	139	297	24	50
386	140	298	24	52
387	139	298	23	50
388	139	299	23	48
389	138	300	23	47
390	138	301	22	45
391	137	301	22	43
392	137	302	22	42
393	136	303	21	40
394	136	304	21	38
395	136	305	21	37
396	138	302	22	39
397	140	300	24	42
398	142	297	26	45
399	144	295	28	48
400	143	296	24	44
401	142	297	21	40
402	141	299	18	37
