frame	x	y	width	height
2	702	245	36	70
3	700	244	36	70
4	696	243	36	70
5	691	242	36	70
6	689	241	36	70
7	687	240	36	70
8	685	238	36	70
9	683	240	34	67
10	680	237	36	70
11	679	240	36	70
12	677	244	36	70
13	674	245	36	70
14	670	249	34	67
15	665	248	34	67
16	661	249	33	63
17	656	248	33	63
18	652	248	33	63
19	649	249	31	60
20	645	249	31	60
21	641	250	30	58
22	638	249	30	58
23	634	250	28	55
24	631	250	28	55
25	627	250	28	55
26	623	249	28	55
27	620	249	28	55
28	618	250	28	55
29	615	249	28	55
30	611	250	28	55
31	608	249	28	55
32	605	249	28	55
33	603	248	28	55
34	600	248	28	55
35	596	248	28	55
36	596	248	27	52
37	593	250	26	50
38	590	249	26	50
39	587	250	24	47
40	585	251	24	47
41	581	251	24	47
42	577	250	24	47
43	574	251	24	47
44	570	252	24	47
45	567	252	23	45
46	564	253	23	45
47	560	252	23	45
48	556	252	23	45
49	552	252	23	45
50	549	251	23	45
51	547	251	23	45
52	546	251	23	45
53	544	251	23	45
54	543	250	23	45
55	543	251	22	43
56	542	250	22	43
57	542	251	22	43
58	541	251	22	43
59	541	251	22	43
60	540	252	22	43
61	539	251	22	43
62	538	251	22	43
63	537	250	23	45
64	537	248	23	45
65	536	248	23	45
66	536	249	22	43
67	534	248	22	43
68	533	249	22	43
69	533	248	22	43
70	533	249	22	43
71	532	248	22	43
72	532	246	22	43
73	533	248	21	41
74	533	247	21	41
75	533	247	21	41
76	534	247	21	41
77	535	247	21	41
78	536	247	21	41
79	537	247	21	41
80	539	247	21	41
81	541	248	21	41
82	542	246	21	41
83	544	247	22	43
84	544	248	21	41
85	547	247	22	43
86	549	246	22	43
87	550	250	21	41
88	553	249	21	41
89	555	249	21	41
90	558	250	21	41
91	561	250	21	41
92	564	250	21	41
93	568	250	21	41
94	570	248	22	43
95	574	249	22	43
96	577	249	22	43
97	581	248	22	43
98	583	248	22	43
99	585	248	22	43
100	586	248	22	43
101	586	248	22	43
102	587	249	22	43
103	586	249	22	43
104	587	250	22	43
105	588	250	22	43
106	590	251	22	43
107	592	251	22	43
108	593	251	22	43
109	594	252	22	43
110	595	251	22	43
111	597	251	22	43
112	598	251	22	43
113	598	250	22	43
114	598	249	22	43
115	597	247	23	45
116	598	248	23	45
117	595	246	24	47
