frame	ave_fps
2	64.7626
3	64.8477
4	58.7305
5	58.3087
6	58.9584
7	65.2972
8	69.0329
9	73.8279
10	77.0115
11	80.6483
12	84.1174
13	86.0716
14	88.9352
15	89.9674
16	92.3856
17	93.7156
18	95.631
19	96.8653
20	98.6785
21	100.498
22	101.188
23	101.927
24	103.366
25	103.994
26	105.312
27	105.657
28	106.662
29	106.232
30	106.804
31	106.818
32	107.414
33	107.632
34	108.377
35	108.531
36	109.24
37	108.909
38	109.35
39	109.326
40	109.656
41	109.829
42	110.316
43	110.938
44	111.155
45	111.471
46	111.454
47	111.834
48	112.334
49	112.306
50	112.396
51	112.716
52	112.624
53	113.024
54	112.993
55	113.361
56	113.397
57	113.579
58	113.665
59	114.042
60	114.011
61	114.415
62	114.319
63	114.732
64	114.728
65	115.143
66	114.433
67	114.629
68	114.603
69	114.994
70	115.341
71	115.361
72	115.728
73	115.902
74	116.273
75	116.267
76	116.622
77	116.377
78	116.749
79	116.808
80	117.139
81	117.207
82	117.391
83	117.353
84	116.969
85	117.306
86	117.351
87	117.688
88	117.721
89	118.04
90	118.041
91	118.308
92	118.326
93	118.431
94	118.506
95	118.792
96	119.09
97	119.006
98	119.272
99	119.277
100	119.505
101	119.755
102	119.936
103	119.853
104	119.753
105	119.245
106	119.359
107	119.181
108	119.234
109	119.209
110	119.373
111	119.228
112	119.419
113	119.281
114	119.476
115	119.293
116	119.427
117	119.42
118	119.532
119	119.498
120	119.616
121	119.529
122	119.624
123	119.545
124	119.667
125	119.637
126	119.689
127	119.835
128	119.982
129	120.099
130	120.111
131	120.059
132	120.089
133	120.091
134	120.182
135	120.129
136	120.257
137	120.214
138	120.379
139	120.511
140	120.457
141	120.503
142	120.439
143	120.514
144	120.581
145	120.679
146	120.799
147	120.854
148	120.959
149	121.042
150	121.149
151	121.195
152	121.036
153	120.852
154	120.812
155	120.906
156	120.912
157	121.014
158	121.023
159	121.118
160	121.113
161	121.2
162	121.123
163	121.251
164	121.092
165	121.222
166	121.142
167	121.224
168	121.242
169	121.33
170	121.318
171	121.407
172	121.354
173	121.44
174	121.322
175	121.426
176	121.394
177	121.486
178	121.454
179	121.292
180	121.175
181	121.105
182	121.079
183	121.216
184	121.248
185	121.318
186	121.322
