frame	x	y	width	height
1	338	225	229	142
2	339	224	228	141
3	340	223	226	140
4	340	222	225	140
5	341	221	223	139
6	342	220	222	139
7	342	219	220	138
8	343	218	219	138
9	344	217	217	137
10	344	216	216	137
11	345	215	214	136
12	346	215	213	136
13	344	214	214	136
14	343	213	215	136
15	342	212	217	137
16	341	211	218	137
17	340	211	220	138
18	339	210	221	138
19	338	209	222	138
20	337	208	224	139
21	336	207	225	139
22	335	207	227	140
23	341	205	220	142
24	348	203	214	144
25	346	208	217	142
26	345	214	220	142
27	344	220	223	141
28	342	226	226	139
29	342	228	227	140
30	342	230	227	139
31	342	233	227	140
32	339	232	227	140
33	336	232	227	140
34	344	236	226	139
35	328	235	226	139
36	312	235	226	139
37	308	229	225	139
38	322	230	225	139
39	337	232	225	139
40	333	230	224	139
41	330	228	224	139
42	326	226	224	139
43	323	225	224	139
44	324	225	224	138
45	325	225	224	139
46	326	226	224	139
47	323	227	224	139
48	320	228	223	139
49	318	229	224	139
50	313	228	224	139
51	309	227	223	139
52	305	226	224	139
53	301	225	224	139
54	296	225	224	139
55	292	224	223	138
56	288	223	224	139
57	284	222	224	138
58	280	222	224	139
59	277	220	224	138
60	274	219	224	139
61	271	218	224	139
62	268	216	224	139
63	265	215	224	139
64	262	214	224	139
65	260	213	224	139
66	264	212	224	139
67	269	211	224	139
68	273	210	224	139
69	278	209	224	139
70	276	209	224	139
71	274	209	224	139
72	273	209	224	139
73	271	209	224	139
74	270	209	224	139
75	269	206	222	139
76	268	204	221	140
77	268	201	220	141
78	267	199	218	141
79	267	196	217	142
80	266	194	216	143
81	266	192	215	144
82	266	189	214	143
83	266	187	213	143
84	267	185	212	142
85	267	183	211	141
86	267	181	210	141
87	268	179	210	141
88	271	177	209	140
89	275	175	208	140
90	278	173	207	140
91	282	172	207	140
92	283	171	206	140
93	284	170	205	140
94	284	172	204	139
95	285	174	203	140
96	286	177	203	140
97	288	183	202	140
98	291	189	201	140
99	294	195	200	140
100	297	201	200	141
101	298	209	199	141
102	299	217	199	142
103	300	225	198	142
104	302	234	198	143
105	304	239	198	142
106	306	245	199	142
107	308	251	199	142
108	310	257	200	142
109	313	263	201	142
110	315	266	201	141
111	317	270	202	141
112	320	274	203	141
113	322	277	203	141
114	324	281	204	141
115	327	285	205	141
116	329	288	205	141
117	332	291	206	141
118	335	295	207	141
119	335	294	208	141
120	336	294	208	141
121	337	293	210	142
122	337	293	211	142
123	338	292	212	143
