frame	x	y	width	height
2	338	225	229	142
3	338	225	229	142
4	339	224	229	142
5	339	222	229	142
6	339	221	229	142
7	338	219	229	142
8	338	217	229	142
9	337	216	229	142
10	338	215	229	142
11	338	215	229	142
12	338	213	229	142
13	338	212	229	142
14	339	212	229	142
15	339	212	229	142
16	340	211	229	142
17	340	210	229	142
18	340	209	229	142
19	339	208	229	142
20	340	207	229	142
21	341	207	229	142
22	340	207	229	142
23	341	206	229	142
24	341	205	229	142
25	340	206	229	142
26	340	215	229	142
27	341	219	229	142
28	342	225	229	142
29	342	228	229	142
30	342	230	229	142
31	341	232	229	142
32	341	233	229	142
33	338	233	229	142
34	343	233	229	142
35	339	232	229	142
36	315	231	229	142
37	309	230	229	142
38	324	230	229	142
39	336	229	229	142
40	332	228	229	142
41	327	228	229	142
42	327	228	229	142
43	326	227	229	142
44	326	226	229	142
45	326	225	229	142
46	325	225	229	142
47	325	224	229	142
48	324	225	229	142
49	317	225	229	142
50	314	224	229	142
51	309	224	229	142
52	305	224	229	142
53	301	223	229	142
54	296	223	229	142
55	293	224	229	142
56	289	223	229	142
57	286	223	229	142
58	282	222	229	142
59	279	221	229	142
60	274	219	229	142
61	271	218	229	142
62	269	216	229	142
63	265	215	229	142
64	263	213	229	142
65	262	212	229	142
66	265	211	229	142
67	266	210	229	142
68	271	209	229	142
69	274	208	229	142
70	274	207	229	142
71	274	206	229	142
72	273	206	229	142
73	270	206	229	142
74	270	206	229	142
75	270	205	229	142
76	267	205	229	142
77	267	204	229	142
78	265	203	229	142
79	263	202	229	142
80	259	200	229	142
81	260	195	229	142
82	260	192	229	142
83	261	188	229	142
84	260	185	229	142
85	258	182	229	142
86	258	182	229	142
87	258	180	229	142
88	257	178	229	142
89	270	176	229	142
90	275	174	229	142
91	271	173	229	142
92	269	172	229	142
93	268	171	229	142
94	268	171	229	142
95	269	173	229	142
96	269	175	229	142
97	272	177	229	142
98	274	181	229	142
99	276	186	229	142
100	279	199	229	142
101	280	209	229	142
102	280	216	229	142
103	282	224	229	142
104	284	234	229	142
105	283	239	229	142
106	287	245	229	142
107	293	254	229	142
108	294	259	229	142
109	295	262	229	142
110	297	264	229	142
111	304	268	229	142
112	305	271	229	142
113	308	276	229	142
114	309	280	229	142
115	312	284	229	142
116	319	287	229	142
117	326	289	229	142
118	327	291	229	142
119	329	293	229	142
120	330	294	229	142
121	330	294	229	142
122	329	295	229	142
123	330	296	229	142
124	332	294	229	142
125	333	293	229	142
126	332	292	229	142
127	331	291	229	142
128	330	289	229	142
129	330	289	229	142
130	330	287	229	142
131	328	285	229	142
132	330	284	229	142
133	329	283	229	142
134	331	285	229	142
135	332	288	229	142
136	332	292	229	142
137	333	292	229	142
138	331	292	229	142
139	329	291	229	142
140	330	291	229	142
141	333	291	229	142
142	333	291	229	142
143	332	291	229	142
144	331	289	229	142
145	330	288	229	142
146	333	288	229	142
147	335	286	229	142
148	335	283	229	142
149	337	280	229	142
150	344	279	229	142
151	353	284	229	142
152	351	297	229	142
153	355	302	229	142
154	356	303	229	142
155	356	308	229	142
156	354	310	229	142
157	351	311	229	142
158	350	311	229	142
159	347	311	229	142
160	356	312	229	142
161	368	314	229	142
162	363	311	229	142
163	361	310	229	142
164	360	309	229	142
165	349	306	229	142
166	342	305	229	142
167	346	305	229	142
168	356	305	229	142
169	362	303	229	142
170	351	291	229	142
171	339	286	229	142
172	336	270	229	142
173	331	262	229	142
174	327	256	229	142
175	323	258	229	142
176	322	259	229	142
177	321	258	229	142
178	321	251	229	142
179	336	231	229	142
180	337	209	229	142
181	339	183	229	142
182	346	164	229	142
183	351	145	229	142
184	357	123	229	142
185	353	117	229	142
186	354	125	229	142
187	363	127	229	142
188	384	114	229	142
189	378	97	229	142
190	359	82	229	142
191	352	68	229	142
192	350	56	229	142
193	352	44	229	142
194	357	37	229	142
195	356	37	229	142
196	346	44	229	142
197	342	54	229	142
198	343	56	229	142
199	345	55	229	142
200	344	51	229	142
201	344	52	229	142
202	345	54	229	142
203	350	59	229	142
204	354	69	229	142
205	359	90	229	142
206	363	110	229	142
207	367	131	229	142
208	371	151	229	142
209	366	168	229	142
210	371	186	229	142
211	396	190	218	135
212	394	188	218	135
213	375	187	218	135
214	357	188	218	135
215	355	190	218	135
216	366	192	218	135
217	367	188	218	135
218	358	192	218	135
219	351	198	218	135
220	346	202	218	135
221	341	207	218	135
222	341	219	208	129
223	337	224	208	129
224	336	228	208	129
225	339	234	208	129
226	343	239	208	129
227	347	239	208	129
228	350	235	208	129
229	353	234	208	129
230	355	232	208	129
231	355	232	208	129
232	353	235	208	129
233	358	242	208	129
234	358	244	208	129
235	359	247	208	129
236	358	251	208	129
237	349	254	208	129
238	342	259	208	129
239	345	266	208	129
240	349	272	208	129
241	349	277	208	129
242	353	283	198	123
243	357	292	188	117
244	356	295	188	117
245	357	296	188	117
246	358	298	188	117
247	360	299	188	117
248	363	298	188	117
249	364	300	188	117
250	365	297	188	117
251	365	299	188	117
252	367	300	188	117
253	366	301	188	117
254	367	303	188	117
255	369	302	179	111
256	362	300	179	111
257	354	297	179	111
258	353	288	179	111
259	358	276	179	111
260	357	269	179	111
261	345	263	179	111
262	348	262	171	106
263	355	249	171	106
264	353	240	171	106
265	352	233	171	106
266	353	227	171	106
267	354	224	171	106
268	354	218	171	106
269	354	209	171	106
270	354	204	171	106
271	355	202	171	106
