frame	ave_fps
2	110.015
3	120.802
4	81.105
5	86.295
6	96.357
7	99.8648
8	100.805
9	103.14
10	108.876
11	114.908
12	120.327
13	124.887
14	127.714
15	128.332
16	132.106
17	135.336
18	138.346
19	139.21
20	141.572
21	143.644
22	146.093
23	148.427
24	150.553
25	149.494
26	151.337
27	153.374
28	154.977
29	154.471
30	155.81
31	157.135
32	158.439
33	157.269
34	158.296
35	159.608
36	160.78
37	159.941
38	160.847
39	162.103
40	163.342
41	164.381
42	165.333
43	165.57
44	165.379
45	166.303
46	167.242
47	168.189
48	169.08
49	168.768
50	169.303
51	170.181
52	170.96
53	171.769
54	170.925
55	171.352
56	172.07
57	172.649
58	173.332
59	173.872
60	173.56
61	173.968
62	174.645
63	175.186
64	175.507
65	175.275
66	175.72
67	176.209
68	176.146
69	175.817
70	176.207
71	176.704
72	177.24
73	177.244
74	176.452
75	176.981
76	177.496
77	177.994
78	178.494
79	176.849
80	177.126
81	177.577
82	178.022
83	178.245
84	178.652
85	178.376
86	178.589
87	178.986
88	179.253
89	179.578
90	179.747
91	179.519
92	179.815
93	180.117
94	180.247
95	180.691
96	181.055
97	181.011
98	180.346
99	180.67
100	181.047
101	181.411
102	181.768
103	181.592
104	181.071
105	181.28
106	181.563
107	181.878
108	182.135
109	182.463
110	182.353
111	182.561
112	182.774
113	183.004
114	182.747
115	182.954
116	182.938
117	183.027
118	182.798
119	182.998
120	183.222
121	183.478
122	183.446
123	183.164
124	183.432
125	183.641
126	183.938
127	183.611
128	183.732
129	183.938
130	184.129
131	183.874
132	183.405
133	183.52
134	183.781
135	183.73
136	183.705
137	183.971
138	184.232
139	184.466
140	184.055
141	184.203
142	184.452
143	184.523
144	184.194
145	184.364
146	184.609
147	184.848
148	185.074
149	184.751
150	184.922
151	185.149
152	185.396
153	185.586
154	185.429
155	185.226
156	185.38
157	185.61
158	185.742
159	185.949
160	186.152
161	186.044
162	186.135
163	186.287
164	186.466
165	186.687
166	186.481
167	186.305
168	186.41
169	186.545
170	186.729
171	186.644
172	186.426
173	186.619
174	186.832
175	186.928
176	186.626
177	186.745
178	186.923
179	187.081
180	186.519
181	186.549
