frame	x	y	width	height
2	162	54	48	177
3	163	53	48	177
4	162	53	48	177
5	163	52	48	177
6	164	52	48	177
7	164	52	48	177
8	165	58	46	169
9	163	52	48	177
10	163	51	48	177
11	161	50	48	177
12	160	50	48	177
13	157	50	48	177
14	158	54	46	169
15	155	55	46	169
16	151	50	48	177
17	148	50	48	177
18	147	50	48	177
19	146	51	48	177
20	145	51	48	177
21	145	55	46	169
22	146	55	46	169
23	145	55	46	169
24	145	55	46	169
25	145	58	44	161
26	145	58	44	161
27	144	58	44	161
28	144	57	44	161
29	144	56	44	161
30	144	56	44	161
31	144	55	44	161
32	145	55	44	161
33	144	50	46	169
34	144	51	46	169
35	143	50	46	169
36	143	50	46	169
37	142	46	48	177
38	144	48	46	169
39	142	43	48	177
40	143	43	48	177
41	141	41	48	177
42	140	40	48	177
43	139	41	48	177
44	139	41	48	177
45	140	43	48	177
46	140	42	48	177
47	141	42	48	177
48	143	41	48	177
49	144	45	46	169
50	144	45	46	169
51	145	39	48	177
52	145	34	50	186
53	146	39	50	186
54	146	36	50	186
55	147	35	50	186
56	147	35	50	186
57	146	27	53	195
58	147	26	53	195
59	147	28	53	195
60	148	33	50	186
61	153	34	50	186
62	153	36	50	186
63	153	34	50	186
64	153	35	50	186
65	154	27	53	195
66	157	28	53	195
67	158	27	53	195
68	158	29	53	195
69	163	34	50	186
70	165	36	50	186
71	169	36	50	186
72	171	36	50	186
73	174	31	53	195
74	177	31	53	195
75	181	33	50	186
76	182	27	53	195
77	186	29	53	195
78	188	35	50	186
79	193	34	50	186
80	196	38	50	186
81	200	35	50	186
82	202	33	50	186
83	203	35	50	186
84	203	28	53	195
85	203	31	53	195
86	203	31	53	195
87	204	28	53	195
88	205	21	56	205
89	204	15	58	215
90	204	13	58	215
91	204	19	56	205
92	206	25	53	195
93	206	25	53	195
94	207	25	53	195
95	208	28	53	195
96	207	29	53	195
97	209	31	53	195
98	212	39	50	186
99	217	45	48	177
100	221	50	46	169
101	224	58	44	161
102	226	63	41	153
103	226	62	44	161
104	226	63	44	161
105	227	63	44	161
106	228	68	41	153
107	228	69	41	153
108	228	69	41	153
109	229	69	41	153
110	230	69	41	153
111	231	70	41	153
112	230	65	44	161
113	231	64	44	161
114	231	66	44	161
115	230	65	44	161
116	229	64	44	161
117	222	63	44	161
118	221	64	44	161
119	218	65	44	161
120	216	68	44	161
121	214	72	41	153
122	210	71	41	153
123	208	76	39	146
124	203	76	39	146
125	199	77	41	153
126	189	28	41	153
127	186	29	39	146
128	185	25	39	146
129	182	21	41	153
130	181	24	41	153
131	180	27	39	146
132	177	27	39	146
133	174	23	41	153
134	173	22	41	153
135	172	22	41	153
136	171	22	41	153
137	170	19	44	161
138	170	15	46	169
139	171	13	46	169
140	171	12	46	169
141	174	13	46	169
142	175	11	46	169
143	177	15	44	161
144	179	15	44	161
145	182	16	44	161
146	185	20	41	153
147	186	19	41	153
148	187	18	41	153
149	187	17	41	153
150	187	12	44	161
151	188	11	44	161
152	188	7	46	169
153	188	6	46	169
154	189	6	46	169
155	190	5	46	169
156	192	9	44	161
157	193	14	41	153
158	192	14	41	153
159	192	15	41	153
160	191	14	41	153
161	191	15	41	153
162	191	15	41	153
163	192	19	39	146
164	192	19	39	146
165	191	15	41	153
166	192	14	41	153
167	192	14	41	153
168	192	15	41	153
169	192	15	41	153
170	193	15	41	153
171	193	16	41	153
172	192	20	41	153
173	190	18	41	153
174	190	19	41	153
175	190	20	41	153
176	189	24	41	153
177	188	19	44	161
178	190	22	41	153
179	191	23	41	153
180	193	27	41	153
181	194	28	41	153
182	196	24	41	153
183	198	24	41	153
184	201	23	41	153
185	202	18	41	153
186	204	13	44	161
187	206	12	44	161
188	208	8	44	161
189	209	8	44	161
190	209	8	44	161
191	210	10	44	161
192	210	11	44	161
193	210	8	46	169
194	210	7	46	169
195	211	6	46	169
196	211	2	48	177
197	212	3	48	177
198	212	4	48	177
199	213	4	48	177
200	214	4	48	177
201	215	4	48	177
202	215	2	48	177
203	216	2	48	177
204	216	2	48	177
205	215	2	48	177
206	215	1	48	177
207	213	0	48	177
208	213	0	48	177
209	211	-1	48	177
210	208	-3	48	177
211	207	-4	48	177
212	205	-3	48	177
213	206	1	46	169
214	206	1	46	169
215	206	1	46	169
216	206	0	46	169
217	204	-5	48	177
218	203	-6	48	177
219	204	-1	46	169
220	201	-6	48	177
221	199	-4	48	177
222	198	-2	48	177
223	198	-2	48	177
224	197	-2	48	177
225	197	-1	48	177
226	196	-1	48	177
227	195	-1	48	177
228	194	0	48	177
229	192	-7	50	186
230	191	-8	50	186
231	189	-8	50	186
232	188	-8	50	186
233	187	-8	50	186
234	186	-9	50	186
235	186	-9	50	186
236	185	-8	50	186
237	185	-8	50	186
238	186	-9	50	186
239	186	-8	50	186
240	187	-8	50	186
241	188	-8	50	186
242	189	-9	50	186
243	191	-9	50	186
244	193	-10	50	186
245	194	-10	50	186
246	194	-11	50	186
247	194	-11	50	186
248	193	-12	50	186
249	191	-12	50	186
250	189	-12	50	186
251	188	-13	50	186
252	186	-13	50	186
253	184	-15	53	195
254	182	-17	56	205
255	180	-16	56	205
256	177	-18	56	205
257	174	-20	56	205
258	172	-18	56	205
259	171	-17	56	205
260	171	-16	56	205
261	171	-15	56	205
262	170	-15	56	205
263	169	-16	56	205
264	169	-17	56	205
265	169	-17	56	205
266	167	-18	56	205
267	166	-19	56	205
268	166	-19	56	205
269	166	-20	56	205
270	166	-20	56	205
271	165	-20	56	205
272	167	-13	53	195
273	166	-13	53	195
274	165	-13	53	195
275	164	-12	53	195
276	162	-16	56	205
277	162	-16	56	205
278	162	-15	56	205
279	163	-14	56	205
280	164	-12	56	205
281	164	-11	56	205
282	164	-11	56	205
283	165	-12	56	205
284	165	-12	56	205
285	166	-12	56	205
286	168	-13	56	205
287	168	-13	56	205
288	169	-11	56	205
289	168	-14	56	205
290	168	-15	56	205
291	168	-15	56	205
292	169	-15	56	205
293	169	-18	56	205
294	168	-17	56	205
295	168	-21	58	215
296	169	-21	58	215
297	171	-20	58	215
298	172	-19	58	215
299	172	-18	58	215
300	171	-18	58	215
301	172	-19	58	215
302	171	-19	58	215
303	172	-20	58	215
304	174	-20	58	215
305	175	-19	58	215
306	177	-20	58	215
307	178	-19	58	215
308	180	-21	58	215
309	182	-23	58	215
310	184	-23	58	215
311	187	-18	56	205
312	188	-16	56	205
313	188	-17	56	205
314	187	-18	56	205
315	187	-19	56	205
316	188	-18	56	205
317	189	-18	56	205
318	190	-16	56	205
319	190	-12	56	205
320	191	-15	56	205
321	188	-14	56	205
322	188	-7	53	195
323	188	-6	53	195
324	188	-4	53	195
325	189	-8	53	195
326	189	-13	53	195
327	186	-15	53	195
328	185	-12	53	195
329	184	-17	56	205
330	184	-16	56	205
331	187	-12	53	195
332	188	-11	53	195
333	187	-16	56	205
334	186	-15	56	205
335	186	-11	56	205
336	185	-11	56	205
337	186	-11	56	205
338	188	-11	56	205
339	190	-11	56	205
340	194	-12	56	205
341	196	-12	56	205
342	199	-13	56	205
343	201	-13	56	205
344	202	-14	56	205
345	204	-17	56	205
346	205	-16	56	205
347	206	-17	56	205
348	207	-18	56	205
349	207	-19	56	205
350	208	-20	56	205
351	208	-25	58	215
352	211	-24	58	215
353	212	-23	58	215
354	213	-21	58	215
355	215	-21	58	215
356	215	-20	58	215
357	215	-19	58	215
358	213	-18	58	215
359	214	-11	56	205
360	211	-11	56	205
361	207	-11	56	205
362	203	-11	56	205
363	199	-12	56	205
364	195	-14	56	205
365	192	-16	56	205
366	194	-15	56	205
367	195	-14	56	205
368	194	-23	58	215
369	195	-20	58	215
370	196	-12	56	205
371	195	-14	56	205
372	194	-11	56	205
373	194	-8	56	205
374	192	-5	56	205
375	189	-4	56	205
376	185	-4	56	205
377	182	-8	56	205
378	180	-4	56	205
379	179	-5	56	205
380	176	-8	56	205
381	172	-3	56	205
382	167	-5	56	205
383	166	2	53	195
384	165	6	50	186
385	164	11	48	177
386	163	9	48	177
387	162	11	48	177
388	161	8	48	177
389	160	9	48	177
390	158	11	48	177
391	157	2	50	186
392	156	1	50	186
393	156	0	50	186
394	156	0	50	186
395	155	2	50	186
396	154	-2	53	195
