frame	x	y	width	height
1	287	74	76	234
2	285	74	74	232
3	283	74	72	231
4	281	75	70	229
5	279	75	69	227
6	277	76	67	225
7	275	76	65	223
8	274	77	64	222
9	271	78	65	220
10	269	80	66	219
11	267	82	67	217
12	265	84	68	216
13	263	86	70	214
14	261	88	71	212
15	259	90	72	211
16	257	92	73	210
17	255	94	74	208
18	253	96	76	207
19	241	94	95	211
20	229	92	114	216
21	217	90	134	221
22	206	88	153	226
23	194	87	173	231
24	182	85	192	236
25	183	81	189	252
26	183	80	191	250
27	183	79	194	248
28	184	77	197	247
29	184	76	199	245
30	191	75	192	245
31	197	75	184	245
32	204	75	177	245
33	210	75	169	245
34	216	75	162	245
35	242	81	132	254
36	245	89	130	239
37	248	97	129	224
38	251	105	127	209
39	254	113	126	194
40	256	112	128	194
41	259	111	131	195
42	262	110	133	195
43	265	109	136	196
44	268	108	139	197
45	205	72	245	255
46	225	71	214	252
47	246	70	182	249
48	267	69	151	246
49	297	78	110	224
50	297	72	104	229
51	298	66	99	235
52	297	68	99	232
53	296	70	99	230
54	295	72	99	227
55	294	74	99	225
56	293	76	99	223
57	292	78	100	220
58	291	80	100	218
59	290	82	100	216
60	289	84	100	213
61	288	86	100	211
62	287	89	101	209
63	288	88	98	210
64	290	87	96	211
65	292	86	94	212
66	293	85	92	213
67	295	84	90	214
68	297	84	88	215
69	298	83	85	216
70	300	82	83	217
71	302	81	81	218
72	303	80	79	219
73	305	79	77	220
74	307	79	75	222
75	306	79	74	220
76	305	79	73	219
77	304	79	73	218
78	303	79	72	217
79	303	80	72	216
80	302	80	71	215
81	301	80	71	214
82	300	80	70	213
83	300	81	70	212
84	301	80	70	212
85	302	79	70	212
86	303	78	70	212
87	305	77	70	212
88	306	76	70	212
89	307	75	70	212
90	309	74	70	212
91	310	73	70	212
92	311	72	70	212
93	313	72	70	213
94	311	69	71	215
95	309	66	73	217
96	308	64	75	220
97	306	61	73	223
98	304	58	71	227
99	302	55	70	231
100	300	52	68	235
101	298	49	66	239
102	296	46	65	243
103	295	48	63	240
104	294	51	61	238
105	294	53	59	236
106	293	56	57	234
107	292	58	55	231
108	292	61	53	229
109	291	63	51	227
110	291	66	49	225
111	291	67	47	223
112	291	68	46	221
113	291	69	44	219
114	291	70	43	217
115	292	71	41	215
116	292	72	40	213
117	292	73	38	211
118	292	74	37	209
119	292	75	35	207
120	293	76	34	206
121	295	75	36	207
122	298	74	39	209
123	300	73	42	211
124	303	72	45	213
125	305	71	48	214
126	308	70	51	216
127	311	69	53	218
128	313	68	56	220
129	316	67	59	221
130	318	66	62	223
131	321	65	65	225
132	324	65	68	227
133	313	68	92	228
134	303	71	117	229
135	293	74	141	230
136	282	78	166	232
137	272	81	190	233
138	262	84	215	234
139	259	87	213	229
140	272	74	239	252
141	266	79	223	245
142	270	82	213	231
143	274	85	204	216
144	270	81	214	227
145	267	78	224	238
146	263	75	234	250
147	268	76	214	240
148	273	77	194	231
149	278	79	173	221
150	283	80	153	212
151	288	82	133	202
152	293	83	113	193
153	298	85	93	184
154	294	83	89	187
155	291	81	86	191
156	288	79	83	195
157	284	77	80	199
158	281	75	77	203
159	278	73	74	207
160	275	71	71	211
161	271	69	68	215
162	268	67	65	219
163	265	65	62	223
164	262	63	59	227
165	261	64	58	224
166	260	66	57	221
167	259	68	56	219
168	258	69	55	217
169	258	71	54	214
170	257	73	53	212
171	256	74	52	209
172	255	76	51	207
173	254	78	50	204
174	254	80	50	202
175	254	78	51	204
176	255	76	51	207
177	256	74	53	209
178	257	72	54	212
179	258	70	55	214
180	259	69	56	217
181	260	67	57	219
182	261	65	58	222
183	262	63	59	224
184	263	61	60	227
185	264	59	61	229
186	265	58	62	232
187	266	59	63	231
188	268	61	65	230
189	269	63	66	229
190	271	65	68	229
191	273	66	69	228
192	274	68	71	227
193	276	70	72	227
194	278	72	74	226
195	279	73	75	225
196	281	75	77	225
197	282	77	78	224
198	284	79	80	223
199	286	80	81	223
200	287	82	83	222
201	289	84	84	221
202	291	86	86	221
203	290	80	83	225
204	289	74	81	230
205	289	68	79	235
206	288	66	77	236
207	287	64	75	238
208	287	62	74	240
209	286	60	72	242
210	285	58	70	244
211	285	57	69	246
212	284	58	67	243
213	283	59	65	241
214	282	60	64	239
215	281	61	62	237
216	280	62	61	235
217	280	61	62	234
218	280	60	64	234
219	280	60	66	234
220	280	59	68	234
221	281	59	69	233
222	281	58	71	233
223	281	58	73	233
224	281	57	75	233
225	282	57	77	233
226	284	59	75	230
227	287	61	74	227
228	289	64	73	224
229	292	66	72	222
230	294	68	70	219
231	297	71	69	216
232	299	73	68	213
233	302	76	67	211
234	304	74	66	211
235	306	72	66	212
236	309	70	66	213
237	311	68	65	214
238	313	66	65	215
239	316	65	65	216
240	318	63	64	217
241	320	61	64	218
242	323	59	64	219
243	325	57	63	220
244	327	55	63	221
245	330	54	63	222
246	330	55	62	219
247	331	56	61	217
248	332	57	60	215
249	333	58	59	213
250	333	59	58	211
251	334	60	57	209
252	335	61	56	207
253	336	62	55	205
254	336	63	54	203
255	337	64	53	201
256	338	65	52	199
257	339	66	51	197
258	338	66	51	196
259	337	66	51	196
260	337	66	51	195
261	336	66	51	195
262	335	66	51	194
263	335	66	52	194
264	334	66	52	194
265	333	66	52	193
266	333	66	52	193
267	332	66	52	192
268	331	67	53	192
269	331	67	53	191
270	330	67	53	191
271	329	67	53	191
272	329	67	53	190
273	328	67	54	190
274	327	67	54	189
275	327	67	54	189
276	326	67	54	188
277	325	67	54	188
278	325	68	55	188
279	324	68	54	186
280	324	68	53	185
281	324	68	52	184
282	324	69	51	183
283	324	69	51	182
284	323	69	50	181
285	323	70	49	180
286	323	70	48	179
287	323	70	47	178
288	323	71	47	177
289	319	71	46	176
290	316	71	45	175
291	313	71	44	174
292	310	71	44	173
293	307	71	43	172
294	304	71	42	171
295	301	72	42	170
296	297	71	44	170
297	294	71	46	170
298	291	71	48	170
299	288	71	50	170
300	285	70	53	170
301	282	70	55	170
302	279	70	57	170
303	276	70	59	170
304	273	70	62	170
305	273	69	61	170
306	273	68	60	171
307	273	67	60	171
308	273	66	59	172
309	273	65	58	172
310	274	65	58	173
311	274	64	57	173
312	274	63	56	174
313	274	62	56	174
314	274	61	55	175
315	274	60	54	175
316	275	60	54	176
317	274	61	54	174
318	274	63	55	173
319	274	65	56	172
320	274	66	57	171
321	274	68	58	170
322	274	70	59	169
323	274	71	59	168
324	274	71	62	168
325	274	72	65	168
326	275	72	67	168
327	275	72	70	168
328	275	72	73	168
329	275	72	75	168
330	275	73	78	168
331	276	73	81	168
332	276	73	84	168
333	276	73	86	168
334	276	73	89	168
335	277	73	92	168
336	277	74	94	168
337	277	74	97	169
338	277	74	100	169
339	277	74	102	169
340	278	74	105	169
341	281	75	99	167
342	284	76	93	166
343	287	76	87	164
344	290	77	81	163
345	294	77	75	161
346	297	78	69	160
347	300	79	63	158
348	303	79	57	157
349	306	80	51	155
350	310	81	45	154
351	291	85	67	150
352	288	85	66	150
353	285	85	66	151
354	282	85	65	151
355	280	85	65	152
356	280	85	64	152
357	280	85	63	152
358	280	85	63	153
359	280	85	62	153
360	280	85	62	154
361	281	86	61	154
362	281	86	61	155
363	281	86	60	155
364	281	86	60	156
365	281	86	59	156
366	282	87	59	157
367	280	87	60	157
368	278	87	61	157
369	276	87	62	157
370	274	87	63	157
371	272	87	64	158
372	274	87	62	158
373	276	87	61	159
374	278	88	60	160
375	280	88	59	161
376	282	88	57	161
377	284	89	56	162
378	286	89	55	163
379	288	89	54	164
380	290	90	53	165
381	292	92	55	163
382	295	94	56	160
383	299	97	56	157
384	303	99	57	155
385	306	101	58	152
386	310	104	59	149
387	314	106	60	146
388	318	109	61	144
389	318	109	64	144
390	319	110	68	144
391	319	110	72	145
392	320	111	76	145
393	321	112	80	145
394	321	112	84	146
395	322	113	88	146
396	322	113	92	146
397	323	114	96	147
398	324	114	93	146
399	326	114	90	146
400	327	115	88	146
401	329	115	85	146
402	330	115	82	146
403	331	115	80	145
404	333	116	77	145
405	333	112	63	151
406	332	112	61	151
407	331	112	59	151
408	329	112	57	150
409	328	112	55	150
410	327	112	53	150
411	325	112	51	150
412	324	112	49	150
413	323	112	47	150
414	322	112	45	150
415	318	110	48	152
416	315	108	52	154
417	312	107	56	156
418	308	105	60	158
419	305	103	63	160
420	302	102	67	162
421	298	100	71	164
422	295	98	75	166
423	292	97	79	168
424	288	98	79	166
425	284	100	79	164
426	280	102	79	162
427	276	104	79	160
428	272	106	79	158
429	269	108	79	156
430	268	107	76	156
431	268	106	74	157
432	268	105	72	157
433	268	104	70	158
434	268	104	67	158
435	268	103	65	159
436	268	102	63	159
437	268	101	61	160
438	268	101	59	161
439	267	99	59	161
440	266	97	60	162
441	266	95	60	163
442	265	93	61	164
443	265	91	61	165
444	264	89	62	166
445	264	88	63	167
446	267	90	60	163
447	271	93	58	160
448	275	96	56	157
449	279	98	53	153
450	283	101	51	150
451	287	104	49	147
452	287	105	51	147
453	288	107	53	148
454	288	109	56	148
455	289	110	58	149
456	289	112	60	149
457	288	112	61	149
458	288	113	61	149
459	287	113	62	149
460	287	113	63	149
461	286	114	63	149
462	286	114	64	149
463	285	114	65	149
464	285	115	65	149
465	284	115	66	149
466	284	116	67	149
467	284	115	67	150
468	284	115	67	152
469	284	114	67	153
470	284	114	67	155
471	284	114	67	157
472	281	111	73	161
473	279	108	80	166
474	277	105	86	171
475	278	105	84	170
476	279	105	82	170
477	280	104	80	169
478	281	104	78	168
479	282	104	76	168
480	283	104	74	167
481	285	104	72	167
482	286	104	70	166
483	287	103	68	165
484	288	103	66	165
485	289	103	64	164
486	290	103	62	164
487	291	103	60	163
488	293	103	58	163
489	292	101	57	164
490	292	100	56	166
491	292	99	55	167
492	292	97	55	169
493	292	96	54	171
494	292	95	53	172
495	292	93	53	174
496	292	92	52	175
497	292	91	51	177
498	292	90	51	179
499	296	94	59	180
500	296	96	61	179
501	296	98	63	177
502	296	100	64	176
503	296	102	66	175
504	296	104	68	173
505	296	106	69	172
506	296	108	71	170
507	296	110	73	169
508	296	112	75	168
509	299	113	72	166
510	303	114	70	165
511	290	108	90	176
512	278	103	111	187
513	266	97	131	199
514	269	98	122	198
515	272	99	113	197
516	274	100	103	196
517	277	101	94	195
518	280	102	85	194
519	283	103	76	193
520	286	104	67	192
521	282	102	68	193
522	279	101	70	195
523	276	100	72	197
524	275	102	72	195
525	275	104	71	194
526	274	105	71	193
527	274	107	71	192
528	273	109	71	190
529	273	110	71	189
530	272	112	71	188
531	272	114	71	187
532	272	116	71	186
