frame	PSR
2	3.51764
3	2.75703
4	1.89767
5	2.62116
6	3.48594
7	3.31642
8	3.41049
9	3.20571
10	3.32244
11	3.40932
12	3.74311
13	3.08832
14	3.53102
15	4.02069
16	3.64943
17	3.79167
18	4.04183
19	3.77084
20	3.22776
21	3.32314
22	3.04037
23	3.46084
24	3.53881
25	3.74538
26	3.95356
27	3.51934
28	3.71005
29	2.87755
30	2.83274
31	2.28282
32	2.01548
33	2.8074
34	2.79791
35	2.4692
36	2.65478
37	2.47448
38	2.78546
39	3.63322
40	3.98913
41	2.9145
42	3.07909
43	2.77805
44	2.75607
45	2.84022
46	2.83477
47	3.4874
48	2.72174
49	2.35987
50	2.90638
51	2.45105
52	2.66641
53	2.83438
54	2.52824
55	2.88375
56	3.21115
57	2.86391
58	2.22644
59	2.61876
60	2.72598
61	3.23942
62	2.84385
