frame	ave_fps
2	88.39
3	61.761
4	60.1302
5	55.5718
6	61.528
7	67.8942
8	73.3308
9	77.5156
10	81.7846
11	85.5666
12	88.0631
13	90.552
14	92.6878
15	94.4128
16	95.9483
17	97.7506
18	99.6922
19	101.55
20	103.242
21	99.6077
22	100.308
23	101.191
24	100.94
25	102.059
26	103.035
27	104.116
28	102.387
29	103.617
30	104.607
31	105.772
32	106.739
33	107.62
34	108.387
35	108.869
36	109.305
37	109.762
38	110.118
39	110.69
40	111.368
41	111.915
42	112.557
43	113.314
44	113.95
45	114.461
46	115.106
47	115.727
48	115.891
49	114.259
50	114.77
51	113.805
52	113.871
53	114.366
54	114.639
55	115.064
56	115.462
57	115.689
58	114.994
59	114.335
60	114.22
61	113.434
62	113.866
