frame	x	y	width	height
1	1098	606	48	68
2	1104	593	38	73
3	1084	583	60	81
4	1074	591	34	61
5	1044	592	35	59
6	1006	591	39	72
7	952	596	70	80
8	923	603	61	75
9	909	599	71	75
10	901	598	64	68
11	883	600	67	48
12	873	593	67	61
13	856	575	66	75
14	842	570	67	72
15	833	563	67	70
16	827	555	70	71
17	816	555	69	68
18	813	562	58	50
19	803	544	59	71
20	806	553	33	55
21	791	545	50	65
22	770	533	82	80
23	778	558	66	46
24	777	555	62	47
25	776	560	71	40
26	774	569	84	23
27	782	555	87	50
28	784	542	86	62
29	791	535	59	44
30	796	525	57	48
31	798	516	49	48
32	798	500	45	61
33	793	487	53	66
34	794	486	50	59
35	788	485	49	58
36	782	486	49	53
37	768	482	58	50
38	763	491	53	36
39	754	497	50	23
40	743	496	40	20
41	731	494	31	17
42	710	480	44	29
43	691	474	42	29
44	672	467	40	29
45	655	465	32	26
46	628	456	37	31
47	604	453	39	33
48	578	447	42	34
49	551	442	44	36
50	526	443	39	32
51	496	440	40	32
52	465	438	41	32
53	433	437	42	32
54	398	436	42	32
55	362	435	43	32
56	328	436	43	34
57	287	435	42	33
58	246	436	39	31
59	207	441	35	27
60	167	443	35	26
61	119	441	40	31
62	72	440	43	33
63	26	438	43	43
