frame	x	y	width	height
2	1100	605	48	68
3	1097	581	48	68
4	1073	580	48	68
5	1066	607	48	68
6	1073	613	48	68
7	1078	619	48	68
8	1083	620	48	68
9	1092	626	48	68
10	1098	631	48	68
11	1107	635	48	68
12	1112	638	48	68
13	1119	642	48	68
14	1127	650	46	65
15	1135	654	46	65
16	1141	657	46	65
17	1147	660	46	65
18	1154	665	46	65
19	1161	668	44	62
20	1169	670	44	62
21	1176	673	44	62
22	1184	676	44	62
23	1191	681	44	62
24	1197	684	46	65
25	1203	686	46	65
26	1211	688	46	65
27	1220	691	46	65
28	1228	693	46	65
29	1233	694	46	65
30	1219	696	46	65
31	1207	690	46	65
32	1205	689	46	65
33	1193	691	46	65
34	1192	698	46	65
35	1197	693	46	65
36	1190	692	46	65
37	1179	690	46	65
38	1166	689	46	65
39	1190	691	46	65
40	1182	686	46	65
41	1167	685	48	68
42	1159	690	48	68
43	1141	683	48	68
44	1139	691	50	71
45	1138	692	50	71
46	1153	695	50	71
47	1147	688	50	71
48	1129	685	50	71
49	1117	691	50	71
50	1118	678	50	71
51	1110	686	53	75
52	1099	694	50	71
53	1112	688	50	71
54	1099	689	48	68
55	1100	693	46	65
56	1095	690	48	68
57	1085	687	46	65
58	1070	701	46	65
59	1072	697	46	65
60	1084	696	46	65
61	1085	695	46	65
62	1083	688	46	65
