frame	PSR
2	9.31528
3	10.2187
4	9.38702
5	8.84833
6	9.97666
7	7.94351
8	8.04873
9	4.74681
10	7.422
11	8.59599
12	8.34825
13	9.02445
14	9.74652
15	7.21716
16	7.67366
17	8.76967
18	5.70475
19	8.64863
20	8.62988
21	8.76233
22	8.02905
23	9.22361
24	9.93755
25	8.81959
26	9.06101
27	8.10526
28	10.0295
29	9.14257
30	9.33009
31	8.76137
32	9.88603
33	8.04491
34	9.27621
35	8.43216
36	9.10463
37	6.03254
38	6.99165
39	8.41838
40	8.18129
41	9.17067
42	8.59141
43	9.53574
44	9.87489
45	9.7873
46	9.38241
47	8.19306
48	8.55613
49	6.9259
50	7.23392
51	8.36135
52	9.28897
53	9.24114
54	9.23504
55	8.51625
56	8.00434
57	9.26202
58	9.7003
59	8.42023
60	9.58914
61	9.26689
62	9.64091
63	9.92846
64	9.12631
65	8.575
66	9.99099
67	10.035
68	9.61695
69	9.30643
70	9.56968
71	9.05365
72	9.39522
73	8.38392
74	8.72936
75	8.95597
76	7.88315
77	8.02861
78	8.44231
79	8.72181
80	8.83186
81	9.29727
82	9.40178
83	8.28297
84	9.65658
85	9.19029
86	8.13901
87	8.14585
88	7.93542
89	6.52258
90	8.32724
91	8.1881
92	8.76196
93	9.41926
94	9.45702
95	8.94501
96	9.48219
97	8.96156
98	9.33221
99	9.44187
100	8.91926
101	8.69802
102	8.65938
103	9.52891
104	9.26299
105	8.34078
106	8.07667
107	7.9301
108	8.50698
109	6.94835
110	6.8533
111	7.50121
112	7.53595
113	8.50287
114	7.60018
115	7.71058
116	8.08312
117	9.60573
118	8.73698
119	7.72115
120	8.26542
121	8.47921
122	8.27294
123	8.18334
124	8.45142
125	9.30253
126	8.50471
127	8.55595
128	8.24722
129	8.8222
130	9.48485
131	8.77909
132	9.04196
133	9.55308
134	9.66335
135	8.54753
136	9.07326
137	8.35083
138	7.1039
139	7.93701
140	8.09822
141	7.47185
142	7.93738
143	8.84429
144	8.21824
145	7.38525
146	8.95686
147	8.62893
148	8.77322
149	9.28006
150	9.1845
151	8.48846
152	9.45105
153	8.55456
154	9.44886
155	9.50175
156	8.88979
157	9.11948
158	9.66229
159	9.67163
160	9.65864
161	9.62989
162	9.60976
163	9.22681
164	8.71844
165	8.62351
166	8.95852
167	9.11023
168	7.11249
169	8.1282
170	8.59718
171	8.23833
172	7.79365
173	8.51936
174	8.40379
175	7.80598
176	7.46098
177	7.88376
178	7.5796
179	7.31237
180	7.26932
181	7.09988
182	7.64149
183	7.71478
184	7.46159
185	7.26336
186	7.14085
187	6.8414
188	7.32721
189	7.35886
190	6.63556
191	6.93468
192	6.74265
193	5.841
194	5.36189
195	5.38155
196	5.08071
197	4.75447
198	5.33702
199	5.97762
200	5.92232
