frame	ave_fps
2	93.9226
3	80.3076
4	72.7543
5	72.5796
6	74.7922
7	77.5076
8	83.5886
9	88.2614
10	93.3791
11	97.7092
12	100.949
13	94.2275
14	96.5515
15	99.3682
16	102.288
17	104.938
18	107.097
19	109.168
20	110.881
21	111.955
22	109.484
23	110.635
24	111.907
25	113.377
26	115.01
27	116.6
28	118.105
29	119.004
30	120.14
31	121.546
32	122.304
33	123.411
34	124.265
35	124.956
36	125.875
37	126.961
38	127.969
39	128.047
40	128.677
41	129.512
42	130.435
43	131.274
44	131.482
45	132.065
46	132.749
47	133.358
48	129.354
49	129.341
50	129.886
51	130.621
52	131.165
53	131.525
54	131.998
55	132.354
56	132.958
57	130.253
58	130.245
59	130.006
60	130.114
61	130.264
62	130.816
63	131.301
64	131.23
65	131.601
66	131.3
67	131.54
68	132.1
69	132.58
70	133.062
71	133.464
72	133.526
73	134.022
74	134.517
75	134.688
76	134.924
77	135.25
78	135.551
79	135.895
80	136.26
81	136.323
82	136.581
83	134.592
84	135.027
85	135.365
86	135.471
87	135.895
88	136.263
89	136.559
90	136.776
91	137.086
92	135.683
93	135.639
94	135.803
95	136.13
96	136.458
97	136.776
98	136.974
99	137.342
100	137.655
101	137.956
102	138.01
103	138.2
104	138.52
105	138.794
106	138.564
107	138.832
108	138.986
109	139.225
110	139.514
111	139.773
112	139.777
113	139.949
114	140.113
115	140.379
116	140.649
117	140.693
118	140.863
119	139.436
120	139.637
121	139.872
122	140.112
123	139.803
124	139.908
125	140.063
126	140.316
127	140.026
128	139.972
129	139.632
130	139.667
131	139.856
132	139.316
133	139.542
134	139.736
135	139.914
136	139.786
137	139.92
138	140.122
139	140.32
140	140.484
141	140.687
142	140.733
143	140.959
144	141.158
145	141.143
146	141.276
147	141.458
148	141.504
149	141.679
150	141.873
151	142.013
152	142.141
153	141.399
154	141.594
155	141.792
156	141.98
157	142.054
158	142.104
159	142.286
160	142.481
161	142.21
162	142.278
163	142.461
164	142.65
165	142.765
166	142.863
167	142.941
168	143.11
169	143.238
170	143.377
171	143.449
172	143.571
173	143.727
174	143.739
175	143.684
176	143.834
177	144.003
178	144.16
179	144.147
180	144.121
181	144.225
182	144.394
183	144.519
184	144.672
185	144.756
186	144.774
187	143.992
188	144.045
189	144.174
190	144.229
191	144.304
192	144.443
193	144.583
194	144.707
195	144.803
196	144.343
197	144.45
198	144.569
199	144.509
200	144.322
