frame	x	y	width	height
1	735	217	81	171
2	742	217	80	171
3	750	217	79	172
4	758	217	78	172
5	767	215	77	173
6	775	213	76	173
7	784	211	76	174
8	784	205	86	181
9	784	199	97	189
10	784	194	108	196
11	799	196	93	188
12	814	198	78	180
13	830	201	63	173
14	831	202	70	178
15	832	204	78	183
16	833	206	85	188
17	842	208	80	186
18	850	210	75	183
19	859	211	69	181
20	862	206	73	183
21	866	200	77	186
22	870	195	81	188
23	880	196	73	182
24	890	197	64	177
25	901	198	56	172
26	900	194	64	176
27	899	190	73	180
28	898	186	81	184
29	908	188	77	184
30	918	190	73	184
31	928	192	69	184
32	932	190	72	187
33	935	188	76	189
34	939	185	79	191
35	943	183	82	194
36	947	181	85	196
37	951	179	89	198
38	951	177	88	197
39	950	175	88	195
40	950	173	88	193
41	948	177	88	191
42	947	181	88	190
43	946	185	87	188
44	947	183	89	192
45	948	180	90	195
46	949	178	91	199
47	953	174	92	203
48	957	171	93	206
49	962	167	94	210
50	965	169	93	205
51	968	170	91	200
52	971	171	89	196
53	974	175	88	191
54	978	178	86	186
55	982	181	85	181
56	986	183	85	180
57	990	185	85	180
58	994	187	85	179
59	999	187	84	179
60	1004	187	84	178
61	1009	188	84	178
62	1009	189	84	179
63	1009	189	84	181
64	1009	190	84	182
65	1010	193	83	184
66	1011	197	83	185
67	1012	200	83	187
68	1008	203	84	188
69	1003	205	85	189
70	998	208	86	190
71	995	206	87	190
72	991	203	88	191
73	987	201	89	192
74	974	197	91	193
75	961	192	92	194
76	949	187	94	195
77	935	184	95	195
78	922	181	97	196
79	909	178	98	197
80	895	182	97	195
81	882	186	95	193
82	868	190	93	191
83	850	192	91	189
84	832	194	89	186
85	814	196	87	184
86	788	194	85	183
87	762	192	82	182
88	736	190	79	180
89	714	184	77	179
90	691	179	74	178
91	669	174	71	176
92	650	171	74	179
93	631	169	76	181
94	612	167	79	184
95	594	169	81	186
96	577	170	84	189
97	560	172	86	191
98	545	174	86	192
99	530	176	86	194
100	516	178	86	195
101	504	177	86	197
102	493	176	86	198
103	481	174	87	200
104	469	177	87	198
105	457	179	87	197
106	445	182	87	196
107	433	183	87	195
108	421	185	87	194
109	409	187	87	193
110	400	190	85	193
111	392	193	83	193
112	383	196	81	193
113	376	197	79	193
114	368	199	77	193
115	360	200	75	193
116	353	202	73	191
117	346	203	71	190
118	338	205	69	189
119	334	206	67	188
120	329	208	65	187
121	325	210	63	186
122	317	211	63	184
123	310	213	64	182
124	303	214	65	181
125	298	214	66	179
126	293	214	67	177
127	288	215	68	176
128	282	215	70	176
129	277	215	72	177
130	272	215	75	178
131	270	211	77	178
132	269	208	79	179
133	267	205	82	180
134	271	209	82	178
135	275	213	82	176
136	278	217	82	175
137	285	220	82	173
138	291	224	82	172
139	298	227	82	170
140	305	228	81	171
141	313	228	81	171
142	320	229	81	172
143	327	229	81	172
144	331	226	81	173
145	335	224	81	173
146	338	221	80	174
147	342	219	80	174
148	341	224	77	172
149	339	229	73	171
150	338	234	70	169
151	337	238	71	170
152	337	243	73	171
153	336	247	74	172
154	337	248	78	172
155	337	249	81	173
156	338	249	85	174
157	337	248	88	174
158	337	246	92	175
159	337	245	95	176
160	340	245	94	174
161	342	245	92	172
162	344	245	91	170
163	350	242	89	168
164	356	239	87	167
165	362	236	86	165
166	366	237	84	165
167	371	237	83	165
168	375	238	82	165
169	381	237	81	164
170	387	236	79	164
171	392	236	78	164
172	398	233	76	165
173	403	231	75	165
174	409	228	73	165
175	416	230	72	166
176	424	232	70	166
177	432	235	69	167
178	437	237	66	168
179	443	239	64	169
180	448	241	61	171
181	452	243	59	172
182	456	244	56	173
183	461	246	54	175
184	464	245	54	173
185	468	245	55	171
186	472	244	56	169
187	473	243	56	167
188	475	242	57	164
189	477	241	58	163
190	481	237	56	163
191	486	233	55	163
192	491	230	54	164
193	494	232	53	164
194	497	234	52	164
195	501	236	51	165
196	505	238	51	165
197	509	240	52	166
198	513	242	53	167
199	515	243	53	168
200	516	244	54	169
201	517	245	55	170
