frame	x	y	width	height
2	738	221	81	171
3	739	222	81	171
4	755	224	81	171
5	761	223	81	171
6	762	223	81	171
7	778	219	81	171
8	778	214	81	171
9	798	242	85	180
10	795	205	85	180
11	796	205	85	180
12	803	201	85	180
13	809	200	85	180
14	811	201	85	180
15	823	211	85	180
16	829	215	81	171
17	831	216	81	171
18	848	216	81	171
19	848	217	81	171
20	848	218	81	171
21	865	212	81	171
22	869	204	81	171
23	873	203	81	171
24	874	202	81	171
25	886	200	81	171
26	891	200	81	171
27	899	198	81	171
28	900	197	81	171
29	913	196	81	171
30	917	197	81	171
31	922	199	81	171
32	923	199	81	171
33	933	201	81	171
34	935	197	81	171
35	939	193	81	171
36	940	192	81	171
37	939	184	85	180
38	943	174	89	189
39	945	175	89	189
40	949	179	85	180
41	948	183	85	180
42	948	190	85	180
43	947	191	85	180
44	948	191	85	180
45	948	190	85	180
46	950	187	85	180
47	955	180	85	180
48	959	176	85	180
49	962	180	81	171
50	963	180	81	171
51	969	179	81	171
52	972	182	81	171
53	975	183	81	171
54	978	185	81	171
55	983	188	81	171
56	989	192	81	171
57	991	194	81	171
58	992	194	81	171
59	998	198	81	171
60	1001	197	81	171
61	1005	195	81	171
62	1007	194	81	171
63	1009	194	81	171
64	1007	195	85	180
65	1007	203	85	180
66	1007	204	85	180
67	1007	204	85	180
68	1008	206	85	180
69	1007	210	85	180
70	1004	212	85	180
71	1000	211	85	180
72	996	209	85	180
73	987	208	85	180
74	976	207	85	180
75	964	204	85	180
76	955	200	85	180
77	944	194	85	180
78	932	190	85	180
79	921	190	85	180
80	909	191	85	180
81	893	193	85	180
82	876	197	85	180
83	859	207	85	180
84	841	206	85	180
85	820	203	85	180
86	797	201	85	180
87	764	200	85	180
88	739	198	85	180
89	710	187	85	180
90	690	182	85	180
91	669	178	85	180
92	650	173	85	180
93	630	171	85	180
94	611	172	85	180
95	592	176	85	180
96	575	176	85	180
97	560	179	85	180
98	543	180	85	180
99	528	181	85	180
100	514	185	85	180
101	508	186	85	180
102	497	186	85	180
103	481	186	85	180
104	465	188	85	180
105	454	190	85	180
106	444	189	85	180
107	434	186	85	180
108	419	186	85	180
109	412	194	85	180
110	400	204	85	180
111	391	203	85	180
112	382	199	85	180
113	376	198	85	180
114	369	203	85	180
115	359	206	85	180
116	350	208	85	180
117	349	209	85	180
118	332	210	85	180
119	324	209	85	180
120	318	211	85	180
121	315	214	85	180
122	309	214	85	180
123	303	217	85	180
124	297	219	85	180
125	294	217	85	180
126	288	219	85	180
127	284	218	85	180
128	273	217	85	180
129	271	221	85	180
130	270	220	85	180
131	268	214	85	180
132	266	209	85	180
133	266	208	85	180
134	266	208	85	180
135	270	213	85	180
136	273	215	85	180
137	281	215	85	180
138	289	223	81	171
139	295	227	81	171
140	302	228	81	171
141	315	235	77	163
142	323	236	77	163
143	326	235	77	163
144	331	231	77	163
145	337	219	77	163
146	340	221	77	163
147	339	227	77	163
148	338	232	77	163
149	336	234	77	163
150	334	236	77	163
151	334	245	77	163
152	334	247	77	163
153	332	253	77	163
154	332	254	77	163
155	333	255	77	163
156	335	258	77	163
157	339	258	77	163
158	340	256	77	163
159	342	256	77	163
160	343	255	77	163
161	343	253	77	163
162	345	251	77	163
163	348	249	77	163
164	353	246	77	163
165	358	244	77	163
166	363	242	77	163
167	366	244	77	163
168	372	250	73	155
169	379	250	73	155
170	381	244	77	163
171	386	243	77	163
172	392	240	77	163
173	395	238	77	163
174	397	235	77	163
175	402	234	77	163
176	409	232	77	163
177	412	232	77	163
178	418	230	77	163
179	422	232	77	163
180	428	242	73	155
181	431	244	73	155
182	434	246	73	155
183	437	244	73	155
184	440	245	73	155
185	442	248	73	155
186	445	248	73	155
187	453	249	73	155
188	456	245	73	155
189	456	239	77	163
190	460	235	77	163
191	465	237	73	155
192	466	236	77	163
193	469	237	77	163
194	473	237	77	163
195	475	238	77	163
196	480	244	73	155
197	485	248	73	155
198	490	249	73	155
199	494	249	73	155
200	497	250	73	155
