frame	PSR
2	2.44491
3	3.77009
4	3.55811
5	3.71352
6	3.9225
7	3.39932
8	3.19837
9	3.15194
10	2.90159
11	2.93853
12	3.20124
13	3.28805
14	2.05995
15	2.38722
16	2.87277
17	2.36547
18	1.99962
19	3.39921
20	2.96726
21	2.51671
22	2.59429
23	2.33047
24	2.61799
25	3.19263
26	2.51442
27	3.03559
28	3.3254
29	2.84486
30	2.65095
31	2.78411
32	3.01647
33	2.42477
34	2.52567
35	2.84016
36	2.60895
37	2.82686
38	2.95761
39	3.01647
40	3.04603
41	2.61988
42	3.492
43	2.8987
44	2.14025
45	3.31235
46	2.64839
47	2.18527
48	1.86765
49	2.75945
50	3.26077
51	3.26019
52	2.69534
53	2.217
54	2.98647
55	2.99436
56	2.73232
57	3.24657
58	3.59001
59	3.43604
60	2.62989
61	3.06251
62	3.29485
63	3.4391
64	3.11894
65	3.42322
66	2.15047
67	2.0911
68	2.03568
69	2.1297
70	2.35389
71	1.98663
72	2.56346
73	2.27626
74	2.74865
75	2.49073
76	2.37843
77	2.54729
78	2.51912
79	2.45954
80	3.11295
81	1.72368
82	2.55857
83	2.34246
84	2.25136
85	2.15718
86	2.55001
87	1.90137
88	2.07836
89	2.17008
90	2.6326
91	1.92787
92	2.362
93	2.22294
94	2.21957
95	2.69151
96	2.86757
97	2.5481
98	2.09068
99	2.01107
