frame	ave_fps
2	61.2969
3	59.0437
4	53.1271
5	54.3969
6	55.5668
7	59.7529
8	64.314
9	67.0484
10	70.2997
11	72.3311
12	74.8806
13	76.1239
14	78.2247
15	79.0328
16	80.8793
17	81.3781
18	82.8974
19	83.5722
20	84.9307
21	85.5117
22	86.7275
23	86.9919
24	88.1347
25	88.1126
26	89.1168
27	89.3374
28	90.2123
29	90.4849
30	91.2141
31	91.4432
32	91.9893
33	92.1494
34	92.0466
35	91.8513
36	92.3167
37	92.46
38	93.0975
39	93.132
40	93.736
41	93.8124
42	94.2992
43	94.3926
44	94.8719
45	94.8726
46	95.3382
47	95.2919
48	95.741
49	93.8078
50	93.9247
51	94.3295
52	94.2673
53	94.7162
54	94.6485
55	94.8093
56	95.1477
57	95.0598
58	95.3967
59	95.465
60	95.7737
61	95.8402
62	96.1782
63	96.1951
64	96.4878
65	96.4799
66	96.7442
67	96.7689
68	97.0451
69	97.0531
70	97.2594
71	97.1016
72	97.2045
73	97.0276
74	97.2814
75	97.2709
76	97.5058
77	97.4999
78	97.7025
79	97.7144
80	97.9363
81	97.6
82	97.8607
83	97.7455
84	97.7724
85	98.0053
86	97.9722
87	98.1541
88	98.1304
89	98.3221
90	98.2986
91	98.5177
92	98.4588
93	98.6139
94	98.5887
95	98.7525
96	98.7472
97	98.7966
98	98.8965
99	98.8921
