frame	x	y	width	height
1	333	36	38	42
2	333	29	38	43
3	333	23	38	44
4	334	17	39	46
5	337	13	40	48
6	341	10	41	50
7	345	17	43	48
8	349	25	45	46
9	353	33	48	44
10	358	41	45	43
11	363	50	42	43
12	369	59	39	43
13	364	57	37	43
14	362	54	38	44
15	352	47	40	45
16	343	40	42	47
17	336	32	41	45
18	329	25	41	43
19	324	21	41	41
20	319	17	41	39
21	319	16	41	42
22	319	15	41	46
23	321	20	41	47
24	324	26	42	48
25	327	27	45	48
26	330	29	49	48
27	333	31	53	49
28	336	26	51	48
29	339	21	49	48
30	342	17	48	48
31	349	18	46	48
32	356	20	45	48
33	367	32	43	46
34	378	45	42	45
35	386	62	40	44
36	395	80	39	43
37	398	91	37	36
38	402	102	35	29
39	400	106	41	33
40	397	108	43	37
41	395	111	45	41
42	391	110	48	46
43	393	108	48	48
44	382	93	48	50
45	372	70	48	52
46	363	48	49	55
47	349	30	46	57
48	335	13	44	59
49	319	12	46	56
50	303	11	48	53
51	296	16	51	50
52	299	19	50	51
53	303	23	49	52
54	307	27	48	53
55	306	23	48	55
56	305	19	48	58
57	304	15	48	61
58	299	10	53	61
59	295	5	58	61
60	286	6	57	62
61	291	6	56	64
62	296	7	56	66
63	308	4	57	61
64	320	2	58	56
65	321	1	61	59
66	323	0	64	63
67	322	2	61	64
68	322	5	59	65
69	322	8	57	66
70	319	4	59	64
71	316	1	61	63
72	312	1	64	62
73	306	1	68	61
74	299	0	70	64
75	281	3	73	77
76	273	24	77	90
77	283	61	76	93
78	305	100	75	97
79	323	139	76	91
80	332	155	77	85
81	335	170	78	80
82	323	168	79	78
83	312	167	80	76
84	301	156	75	78
85	291	145	70	81
86	270	122	76	83
87	249	100	83	85
88	235	76	84	91
89	221	53	86	98
90	213	25	89	105
91	196	4	93	112
92	176	-1	99	101
93	158	2	96	102
94	144	1	93	116
95	139	8	99	115
96	134	15	105	115
97	139	16	108	123
98	144	17	111	131
99	150	19	115	139
100	151	11	125	137
