frame	x	y	width	height
2	332	31	38	42
3	335	22	38	42
4	337	16	38	42
5	339	11	38	42
6	342	12	36	40
7	347	18	36	40
8	352	27	34	38
9	357	36	34	38
10	362	44	34	38
11	368	53	34	38
12	368	58	34	38
13	368	61	34	38
14	362	56	34	38
15	355	48	34	38
16	349	41	33	36
17	346	37	31	35
18	348	34	31	35
19	349	34	31	35
20	343	33	31	35
21	347	31	30	33
22	340	31	31	35
23	345	31	31	35
24	337	31	31	35
25	332	38	31	35
26	335	35	31	35
27	336	35	31	35
28	338	31	31	35
29	336	27	33	36
30	338	22	33	36
31	347	20	33	36
32	354	22	33	36
33	368	30	33	36
34	367	30	31	35
35	371	30	30	33
36	372	30	30	33
37	371	29	31	35
38	371	29	31	35
39	372	28	31	35
40	373	27	33	36
41	370	27	33	36
42	368	27	34	38
43	371	29	34	38
44	368	30	34	38
45	367	29	34	38
46	368	46	34	38
47	373	43	34	38
48	370	34	34	38
49	366	34	34	38
50	364	33	34	38
51	367	31	36	40
52	368	31	34	38
53	366	34	34	38
54	369	35	34	38
55	366	35	34	38
56	364	33	36	40
57	366	35	36	40
58	365	36	36	40
59	366	37	36	40
60	365	38	36	40
61	364	38	36	40
62	363	38	36	40
63	363	39	36	40
64	361	40	36	40
65	361	40	36	40
66	359	43	36	40
67	362	42	36	40
68	365	33	38	42
69	355	39	38	42
70	354	38	38	42
71	344	43	38	42
72	341	44	38	42
73	341	60	38	42
74	339	68	40	44
75	332	79	40	44
76	335	67	40	44
77	332	70	40	44
78	336	70	40	44
79	332	72	40	44
80	330	74	38	42
81	331	73	38	42
82	330	92	38	42
83	325	90	38	42
84	328	94	40	44
85	323	82	40	44
86	317	84	42	46
87	319	82	40	44
88	320	88	40	44
89	328	96	40	44
90	330	100	38	42
91	332	99	38	42
92	335	105	38	42
93	341	103	36	40
94	348	96	36	40
95	347	99	36	40
96	346	99	36	40
97	341	107	36	40
98	336	109	38	42
99	334	105	36	40
