frame	ave_fps
2	54.2021
3	47.2054
4	45.6841
5	47.7383
6	42.8067
7	47.1871
8	51.0806
9	53.2339
10	56.4263
11	58.3807
12	60.8123
13	62.1607
14	64.1129
15	65.2044
16	65.4484
17	66.3528
18	67.7953
19	68.4163
20	69.7699
21	70.3925
22	71.5519
23	72.5671
24	73.0153
25	73.9808
26	74.194
27	74.4162
28	74.7198
29	75.4811
30	75.7866
31	76.5459
32	76.7813
33	77.4776
34	77.7054
35	78.2739
36	78.4617
37	79.0765
38	79.3335
39	79.95
40	79.9426
41	80.5137
42	80.136
43	80.5844
44	80.6742
45	81.1296
46	81.253
47	81.731
48	81.8723
49	82.3271
50	82.3889
51	82.7445
52	82.8943
53	83.2424
54	83.3092
55	83.7116
56	83.7809
57	84.1099
58	84.1924
59	84.5214
60	84.5873
61	84.8555
62	84.927
63	85.2052
64	85.2596
65	85.5761
66	85.6207
67	85.8899
68	85.8942
69	86.1244
70	86.1303
71	86.3584
72	86.3648
73	86.6191
74	86.5588
75	86.7845
76	86.757
77	86.9618
78	86.7915
79	86.7343
80	86.3652
81	86.3611
82	86.6013
83	86.5983
84	86.7895
85	86.7939
86	86.9989
87	87.0348
88	87.2284
89	87.2178
90	87.4421
91	87.4479
92	87.6604
93	87.652
94	87.7938
95	87.8406
96	87.3992
97	87.4323
98	87.6297
99	87.8278
100	88.0062
101	88.0639
102	88.2303
103	88.2656
104	88.4436
105	88.4852
106	88.6661
107	88.6473
108	88.8225
109	88.8152
110	88.9386
111	88.9705
112	89.1355
113	89.1433
114	89.3099
115	89.2265
116	89.3381
117	89.3322
118	89.4714
119	89.4676
120	89.6166
121	89.5869
122	89.7435
123	89.7141
124	89.845
125	89.8165
126	89.9365
127	89.9468
128	90.0605
129	90.0304
130	90.1739
131	90.1407
132	90.2801
133	90.2729
134	90.4005
135	90.416
136	90.5382
137	90.5269
138	90.6541
139	90.6518
140	90.7235
141	90.7163
142	90.8604
143	90.8735
144	90.9974
145	91.0136
146	91.1273
147	91.1376
148	91.2462
149	91.2278
150	91.3615
151	91.3732
152	91.5023
153	91.2897
154	91.0541
155	91.0962
156	91.1791
157	91.1942
158	91.3081
159	91.3247
160	91.4107
161	91.3892
162	91.5016
163	91.458
