frame	x	y	width	height
2	104	64	130	125
3	101	61	130	125
4	99	57	136	131
5	98	51	143	138
6	100	51	143	138
7	104	50	143	138
8	114	49	143	138
9	118	49	143	138
10	118	50	143	138
11	126	49	143	138
12	131	49	143	138
13	137	55	136	131
14	141	56	136	131
15	140	54	143	138
16	142	54	143	138
17	146	57	143	138
18	143	55	150	145
19	161	52	150	145
20	159	53	150	145
21	169	52	150	145
22	166	53	150	145
23	167	54	150	145
24	168	54	150	145
25	161	53	150	145
26	160	57	143	138
27	158	48	143	138
28	154	38	143	138
29	147	38	136	131
30	150	37	130	125
31	148	27	130	125
32	151	16	130	125
33	148	5	130	125
34	150	-5	124	119
35	152	-13	118	113
36	153	-20	112	108
37	151	-30	112	108
38	154	-37	107	103
39	152	-52	107	103
40	152	-60	102	98
41	142	-62	102	98
42	111	-19	102	98
43	124	-7	97	93
44	135	-12	97	93
45	149	-9	92	89
46	150	-9	88	85
47	148	-10	88	85
48	143	-10	92	89
49	140	-8	92	89
50	137	-6	92	89
51	136	-5	92	89
52	133	-4	92	89
53	131	-2	92	89
54	131	3	88	85
55	129	4	88	85
56	127	7	88	85
57	124	9	88	85
58	121	12	88	85
59	119	14	88	85
60	118	19	88	85
61	116	21	88	85
62	111	25	92	89
63	108	25	92	89
64	106	25	92	89
65	106	30	88	85
66	102	33	88	85
67	100	34	88	85
68	98	36	88	85
69	94	39	88	85
70	93	41	88	85
71	89	45	88	85
72	83	47	92	89
73	80	53	92	89
74	75	60	92	89
75	69	64	92	89
76	67	73	92	89
77	62	84	92	89
78	58	95	92	89
79	53	107	92	89
80	46	116	92	89
81	39	128	92	89
82	31	138	92	89
83	21	149	92	89
84	4	159	97	93
85	-11	167	97	93
86	-24	179	97	93
87	-35	188	97	93
88	-46	198	92	89
89	-31	175	97	93
90	-37	181	97	93
91	-36	185	92	89
92	-36	196	92	89
93	-32	208	88	85
94	-32	217	84	81
95	-38	217	84	81
96	-35	208	80	77
97	-32	209	80	77
98	-33	223	80	77
99	-33	234	80	77
100	-34	241	80	77
101	-35	245	80	77
102	-33	247	80	77
103	-30	250	76	73
104	-29	236	72	70
105	-30	226	72	70
106	-25	226	72	70
107	-25	246	72	70
108	-24	238	72	70
109	-24	235	72	70
110	-24	235	72	70
111	-26	234	72	70
112	-25	229	72	70
113	-22	231	72	70
114	-19	224	72	70
115	-21	216	72	70
116	-23	209	72	70
117	-23	200	72	70
118	-25	191	72	70
119	-25	180	72	70
120	-25	169	72	70
121	-25	158	72	70
122	-24	150	72	70
123	-25	139	76	73
124	-24	128	76	73
125	-26	118	76	73
126	-27	112	76	73
127	-27	99	76	73
128	-26	83	80	77
129	-27	72	80	77
130	-28	61	80	77
131	-29	46	80	77
132	-28	33	80	77
133	-30	20	84	81
134	-33	15	84	81
135	-32	0	84	81
136	-31	-8	84	81
137	-30	-12	84	81
138	-31	-14	84	81
139	-30	-17	84	81
140	-29	-18	84	81
141	-29	-17	84	81
142	-29	-13	84	81
143	-30	-7	84	81
144	-31	-6	84	81
145	-31	-5	84	81
146	-31	-8	84	81
147	-31	-12	84	81
148	-32	-13	84	81
149	-32	-8	84	81
150	-31	-5	84	81
151	-32	0	84	81
152	-33	2	84	81
153	-32	3	84	81
154	-32	1	84	81
155	-32	0	84	81
156	-32	-1	84	81
157	-32	1	84	81
158	-31	2	84	81
159	-32	7	84	81
160	-32	4	84	81
161	-32	0	84	81
162	-31	-2	84	81
163	-30	-5	84	81
