frame	PSR
2	3.89031
3	2.89394
4	2.30301
5	2.10195
6	2.51328
7	2.76335
8	2.57106
9	2.85112
10	2.75732
11	2.75905
12	2.11553
13	2.62102
14	2.87125
15	3.06375
16	2.93274
17	2.81648
18	2.99848
19	2.27625
20	2.79428
21	2.39484
22	2.44821
23	2.43001
24	2.10965
25	2.25302
26	2.38377
27	2.21612
28	2.25467
29	2.18811
30	2.31971
31	2.54375
32	2.51322
33	2.52961
34	2.57355
35	2.46788
36	2.56996
37	2.41915
38	2.44244
39	2.69124
40	2.69474
41	2.5341
42	2.5774
43	2.66451
44	2.61588
45	2.87764
46	2.52112
47	2.46155
48	2.71735
49	2.63529
50	2.56232
51	2.33609
52	2.43322
53	2.53066
54	2.63142
55	2.81495
56	2.57247
57	2.58999
58	2.75835
59	2.61522
60	2.55363
