frame	x	y	width	height
1	542	233	299	339
2	535	226	313	351
3	587	231	252	329
4	598	223	275	327
5	602	209	276	358
6	627	239	281	291
7	586	215	382	386
8	565	205	405	425
9	571	219	380	414
10	588	235	339	385
11	606	240	322	368
12	612	237	329	370
13	617	234	336	371
14	632	245	290	335
15	612	224	334	371
16	600	235	341	366
17	572	228	363	376
18	565	194	345	358
19	570	196	334	368
20	592	201	293	328
21	590	189	301	322
22	571	175	331	331
23	546	111	382	415
24	551	108	375	375
25	560	98	389	385
26	562	105	380	375
27	590	134	311	302
28	586	115	338	333
29	586	108	353	346
30	600	105	346	341
31	650	138	267	263
32	645	131	279	268
33	597	76	388	385
34	601	102	375	380
35	604	120	347	357
36	619	153	314	306
37	615	189	261	248
38	576	175	306	293
39	551	192	309	285
40	509	183	332	322
41	495	177	353	348
42	469	178	360	354
43	444	180	367	360
44	455	194	353	335
45	467	209	338	310
46	490	229	310	279
47	480	210	351	324
48	487	213	355	334
49	573	215	295	317
50	578	239	283	286
51	551	228	336	323
52	578	294	282	270
53	583	336	274	265
54	588	377	266	262
55	591	418	260	259
56	604	450	257	249
57	591	452	303	297
58	587	464	333	325
59	592	486	310	295
60	596	509	288	264
61	600	531	265	234
