frame	ave_fps
2	56.3733
3	57.3277
4	53.5835
5	55.5267
6	55.5222
7	53.4125
8	57.4965
9	62.0149
10	66.1709
11	69.2934
12	72.0436
13	75.1034
14	77.4336
15	79.6036
16	81.3724
17	81.6985
18	83.2711
19	85.1678
20	86.7888
21	88.1366
22	89.1761
23	90.4746
24	91.7501
25	92.5129
26	93.0505
27	93.8789
28	94.9644
29	96.0187
30	96.5889
31	94.4072
32	91.9587
33	92.1956
34	92.8048
35	93.6228
36	94.3519
37	94.7758
38	95.1752
39	94.4771
40	95.0082
41	95.4583
42	95.7574
43	95.5923
44	95.9151
45	96.2921
46	96.8118
47	97.3183
48	97.696
49	98.0663
50	98.5944
51	98.9941
52	98.9151
53	99.1779
54	99.6018
55	100.12
56	100.606
57	100.364
58	100.454
59	100.354
60	100.498
61	100.984
62	101.401
63	101.739
64	102.075
65	102.521
66	101.061
67	101.375
68	101.556
69	101.817
70	102.175
71	102.522
72	102.753
73	102.979
74	102.673
75	102.641
76	102.83
77	103.083
78	103.417
79	103.586
80	103.621
81	103.795
82	103.748
83	103.991
84	104.277
85	104.569
86	104.68
87	104.262
88	104.41
89	104.694
90	104.925
91	105.078
92	105.269
93	105.464
94	105.729
95	105.815
96	105.869
97	105.886
98	105.618
99	105.809
100	106.024
101	104.544
102	104.593
103	104.779
104	104.983
105	105.207
106	105.364
107	105.541
108	105.746
109	105.787
110	104.423
111	104.473
112	104.651
113	104.852
114	104.858
115	104.747
116	104.786
117	104.873
118	105.074
119	105.197
120	105.282
121	105.279
122	105.38
123	105.552
124	105.72
125	105.835
126	105.907
127	106.085
128	106.15
129	106.236
130	106.26
131	106.384
132	106.588
133	106.787
134	106.886
135	107.015
136	107.207
137	106.327
138	106.436
139	106.547
140	106.681
141	106.861
142	107.025
143	107.129
144	106.85
145	106.502
146	105.879
147	104.715
148	104.8
149	104.803
150	104.786
151	104.765
152	104.826
153	104.194
154	103.189
155	103.189
156	102.881
157	101.926
158	101.923
159	101.88
160	101.942
161	102.092
162	102.246
163	102.127
164	101.861
165	101.895
166	101.969
167	102.117
168	102.256
169	102.345
170	102.282
