frame	x	y	width	height
1	729	228	193	113
2	731	232	190	110
3	733	241	188	108
4	736	241	186	106
5	738	242	184	104
6	740	242	181	102
7	743	242	179	100
8	745	242	177	98
9	747	242	175	96
10	750	242	173	94
11	751	237	170	100
12	753	233	167	105
13	756	233	165	101
14	760	233	163	97
15	765	229	162	101
16	770	224	161	106
17	775	220	160	111
18	780	216	159	116
19	785	212	158	121
20	790	207	157	125
21	795	203	156	130
22	808	192	155	135
23	806	193	155	132
24	804	195	154	129
25	802	197	154	126
26	804	198	152	123
27	807	200	151	120
28	810	198	148	119
29	812	199	146	118
30	814	200	144	117
31	816	201	142	116
32	818	202	139	116
33	820	203	137	115
34	822	205	135	114
35	824	206	133	113
36	826	207	130	112
37	828	208	128	111
38	830	209	126	110
39	832	210	124	109
40	834	211	121	108
41	837	213	119	108
42	840	211	115	107
43	844	210	111	107
44	848	209	108	106
45	852	208	104	106
46	856	207	100	105
47	860	206	96	105
48	864	205	92	104
49	868	204	89	104
50	872	203	85	103
51	876	202	81	103
52	877	202	80	104
53	878	202	78	104
54	880	202	77	105
55	881	202	75	106
56	883	201	74	106
57	884	201	72	107
58	886	201	71	108
59	887	201	70	109
60	889	201	68	109
61	890	201	67	110
62	891	201	65	111
63	893	201	64	111
64	894	200	62	112
65	896	200	61	113
66	897	200	60	113
67	899	200	58	114
68	900	200	57	115
69	902	200	55	115
70	903	200	54	116
71	905	200	52	117
72	906	200	51	118
73	906	199	52	118
74	905	199	52	118
75	905	199	53	118
76	904	199	53	118
77	904	198	54	118
78	903	198	54	118
79	903	198	55	118
80	902	198	55	118
81	902	197	56	119
82	901	197	56	119
83	901	197	57	119
84	900	197	57	119
85	900	196	58	119
86	899	196	58	119
87	899	196	59	119
88	898	196	60	119
89	898	195	60	120
90	897	195	61	120
91	897	195	61	120
92	896	195	62	120
93	896	194	62	120
94	895	194	63	120
95	895	194	63	120
96	894	194	64	120
97	894	193	64	121
98	893	193	65	121
99	893	193	65	121
100	892	193	66	121
101	892	193	67	121
102	887	195	71	119
103	882	197	76	117
104	877	199	81	114
105	872	201	86	112
106	867	203	91	110
107	862	205	96	108
108	857	207	101	106
109	852	210	106	104
110	854	209	103	106
111	856	209	100	108
112	859	209	98	111
113	861	209	95	113
114	864	209	93	116
115	861	209	95	113
116	859	210	97	111
117	857	210	99	108
118	855	211	101	106
119	853	211	103	103
120	851	212	105	101
121	849	212	107	99
122	847	213	110	96
123	844	213	112	94
124	842	214	114	91
125	840	214	116	89
126	838	215	118	87
127	838	214	119	88
128	837	212	119	89
129	837	211	120	90
130	837	209	120	92
131	836	208	121	93
132	836	207	121	94
133	836	205	122	96
134	835	204	122	97
135	835	203	123	98
136	834	201	123	99
137	834	200	124	101
138	834	198	124	102
139	833	197	125	103
140	833	196	125	105
141	833	194	126	106
142	832	193	126	107
143	832	192	127	109
144	834	193	125	107
145	836	194	123	105
146	837	195	121	104
147	839	196	119	102
148	841	197	117	100
149	843	198	115	99
150	841	196	117	100
151	839	195	118	101
152	837	193	120	102
153	835	192	122	103
154	833	190	124	105
155	832	189	125	106
156	830	187	127	107
157	828	186	129	108
158	826	184	131	110
159	827	184	130	108
160	828	185	129	106
161	828	185	128	105
162	829	186	127	103
163	830	186	126	102
164	831	186	125	100
165	831	187	124	99
166	832	187	124	97
167	833	188	123	96
168	834	188	122	94
169	835	189	121	93
170	834	196	122	86
171	833	204	123	80
172	832	212	125	74
173	831	212	125	75
174	831	212	126	76
175	830	212	126	78
176	829	212	127	79
177	828	212	128	80
178	828	213	128	81
179	827	213	129	83
180	826	213	129	84
181	826	213	130	85
182	821	213	135	85
183	816	214	139	85
184	812	214	144	85
185	807	214	148	85
186	803	214	153	84
187	798	215	158	84
188	794	215	162	84
189	789	215	167	84
190	784	216	172	84
191	780	216	176	84
192	775	216	181	84
193	771	217	185	84
194	766	217	190	84
195	762	217	195	83
196	757	217	199	83
197	752	218	204	83
198	748	218	208	83
199	743	218	213	83
200	739	219	218	83
201	734	219	222	83
202	730	219	227	83
203	725	220	232	83
204	725	220	231	82
205	726	221	230	82
206	726	222	229	82
207	726	223	228	81
208	726	223	228	81
209	727	224	227	81
210	727	225	226	80
211	727	226	225	80
212	728	226	225	80
213	728	227	224	79
