frame	x	y	width	height
2	731	228	193	113
3	732	229	193	113
4	733	229	193	113
5	736	229	193	113
6	734	229	193	113
7	738	229	193	113
8	741	228	193	113
9	740	227	193	113
10	743	228	193	113
11	744	227	193	113
12	744	227	193	113
13	738	224	203	119
14	740	225	203	119
15	740	225	203	119
16	738	225	203	119
17	740	226	203	119
18	743	225	203	119
19	744	224	203	119
20	739	220	213	125
21	738	220	213	125
22	739	221	213	125
23	743	221	213	125
24	745	223	203	119
25	744	225	203	119
26	739	223	203	119
27	739	223	203	119
28	739	223	203	119
29	746	223	203	119
30	745	220	213	125
31	746	223	213	125
32	742	224	213	125
33	745	225	213	125
34	745	227	213	125
35	739	223	213	125
36	732	216	223	131
37	734	215	223	131
38	733	212	223	131
39	732	215	223	131
40	732	211	235	137
41	733	211	235	137
42	734	211	235	137
43	731	211	235	137
44	727	211	235	137
45	728	211	235	137
46	727	212	235	137
47	728	212	235	137
48	727	212	235	137
49	727	213	235	137
50	732	216	223	131
51	732	218	223	131
52	736	223	213	125
53	736	228	203	119
54	739	226	203	119
55	736	227	203	119
56	729	224	213	125
57	733	222	213	125
58	734	225	213	125
59	731	224	213	125
60	737	227	203	119
61	736	225	203	119
62	736	227	203	119
63	739	231	193	113
64	742	231	193	113
65	736	230	203	119
66	738	231	203	119
67	738	229	203	119
68	733	228	213	125
69	736	228	213	125
70	734	229	213	125
71	735	227	213	125
72	734	226	213	125
73	735	227	213	125
74	734	227	213	125
75	734	225	213	125
76	732	225	213	125
77	731	225	213	125
78	732	222	213	125
79	732	223	213	125
80	732	223	213	125
81	731	225	213	125
82	731	224	213	125
83	731	224	213	125
84	731	225	213	125
85	734	225	213	125
86	734	225	213	125
87	733	223	213	125
88	734	223	213	125
89	732	223	213	125
90	733	223	213	125
91	733	224	213	125
92	732	225	213	125
93	732	224	213	125
94	730	223	213	125
95	732	223	213	125
96	733	223	213	125
97	732	223	213	125
98	731	222	213	125
99	731	223	213	125
100	730	223	213	125
101	732	223	213	125
102	731	224	213	125
103	731	223	213	125
104	731	223	213	125
105	731	222	213	125
106	734	222	213	125
107	733	223	213	125
