frame	ave_fps
2	93.5752
3	71.9499
4	68.9181
5	78.7985
6	83.5997
7	88.4433
8	92.0292
9	96.5672
10	100.905
11	102.639
12	104.967
13	106.138
14	108.474
15	109.778
16	111.864
17	111.873
18	112.958
19	114.49
20	113.267
21	112.541
22	111.936
23	113.304
24	114.386
25	114.502
26	115.754
27	115.919
28	116.938
29	117.19
30	117.273
31	118.224
32	118.974
33	118.76
34	118.783
35	118.798
36	119.588
37	120.337
38	120.342
39	120.914
40	121.492
41	122.132
42	121.995
43	122.499
44	122.326
45	122.942
46	122.807
47	122.846
48	123.246
49	123.599
50	123.455
51	123.959
52	124.401
53	124.221
54	124.011
55	123.63
56	123.97
57	123.993
58	124.355
59	124.782
60	124.651
61	124.959
62	124.761
63	123.525
64	123.411
65	123.811
66	124.203
67	124.41
68	124.771
69	124.824
70	125.155
71	125.447
72	125.472
73	125.738
74	126.015
75	125.731
76	125.898
77	126.188
78	126.112
79	126.418
80	126.623
81	126.545
82	126.841
83	127.134
84	127.367
85	127.122
86	126.57
87	126.668
88	126.263
89	126.164
90	126.116
91	126.284
92	126.524
93	126.47
94	126.326
95	126.487
96	125.789
97	125.707
98	125.927
99	125.958
100	126.162
101	126.213
102	126.421
103	126.35
104	126.548
105	126.431
106	126.66
107	126.844
108	126.823
109	127.012
110	127.192
111	127.37
112	127.589
113	127.761
114	127.576
115	127.432
116	127.234
117	127.165
118	127.324
119	127.484
120	127.363
121	127.32
122	127.46
123	127.397
124	127.257
125	127.237
126	127.309
127	127.332
128	127.12
129	127.062
130	127.249
131	127.392
132	127.561
133	127.725
134	127.878
135	127.993
136	128.116
137	127.985
138	128.113
139	128.252
140	128.056
141	127.977
142	128.102
143	128.032
144	127.913
145	127.923
146	128.06
147	127.975
148	128.048
149	128.016
150	128.182
151	128.294
152	128.326
153	127.943
154	127.909
155	128.013
156	127.925
157	128.065
158	128.209
159	128.143
160	128.264
161	128.122
162	128.237
163	128.339
164	128.316
165	128.408
166	128.371
167	128.482
168	128.415
169	128.529
170	128.508
171	128.6
172	128.684
173	128.618
174	128.706
175	128.654
176	128.079
177	127.767
178	127.416
179	127.072
180	126.704
181	126.326
182	125.975
183	125.594
184	125.255
185	124.952
186	124.644
187	124.317
188	123.99
189	123.641
190	123.271
191	122.875
192	122.527
193	122.207
194	121.897
195	121.565
196	121.271
197	120.984
198	120.698
199	120.397
200	120.115
201	119.805
202	119.525
203	119.262
204	119.033
205	118.715
206	118.488
207	118.307
208	118.075
209	117.842
210	117.597
211	117.402
212	117.214
213	117.021
214	116.82
215	116.638
216	116.452
217	116.272
218	116.083
219	115.895
220	115.732
221	115.57
222	115.402
223	115.229
224	115.232
225	115.047
226	114.847
227	114.673
228	114.511
229	114.319
230	114.306
231	114.124
232	113.967
233	113.799
234	113.649
235	113.506
236	113.357
237	113.377
238	113.321
239	113.297
240	113.315
241	113.357
242	113.195
243	113.065
244	112.911
245	112.776
246	112.639
247	112.573
248	112.442
249	112.33
250	112.25
251	112.287
252	112.165
253	112.07
254	111.952
255	111.898
256	111.865
257	111.885
258	111.763
259	111.619
260	111.521
261	111.421
262	111.315
263	111.191
264	111.097
265	110.974
266	110.867
267	110.763
268	110.656
269	110.57
270	110.45
271	110.286
272	110.142
273	109.983
274	109.877
275	109.886
276	109.786
277	109.686
278	109.566
279	109.499
280	109.296
281	109.21
282	109.135
283	109.058
284	108.973
285	108.576
286	108.493
287	108.395
288	108.293
289	108.259
290	108.224
