frame	x	y	width	height
1	628	277	153	95
2	630	277	152	95
3	633	277	151	95
4	635	278	151	96
5	638	278	150	96
6	640	279	150	97
7	643	279	149	97
8	645	280	149	98
9	648	280	148	98
10	651	281	148	99
11	651	281	149	98
12	651	282	150	98
13	652	283	152	97
14	652	284	153	97
15	653	285	155	96
16	653	286	156	96
17	654	287	158	96
18	653	286	161	98
19	652	286	164	100
20	652	286	167	102
21	651	285	170	104
22	651	285	173	106
23	650	285	176	108
24	650	285	180	111
25	651	287	178	109
26	653	290	176	107
27	654	292	175	106
28	656	295	173	104
29	657	297	171	102
30	659	300	170	101
31	659	301	170	101
32	659	302	171	101
33	659	303	172	101
34	659	304	172	101
35	659	305	173	101
36	659	306	174	102
37	656	305	175	103
38	653	305	176	105
39	650	305	177	106
40	647	305	178	108
41	644	304	179	110
42	641	304	180	111
43	638	304	181	113
44	636	304	182	115
45	631	302	189	119
46	627	301	197	123
47	622	299	204	127
48	618	298	212	131
49	613	296	219	135
50	612	295	220	136
51	612	294	221	138
52	611	293	221	139
53	610	292	222	141
54	609	291	223	142
55	608	289	223	144
56	606	288	224	145
57	605	287	225	146
58	603	286	226	148
59	601	285	226	149
60	600	284	227	151
61	598	283	228	152
62	598	282	229	154
63	597	280	229	155
64	597	279	230	157
65	597	278	231	158
66	596	277	231	159
67	596	276	232	161
68	596	275	233	162
69	595	274	234	164
70	595	273	234	165
71	595	271	235	167
72	594	269	237	169
73	593	267	240	172
74	592	265	243	175
75	591	263	245	177
76	590	261	248	180
77	589	260	250	183
78	589	259	253	186
79	588	258	255	188
80	587	257	258	191
81	586	257	260	194
82	585	256	263	196
83	584	256	265	199
84	582	255	268	202
85	581	254	270	204
86	580	254	273	207
87	580	254	275	210
88	579	253	278	213
89	578	253	280	215
90	577	253	283	218
91	576	253	285	221
92	575	252	288	223
93	574	252	291	226
94	573	252	293	229
95	574	252	292	228
96	575	251	291	228
97	576	251	289	228
98	577	250	288	227
99	578	250	287	227
100	577	248	289	229
101	575	247	291	232
102	573	245	294	234
103	572	243	296	237
104	570	242	298	239
105	568	240	300	242
106	566	239	303	244
107	564	238	305	247
108	563	236	307	249
109	561	235	310	252
110	558	234	312	255
111	555	232	314	257
112	553	231	316	260
113	550	230	319	262
114	547	228	321	265
115	545	227	323	267
116	542	225	326	270
117	539	224	328	272
118	536	223	330	275
119	534	221	332	277
120	531	220	335	280
121	529	219	338	283
122	527	218	341	287
123	526	217	344	290
124	524	216	347	294
125	522	215	350	297
126	521	214	353	301
127	520	213	357	304
128	519	212	360	308
129	517	211	363	311
130	516	209	366	315
131	515	208	369	318
132	514	206	372	321
133	513	205	375	325
134	514	204	379	328
135	515	204	382	332
136	516	203	385	335
137	517	203	388	339
138	517	201	392	342
139	517	200	397	344
140	517	198	401	347
141	517	196	406	350
142	516	195	410	353
143	515	194	415	355
144	513	194	419	358
145	511	193	423	361
146	509	193	427	363
147	507	192	432	365
148	504	191	436	367
149	502	190	441	369
150	500	189	445	370
151	498	188	449	372
152	493	186	459	379
153	489	184	469	386
154	484	182	479	393
155	480	180	489	400
156	475	178	499	407
157	471	176	509	414
158	466	174	519	421
159	468	176	519	424
160	471	177	520	427
161	473	179	520	431
162	475	180	520	434
163	478	181	521	437
164	476	181	525	442
165	474	181	530	448
166	472	181	534	453
167	470	181	539	458
168	471	180	543	463
169	472	178	547	468
170	472	176	552	474
171	473	175	556	479
172	478	175	551	479
173	482	176	546	480
174	487	176	541	481
175	492	177	535	481
176	496	178	530	482
177	511	183	477	474
178	536	213	403	418
179	535	195	380	459
180	521	188	385	475
181	506	164	390	528
182	523	166	403	526
183	540	168	416	524
184	540	163	391	531
185	539	157	365	537
186	538	151	340	544
187	530	136	376	567
188	522	120	412	590
189	623	122	247	551
190	625	137	258	552
191	644	128	244	539
192	654	139	223	526
193	664	151	202	513
194	659	142	233	520
195	647	133	248	551
196	671	164	232	508
197	666	160	254	539
198	661	156	276	570
199	668	169	257	553
200	675	181	238	536
201	682	194	219	519
202	680	202	221	518
203	678	210	223	516
204	676	219	225	515
205	688	228	213	499
206	701	237	201	483
207	714	246	190	467
208	724	254	175	461
209	719	255	169	463
210	715	257	164	466
211	711	259	158	469
212	715	265	164	458
213	719	271	170	447
214	715	271	169	444
215	711	270	169	441
216	707	270	168	439
217	703	269	167	436
218	699	269	166	433
219	695	268	165	430
220	691	268	164	428
221	687	268	163	425
222	683	267	163	422
223	679	267	162	419
224	675	266	161	417
225	671	266	160	414
226	662	258	166	431
227	653	249	173	449
228	644	241	179	467
229	643	239	173	461
230	642	238	166	455
231	641	236	160	449
232	644	230	153	444
233	647	225	147	438
234	650	219	140	432
235	653	213	134	426
236	655	209	127	421
237	658	205	121	415
238	660	201	114	409
239	663	197	108	404
240	660	198	112	397
241	657	199	116	391
242	654	201	120	385
243	652	202	124	378
