frame	x	y	width	height
2	628	277	153	95
3	631	277	153	95
4	633	278	153	95
5	636	278	153	95
6	639	279	153	95
7	641	281	153	95
8	642	281	153	95
9	643	281	153	95
10	644	283	153	95
11	644	283	153	95
12	644	284	153	95
13	643	285	153	95
14	643	286	153	95
15	642	286	153	95
16	644	288	153	95
17	646	289	153	95
18	648	290	153	95
19	648	292	153	95
20	651	294	153	95
21	654	295	153	95
22	654	297	153	95
23	656	298	153	95
24	657	299	153	95
25	657	301	153	95
26	659	302	153	95
27	659	302	153	95
28	656	304	153	95
29	657	305	153	95
30	658	306	153	95
31	657	307	153	95
32	658	307	153	95
33	660	308	153	95
34	661	308	153	95
35	661	309	153	95
36	661	310	153	95
37	661	312	153	95
38	656	308	161	100
39	655	309	161	100
40	648	307	169	105
41	647	308	169	105
42	642	305	177	110
43	638	306	177	110
44	637	305	177	110
45	634	306	177	110
46	634	305	177	110
47	633	307	177	110
48	633	307	177	110
49	631	307	177	110
50	631	307	177	110
51	632	308	177	110
52	634	309	177	110
53	633	308	177	110
54	634	307	177	110
55	633	307	177	110
56	629	304	186	115
57	627	303	186	115
58	625	303	186	115
59	623	304	186	115
60	624	304	186	115
61	622	304	186	115
62	621	301	186	115
63	618	299	195	121
64	620	297	195	121
65	620	296	195	121
66	622	297	195	121
67	622	297	195	121
68	623	298	195	121
69	624	298	195	121
70	625	298	195	121
71	625	299	195	121
72	625	299	195	121
73	626	298	195	121
74	621	296	205	127
75	622	296	205	127
76	620	295	205	127
77	621	296	205	127
78	622	297	205	127
79	622	297	205	127
80	622	299	205	127
81	621	299	205	127
82	624	300	205	127
83	625	300	205	127
84	624	300	205	127
85	624	301	205	127
86	625	300	205	127
87	625	301	205	127
88	625	301	205	127
89	625	303	205	127
90	624	304	205	127
91	625	304	205	127
92	626	306	205	127
93	626	306	205	127
94	626	307	205	127
95	626	307	205	127
96	626	307	205	127
97	626	306	205	127
98	621	302	215	134
99	622	301	215	134
100	622	300	215	134
101	623	300	215	134
102	621	300	215	134
103	615	296	226	140
104	615	296	226	140
105	615	296	226	140
106	614	296	226	140
107	614	297	226	140
108	613	297	226	140
109	613	297	226	140
110	612	297	226	140
111	611	298	226	140
112	610	297	226	140
113	608	299	226	140
114	608	299	226	140
115	606	299	226	140
116	605	300	226	140
117	604	301	226	140
118	602	301	226	140
119	595	297	237	147
120	595	297	237	147
121	593	298	237	147
122	593	298	237	147
