frame	ave_fps
2	132.108
3	127.318
4	124.205
5	129.178
6	127.122
7	128.61
8	133.701
9	134.166
10	133.034
11	125.622
12	119.489
13	125.103
14	124.909
15	125.047
16	124.042
17	123.568
18	118.319
19	117.878
20	118.473
21	121.732
22	124.325
23	127.364
24	130.096
25	132.364
26	135.011
27	137.634
28	139.826
29	142.312
30	144.565
31	145.773
32	147.779
33	149.892
34	149.943
35	151.903
36	149.587
37	139.378
38	141.207
39	142.962
40	144.483
41	146.013
42	147.621
43	148.873
44	150.326
45	151.501
46	152.809
47	154.268
48	155.313
49	156.071
50	156.894
51	157.646
52	151.501
53	150.461
54	141.075
55	136.484
56	129.582
57	123.929
58	122.631
59	123.349
60	122.675
61	115.729
62	108.78
63	105.759
64	104.748
65	104.818
66	105.074
67	105.326
68	105.702
69	105.889
70	106.288
71	106.572
72	106.931
73	107.542
74	108.307
75	109.014
76	109.186
77	109.368
78	110.007
79	110.375
80	111.125
81	111.264
82	111.858
83	112.613
84	111.794
85	112.476
86	113.204
87	113.567
88	114.094
89	114.483
90	115.198
91	115.807
92	116.184
93	116.687
94	115.726
95	114.918
96	114.158
97	114.367
98	114.251
99	114.01
100	114.318
101	114.605
102	115.125
103	115.751
104	116.287
105	116.893
106	117.525
107	117.12
108	116.737
109	117.187
110	117.736
111	118.301
112	118.752
113	119.332
114	119.905
115	120.215
116	120.729
117	121.277
118	121.716
119	122.274
120	122.819
121	123.268
122	123.813
123	124.351
124	124.359
125	124.889
126	125.064
127	125.163
128	125.384
129	125.876
130	126.031
131	126.523
132	127.038
133	127.255
134	127.641
135	127.961
136	128.254
137	127.924
138	128.102
139	128.448
