frame	x	y	width	height
1	49	48	16	65
2	41	44	16	65
3	34	40	17	65
4	34	39	17	65
5	35	39	18	65
6	27	41	19	65
7	28	42	20	65
8	30	43	21	65
9	33	39	22	65
10	36	36	23	66
11	39	37	23	66
12	41	37	23	66
13	58	40	23	66
14	61	37	23	66
15	59	34	23	66
16	79	33	23	66
17	95	36	23	66
18	85	28	23	66
19	77	27	23	66
20	83	28	23	66
21	80	27	24	67
22	77	29	23	67
23	81	34	22	68
24	85	39	22	69
25	70	44	22	70
26	69	39	22	70
27	75	29	22	71
28	70	21	22	72
29	66	14	22	73
30	57	15	22	72
31	59	18	22	71
32	70	22	22	71
33	80	21	21	72
34	90	21	21	73
35	101	21	21	74
36	114	25	21	75
37	111	22	21	76
38	109	21	21	75
39	127	26	22	74
40	135	29	23	73
41	143	32	24	73
42	145	31	23	73
43	148	31	23	73
44	145	29	23	73
45	147	30	23	73
46	149	31	23	73
47	119	32	23	73
48	103	31	23	73
49	99	31	23	73
50	100	31	23	74
51	103	24	23	75
52	104	18	22	75
53	105	13	22	75
54	111	17	22	75
55	118	21	22	76
56	117	27	22	76
57	108	28	22	76
58	103	27	22	76
59	99	26	22	76
60	99	23	22	76
61	124	18	22	77
62	134	16	22	78
63	132	21	21	77
64	131	26	20	77
65	129	31	19	76
66	128	36	19	76
67	134	45	20	77
68	141	55	21	78
69	138	62	22	79
70	120	57	23	80
71	125	48	23	80
72	121	49	23	81
73	107	54	23	82
74	99	39	23	82
75	95	44	23	82
76	105	52	23	82
77	116	61	24	82
78	124	61	24	83
79	133	62	25	84
80	149	67	26	85
81	135	57	27	86
82	144	55	27	86
83	153	54	27	86
84	162	53	27	86
85	171	52	27	85
86	180	51	28	86
87	177	51	27	86
88	174	51	27	86
89	173	49	26	86
90	173	47	26	86
91	133	55	26	86
92	120	39	26	86
93	124	36	26	86
94	128	33	27	86
95	132	30	28	86
96	133	35	29	86
97	135	40	30	87
98	147	42	29	87
99	147	43	28	88
100	140	43	27	89
101	143	42	26	89
102	146	41	26	89
103	141	29	26	89
104	137	17	26	89
105	171	17	26	89
106	176	20	26	89
107	181	23	26	89
108	186	27	26	89
109	190	34	26	89
110	175	34	26	89
111	179	37	26	90
112	175	39	26	89
113	172	41	26	89
114	144	43	26	89
115	136	45	26	89
116	128	48	26	89
117	127	47	26	89
118	126	47	26	89
119	123	49	26	89
120	129	49	26	89
121	149	49	26	89
122	156	49	26	89
123	153	46	25	89
124	150	43	25	89
125	150	29	25	89
126	152	23	25	90
127	180	21	25	91
128	182	26	25	91
129	185	31	25	91
130	180	34	25	92
131	176	34	25	92
132	172	35	25	93
133	174	38	24	91
134	162	34	24	89
135	145	33	23	87
136	140	30	23	86
137	152	19	23	85
138	144	24	23	85
139	149	22	23	84
140	147	30	24	84
