frame	x	y	width	height
2	49	42	16	65
3	48	35	16	65
4	49	41	16	65
5	49	35	16	65
6	49	39	17	68
7	50	41	16	65
8	57	39	17	68
9	58	37	17	68
10	57	28	18	72
11	58	27	18	72
12	58	27	18	72
13	58	34	18	72
14	59	31	18	72
15	59	28	19	75
16	60	25	18	72
17	60	18	18	72
18	60	22	19	75
19	60	21	19	75
20	60	22	18	72
21	60	19	18	72
22	59	20	18	72
23	59	30	17	68
24	59	36	16	65
25	59	9	16	65
26	59	10	15	62
27	58	-2	15	62
28	58	-7	15	62
29	58	2	15	59
30	58	20	15	59
31	59	21	15	59
32	58	6	15	62
33	58	-8	15	62
34	58	-10	15	62
35	58	-10	16	65
36	58	-2	15	62
37	57	-3	15	62
38	57	-8	15	59
39	57	-4	15	62
40	57	-5	16	65
41	56	-6	17	68
42	56	-8	18	72
43	55	-7	18	72
44	55	-5	18	72
45	55	-9	19	75
46	55	-7	18	72
47	55	-8	18	72
48	55	-29	18	72
49	55	-12	19	75
50	55	-7	19	75
51	54	-15	19	75
52	54	-8	19	75
53	54	-5	19	75
54	53	-6	19	79
55	53	-3	20	83
56	53	10	19	79
57	54	10	19	79
58	55	18	19	75
59	55	15	18	72
60	55	13	18	72
61	55	7	18	72
62	55	1	18	72
63	55	-18	18	72
64	55	-2	17	68
65	54	4	18	72
66	54	5	18	72
67	55	14	17	68
68	55	1	17	68
69	56	10	16	65
70	56	23	17	68
71	56	10	17	68
72	55	10	17	68
73	55	-10	17	68
74	55	-9	17	68
75	55	-2	17	68
76	55	6	17	68
77	55	13	18	72
78	55	21	18	72
79	56	18	17	68
80	56	7	16	65
81	57	-2	16	65
82	57	-9	16	65
83	57	6	16	65
84	57	14	15	62
85	57	12	16	65
86	57	17	16	65
87	57	13	15	62
88	58	8	15	62
89	57	5	16	65
90	57	11	16	65
91	57	12	16	65
92	58	24	17	68
93	58	21	18	72
94	58	20	19	75
95	58	16	18	72
96	59	12	18	72
97	59	0	18	72
98	58	1	18	72
99	60	3	18	72
100	60	4	18	72
101	60	1	19	75
102	60	1	19	79
103	61	-12	19	75
104	60	-6	19	79
105	61	-21	19	79
106	61	-19	19	79
107	61	-19	19	79
108	61	-14	19	75
109	61	-7	19	75
110	61	-15	19	75
111	61	-12	18	72
112	61	-13	18	72
113	61	-8	18	72
114	62	1	18	72
115	61	1	18	72
116	62	-7	18	72
117	62	-5	18	72
118	62	-7	19	75
119	62	-7	19	79
120	62	-6	19	79
121	62	-8	19	79
122	62	-6	19	79
123	62	-5	19	79
124	62	-4	19	79
125	62	-9	19	75
126	62	-8	19	75
127	61	-16	19	79
128	61	-15	19	79
129	61	-7	19	79
130	61	-9	19	79
131	61	-16	19	79
132	62	-10	19	79
133	62	-5	19	79
134	62	-8	19	79
135	63	-14	19	79
136	64	-1	19	79
137	64	-16	19	79
138	64	-3	19	79
139	64	-11	19	79
