frame	PSR
2	8.24504
3	9.24417
4	9.2427
5	8.62745
6	8.99835
7	6.84902
8	7.88627
9	7.93984
10	9.14101
11	8.67846
12	7.92582
13	7.09126
14	8.65157
15	8.9457
16	9.1634
17	7.95783
18	8.88332
19	8.8759
20	7.51373
21	8.59102
22	7.59938
23	9.38097
24	8.23118
25	8.76225
26	8.78193
27	7.67214
28	7.21527
29	6.61002
30	7.58376
31	8.72833
32	8.65219
33	8.05777
34	7.84594
35	7.96497
36	7.82335
37	7.38326
38	7.37874
39	7.39223
40	7.92156
41	6.90796
42	8.57604
43	7.68023
44	8.33919
45	8.80168
46	8.39093
47	8.52826
48	8.55368
49	8.22388
50	7.14731
51	7.89708
52	7.44413
53	9.14463
54	9.1009
55	7.65523
56	7.17197
57	7.69711
58	8.74368
59	6.89323
60	9.12763
61	8.0201
62	8.21232
63	8.42655
64	7.87602
65	9.21561
66	8.46585
67	8.18451
68	7.18327
69	9.00088
70	9.09537
71	9.12066
72	9.08261
73	9.08325
74	8.40628
75	9.12976
76	8.22318
77	7.13297
78	8.41195
79	8.95824
80	8.61374
81	7.6366
82	8.9942
83	9.23666
84	9.01955
85	8.09824
86	7.42566
87	8.66887
88	8.44715
89	8.17759
90	8.28777
91	9.41621
92	9.33077
93	8.56005
94	8.45908
95	8.90953
96	8.40124
97	8.22958
98	8.4638
99	8.47609
100	9.48088
101	9.03282
102	9.2416
103	9.27108
104	7.86896
105	8.54881
106	7.73326
107	8.13569
108	8.99091
109	9.00882
110	8.97923
111	7.98704
112	7.55768
113	7.64581
114	7.68924
115	8.91878
116	8.72573
117	8.83999
118	9.10712
119	8.94116
120	8.78121
121	9.17477
122	9.37692
123	8.54399
124	8.76343
125	8.73988
126	8.2508
127	7.12465
128	7.36338
129	9.21107
130	7.72921
131	8.71078
132	8.74221
133	8.87991
134	8.77003
135	9.04901
136	7.81704
137	8.00598
138	8.93855
139	8.65509
140	8.84586
141	7.96428
142	8.11042
143	8.31013
144	8.92382
145	8.37831
146	9.00285
147	8.34286
148	8.04615
149	6.42542
150	7.84079
151	7.10473
152	7.65105
153	8.99699
154	6.59377
155	7.26322
156	7.31892
157	6.95736
158	7.05831
159	7.57824
160	7.39462
161	7.20398
162	6.88848
163	6.68363
164	4.25173
165	4.70713
166	4.17262
167	4.18298
168	3.14919
169	4.75622
170	3.67306
171	4.08538
172	3.94624
173	4.57918
174	5.87001
175	5.52742
176	3.86537
177	4.87032
178	4.84894
179	4.94224
180	3.70997
181	2.76468
182	3.41027
183	3.95073
184	3.87045
185	5.65625
186	4.52946
187	4.70505
188	4.27727
189	5.14081
190	4.80459
191	5.27164
192	5.01623
193	6.71758
194	6.76459
195	6.66278
196	6.11995
197	5.65784
198	5.5727
199	5.2661
200	5.43558
201	4.8674
202	6.0213
203	7.2155
204	5.25046
205	5.08847
206	6.48449
207	6.64744
208	6.57128
209	7.08767
210	5.35181
211	4.49317
212	6.63696
213	6.49677
214	6.39945
215	6.39463
216	7.04058
217	7.93462
218	7.82151
219	7.26829
220	8.27454
221	7.05739
222	6.13183
223	8.05871
224	7.70254
225	6.94756
226	7.28907
227	8.5101
228	6.89032
229	6.76827
230	8.30642
231	7.70992
232	8.34269
233	8.76699
234	6.76245
235	6.93384
236	7.52417
237	8.37805
238	6.92328
239	6.36122
240	8.43051
241	7.36815
242	8.13717
243	8.436
244	6.84744
245	8.72651
246	7.40669
247	8.90828
248	8.67828
249	8.52369
250	8.59181
251	8.00769
252	7.52173
253	7.99401
254	8.84971
255	9.01661
256	7.75455
257	8.91432
258	8.73438
259	8.71369
260	7.47094
261	7.64054
262	7.11821
263	8.33015
