frame	PSR
2	5.6538
3	5.62921
4	3.82598
5	3.99832
6	4.56419
7	3.22947
8	3.60335
9	2.71511
10	3.68878
11	3.01754
12	2.89397
13	3.26185
14	3.0547
15	3.68014
16	3.73871
17	3.38954
18	3.45982
19	2.9934
20	2.99196
21	2.83522
22	2.97884
23	2.7783
24	3.50977
25	3.08101
26	3.6023
27	3.74101
28	3.59016
29	3.49564
30	4.11812
31	3.45441
32	3.69257
33	3.82293
34	2.99198
35	2.49206
36	2.91462
37	3.11425
38	3.29675
39	4.56524
40	3.58666
41	3.64016
42	3.23179
43	3.20106
44	2.65187
45	2.90564
46	2.22541
47	2.51771
48	2.34156
49	2.54298
50	4.01969
51	3.38041
52	2.80111
53	2.86243
54	2.90747
55	2.53523
56	2.9963
57	2.49688
58	2.78218
59	2.70004
60	3.69329
61	2.78752
62	3.26694
63	3.16022
64	3.31338
65	3.81355
66	3.26876
67	3.24788
68	3.33261
69	3.43368
70	3.23216
71	3.34437
72	3.09086
73	3.14234
74	3.18585
75	3.15567
76	3.38115
77	3.21543
78	3.10632
79	3.24021
80	2.86471
81	3.15186
82	2.7081
83	3.43711
84	3.64077
85	3.32248
86	3.61952
87	3.52814
88	3.21297
89	3.99648
90	3.85454
91	3.91735
92	3.82439
93	3.9223
94	3.53106
95	3.66301
96	3.55883
97	3.23701
98	2.78314
99	2.66316
100	2.79993
101	2.94916
102	3.16566
103	2.93674
104	3.20943
105	3.47087
106	3.33812
107	3.79369
108	2.81026
109	4.10858
110	2.66535
111	3.10677
112	3.16801
113	3.49854
114	2.82363
115	3.09166
116	2.50427
117	2.15398
118	3.25821
119	2.47835
120	3.09125
121	4.5426
122	2.95112
123	5.0224
124	3.53331
125	3.25393
126	2.87951
127	2.86016
128	5.03454
129	3.37651
130	3.34253
131	3.33856
132	3.36714
133	3.2799
134	2.96231
135	2.87094
136	3.36197
137	3.25759
138	4.6688
139	3.36761
140	3.45513
141	3.42979
142	3.4993
143	3.57114
144	2.98963
145	3.28349
146	3.8745
147	4.92417
148	3.75348
149	3.60153
150	3.63531
151	3.17858
152	3.07572
153	2.86611
154	3.52847
155	3.76917
156	3.75407
157	3.52637
