frame	ave_fps
2	56.0123
3	65.8655
4	56.2748
5	57.728
6	56.9869
7	55.3553
8	60.3011
9	64.6344
10	68.7527
11	72.3864
12	76.0903
13	77.4025
14	79.926
15	82.2556
16	84.8738
17	87.6925
18	89.0959
19	91.6502
20	93.3946
21	95.4562
22	97.5381
23	97.9975
24	99.9248
25	101.634
26	103.066
27	104.588
28	105.292
29	106.802
30	107.575
31	108.955
32	109.066
33	110.037
34	111.093
35	111.831
36	112.497
37	113.652
38	114.193
39	115.046
40	115.848
41	115.812
42	115.301
43	110.833
44	111.331
45	110.906
46	109.575
47	108.295
48	106.888
49	107.003
50	107.595
51	107.857
52	108.256
53	108.698
54	109.028
55	109.79
56	109.564
57	110.271
58	110.422
59	111.127
60	111.535
61	111.946
62	112.528
63	112.37
64	112.916
65	113.483
66	113.541
67	114.124
68	114.576
69	114.939
70	115.269
71	115.079
72	115.607
73	115.999
74	116.145
75	116.695
76	116.948
77	117.201
78	116.6
79	116.59
80	116.979
81	116.791
82	117.226
83	117.174
84	117.614
85	118.03
86	118.019
87	118.463
88	118.4
89	118.868
90	119.152
91	118.902
92	119.239
93	119.324
94	119.629
95	119.689
96	119.967
97	120.331
98	120.575
99	120.985
100	121.371
101	121.321
102	121.704
103	122.085
104	122.358
105	122.729
106	122.97
107	123.039
108	123.217
109	123.582
110	123.601
111	123.969
112	124.271
113	124.121
114	124.368
115	124.655
116	124.759
117	125.047
118	124.785
119	124.993
120	125.206
121	125.242
122	125.366
123	125.649
124	125.69
125	126.021
126	126.178
127	126.403
128	126.694
129	126.624
130	126.911
131	127.224
132	127.414
133	127.648
134	127.798
135	128.019
136	128.002
137	128.157
138	128.314
139	128.225
140	128.015
141	128.281
142	128.223
143	128.48
144	128.747
145	128.687
146	128.935
147	128.995
148	129.08
149	129.304
150	128.786
151	126.796
152	126.687
153	126.513
154	125.92
155	125.66
156	125.805
157	125.423
