frame	x	y	width	height
1	519	195	56	32
2	509	195	54	32
3	500	195	52	32
4	490	195	51	32
5	481	195	49	32
6	472	195	48	33
7	459	187	52	43
8	442	190	45	33
9	433	183	51	42
10	417	180	60	45
11	408	176	59	54
12	404	172	53	58
13	387	165	61	63
14	367	163	64	62
15	357	162	64	60
16	348	161	63	59
17	338	162	60	56
18	332	158	60	58
19	323	158	57	51
20	313	158	55	44
21	305	158	51	40
22	294	156	52	41
23	286	156	50	38
24	278	157	48	36
25	271	158	46	34
26	260	160	45	33
27	250	162	45	33
28	239	162	41	33
29	229	162	38	33
30	222	161	45	30
31	216	161	52	28
32	200	168	59	26
33	192	166	58	28
34	184	164	57	30
35	185	162	43	30
36	173	157	45	33
37	162	153	47	37
38	167	151	34	38
39	158	159	38	37
40	150	167	43	37
41	141	171	45	37
42	133	175	47	37
43	125	179	49	38
44	130	173	47	39
45	135	168	46	41
46	141	163	45	43
47	141	162	40	43
48	142	161	35	44
49	144	164	35	41
50	147	167	36	39
51	149	170	36	37
52	152	173	37	35
53	155	176	38	33
54	156	176	37	33
55	158	176	36	33
56	160	176	36	33
57	162	176	35	33
58	164	177	35	33
59	166	177	34	33
60	168	177	34	34
61	170	177	33	34
62	172	178	33	34
63	174	178	32	34
64	176	178	32	34
65	178	178	31	34
66	180	179	31	35
67	182	180	32	35
68	185	181	33	36
69	188	183	34	37
70	191	184	35	38
71	193	185	36	39
72	196	187	37	40
73	199	188	38	41
74	202	190	39	42
75	205	192	39	41
76	208	194	39	40
77	211	196	39	39
78	214	198	40	39
79	216	202	40	37
80	218	206	40	36
81	220	210	40	34
82	223	214	41	33
83	224	215	41	33
84	225	216	41	34
85	226	217	41	34
86	228	218	42	35
87	223	213	66	55
88	228	212	60	52
89	232	212	54	50
90	225	211	59	57
91	232	220	52	44
92	235	219	56	50
93	238	218	60	56
94	239	215	58	63
95	240	215	60	58
96	251	225	45	35
97	252	229	47	35
98	254	234	50	35
99	256	239	53	35
100	256	241	56	36
101	256	244	59	37
102	257	247	63	39
103	257	251	61	37
104	257	256	59	35
105	257	260	57	33
106	258	265	56	32
107	259	268	56	31
108	260	272	57	30
109	262	276	58	29
110	261	273	60	37
111	261	271	62	45
112	261	269	64	53
113	259	271	65	61
114	256	273	77	65
115	258	277	77	67
116	258	276	78	66
117	258	275	78	66
118	258	275	79	65
119	258	274	79	64
120	255	277	72	62
121	256	280	69	55
122	256	283	65	49
123	254	288	65	52
124	254	291	63	50
125	253	293	61	49
126	253	296	59	47
127	253	299	57	46
128	253	302	55	44
129	253	305	54	43
130	250	305	54	41
131	248	306	54	39
132	246	307	54	37
133	244	308	55	36
134	243	312	58	35
135	242	316	61	34
136	241	320	64	33
137	240	324	67	33
138	240	328	63	32
139	240	333	60	32
140	240	338	57	32
141	241	343	54	32
142	239	348	54	30
143	237	353	54	28
144	235	358	54	26
145	233	364	54	24
146	231	360	55	27
147	230	357	57	31
148	228	354	58	35
149	227	351	60	39
150	228	348	55	42
151	229	345	50	45
152	227	344	50	43
153	225	343	50	41
154	224	343	51	39
155	224	343	57	41
156	224	343	64	43
157	225	343	71	45
158	223	341	59	36
