frame	x	y	width	height
2	507	194	56	32
3	501	194	56	32
4	487	196	56	32
5	478	196	53	30
6	470	198	51	29
7	455	198	51	29
8	437	197	53	30
9	428	195	53	30
10	414	194	53	30
11	402	196	53	30
12	424	198	53	30
13	450	203	53	30
14	442	203	53	30
15	438	205	53	30
16	431	206	56	32
17	428	204	56	32
18	424	205	56	32
19	421	204	56	32
20	419	198	59	34
21	423	193	56	32
22	423	190	53	30
23	418	191	56	32
24	412	190	59	34
25	415	189	62	35
26	413	190	59	34
27	414	190	59	34
28	408	189	62	35
29	404	191	62	35
30	402	191	62	35
31	403	192	59	34
32	403	192	59	34
33	404	192	59	34
34	401	192	59	34
35	400	191	59	34
36	402	191	56	32
37	401	192	53	30
38	401	194	53	30
39	401	196	53	30
40	405	196	53	30
41	405	199	53	30
42	408	202	51	29
43	407	200	51	29
44	412	200	51	29
45	417	199	51	29
46	421	198	51	29
47	423	194	48	28
48	425	193	48	28
49	431	197	46	26
50	436	199	46	26
51	437	199	46	26
52	441	200	46	26
53	440	198	48	28
54	442	196	48	28
55	445	193	48	28
56	451	189	48	28
57	450	186	48	28
58	456	185	48	28
59	473	181	51	29
60	479	181	51	29
61	480	177	51	29
62	486	175	51	29
63	487	174	51	29
64	492	169	51	29
65	495	168	53	30
66	497	166	53	30
67	499	162	53	30
68	504	159	53	30
69	506	155	53	30
70	513	155	51	29
71	518	153	51	29
72	519	151	51	29
73	523	148	51	29
74	527	145	51	29
75	529	142	51	29
76	533	139	53	30
77	537	138	53	30
78	539	136	51	29
79	544	132	51	29
80	548	129	51	29
81	549	129	51	29
82	550	127	51	29
83	547	123	51	29
84	549	123	51	29
85	558	119	51	29
86	561	114	53	30
87	564	110	53	30
88	567	106	53	30
89	569	106	53	30
90	574	106	53	30
91	581	106	53	30
92	587	107	51	29
93	589	106	51	29
94	591	103	51	29
95	595	97	53	30
96	597	96	53	30
97	602	93	56	32
98	610	93	56	32
99	604	91	56	32
100	606	90	56	32
101	606	89	56	32
102	608	89	56	32
103	612	88	56	32
104	611	87	56	32
105	610	87	56	32
106	610	87	56	32
107	614	87	56	32
108	618	88	56	32
109	619	91	56	32
110	619	93	56	32
111	620	95	56	32
112	621	97	56	32
113	621	98	56	32
114	621	101	56	32
115	622	102	56	32
116	624	101	56	32
117	625	97	56	32
118	624	101	56	32
119	623	104	56	32
120	623	106	56	32
121	624	109	56	32
122	623	111	56	32
123	621	116	56	32
124	622	117	56	32
125	622	117	56	32
126	622	115	56	32
127	623	115	56	32
128	618	120	56	32
129	619	120	56	32
130	620	120	56	32
131	621	117	56	32
132	621	114	56	32
133	621	114	56	32
134	624	117	56	32
135	621	110	56	32
136	622	109	56	32
137	621	109	59	34
138	621	114	59	34
139	620	112	62	35
140	620	109	62	35
141	620	109	62	35
142	620	107	62	35
143	622	107	62	35
144	621	104	62	35
145	623	105	59	34
146	621	110	59	34
147	620	115	59	34
148	619	116	59	34
149	621	115	59	34
150	622	116	59	34
151	622	118	59	34
152	622	117	59	34
153	618	112	62	35
154	619	110	62	35
155	619	112	62	35
156	620	111	62	35
157	621	111	62	35
