frame	PSR
2	5.68876
3	5.31174
4	5.19613
5	4.96312
6	4.88398
7	4.87698
8	5.27539
9	5.07709
10	5.23763
11	5.08054
12	4.60125
13	4.89129
14	5.05279
15	5.0856
16	5.07954
17	5.19416
18	4.71793
19	4.58135
20	4.29121
21	4.64996
22	4.7964
23	4.70398
24	4.62833
25	4.79669
26	4.82134
27	4.09442
28	3.99501
29	4.50796
30	4.40958
31	4.60732
32	4.4891
33	4.66492
34	4.40503
35	4.08016
36	4.16374
37	4.1386
38	4.72108
39	4.38465
40	4.40656
41	4.5232
42	4.42028
43	4.30148
44	4.53351
45	4.48404
46	4.49468
47	4.3854
48	4.48665
49	4.43698
50	4.51742
51	4.42945
52	4.6433
53	4.62375
54	4.30437
55	4.33179
56	4.1733
57	4.39122
58	4.25867
59	4.16296
60	4.32071
61	4.23495
62	3.95699
63	3.85964
64	4.17348
65	4.20799
66	4.22666
67	3.80834
68	3.90422
69	3.82749
70	3.91139
71	3.80088
72	3.80323
73	3.75262
74	3.67
75	3.9923
76	3.9575
77	3.83445
78	3.49663
79	3.72462
80	3.29226
81	3.68043
82	3.56206
83	3.47219
84	3.37807
85	3.40047
86	3.53724
87	3.35849
88	3.30937
89	3.3385
90	3.71707
91	3.65108
92	3.7864
93	3.7502
94	3.65056
95	3.60731
96	3.42862
97	3.27859
98	3.1086
99	3.23249
100	3.18968
101	3.31313
102	3.64356
103	3.5739
104	3.58103
105	3.45059
106	3.60089
107	3.61953
108	3.57543
109	3.62181
110	3.54059
111	3.5271
112	3.48968
113	3.54246
114	3.55333
115	3.53918
116	3.48568
117	3.64354
118	3.58942
119	3.56609
120	3.48382
121	3.75419
122	3.55906
123	3.69601
124	3.79676
125	3.79939
126	3.75673
127	3.97007
128	3.90113
129	4.14538
130	4.11756
131	3.97217
132	3.93997
133	3.85053
134	3.88811
135	3.93183
136	4.17435
137	4.04169
138	4.1309
139	4.14916
140	4.06961
141	4.07741
142	4.26138
143	4.28175
144	4.46085
145	4.62638
146	4.54273
147	4.72814
148	4.65157
149	4.56747
150	4.76126
151	4.78914
152	4.7692
153	4.64104
154	4.56598
155	4.17987
