frame	ave_fps
2	48.7178
3	55.5169
4	54.5361
5	52.1153
6	54.5135
7	56.3694
8	53.0682
9	56.7017
10	55.077
11	56.2313
12	59.5289
13	61.3269
14	63.5722
15	65.3255
16	64.6789
17	64.0533
18	65.7302
19	67.3647
20	69.2183
21	70.5243
22	71.7487
23	73.4702
24	74.2812
25	74.9361
26	74.5426
27	75.4443
28	76.4411
29	77.7465
30	78.7759
31	80.0674
32	80.4687
33	81.4997
34	82.5189
35	83.5715
36	84.4754
37	85.4604
38	86.4419
39	87.1942
40	87.9948
41	88.8538
42	89.5679
43	90.3624
44	90.9812
45	91.7246
46	92.4401
47	92.9315
48	93.6904
49	94.44
50	94.8039
51	95.4801
52	95.9031
53	96.3683
54	97.0058
55	97.3912
56	97.889
57	98.4495
58	97.2618
59	97.18
60	97.633
61	97.8047
62	98.0159
63	98.3636
64	98.4574
65	98.2486
66	98.5853
67	99.0623
68	97.7613
69	97.8799
70	98.282
71	98.6058
72	98.8225
73	98.1939
74	97.3605
75	97.0352
76	97.2426
77	97.4769
78	97.2134
79	97.6181
80	97.9038
81	97.9267
82	98.2844
83	98.4768
84	98.6783
85	99.0548
86	99.3599
87	99.4992
88	99.8528
89	100.171
90	100.188
91	100.339
92	100.709
93	100.748
94	100.511
95	99.8016
96	99.4012
97	99.5517
98	99.7219
99	100.018
100	100.23
101	100.388
102	100.299
103	100.591
104	100.445
105	100.659
106	100.809
107	101.119
108	101.437
109	101.615
110	101.896
111	102.098
112	102.361
113	102.465
114	102.247
115	99.8826
116	99.6484
117	99.8195
118	99.955
119	100.216
120	100.323
121	100.522
122	100.657
123	100.916
124	101.115
125	101.177
126	101.423
127	101.66
128	101.781
129	102.031
130	101.595
131	101.467
132	101.497
133	101.724
134	101.872
135	102.052
136	101.841
137	101.946
138	102.138
139	101.455
140	101.46
141	101.372
142	100.524
143	100.246
144	99.7639
145	99.4365
146	99.571
147	99.6382
148	99.8518
149	100.058
150	100.169
151	100.379
152	100.549
153	100.671
154	100.872
155	100.875
