frame	x	y	width	height
1	524	71	66	40
2	522	74	63	37
3	517	75	64	40
4	513	78	65	38
5	509	79	65	40
6	505	80	66	42
7	500	80	66	43
8	496	81	67	44
9	491	81	68	46
10	487	82	69	47
11	482	83	70	49
12	478	83	71	50
13	473	85	74	51
14	467	86	76	53
15	462	87	79	54
16	457	88	82	56
17	452	89	84	57
18	447	91	87	59
19	442	92	89	60
20	437	93	92	62
21	434	97	91	60
22	431	100	90	59
23	428	104	90	58
24	425	107	89	57
25	422	111	88	55
26	420	112	92	59
27	417	113	96	62
28	415	113	100	66
29	412	114	104	69
30	409	115	107	73
31	407	115	111	77
32	404	116	115	80
33	402	117	119	84
34	402	120	121	84
35	402	123	123	85
36	402	125	124	86
37	402	128	126	86
38	402	131	128	87
39	401	134	130	88
40	401	137	132	89
41	401	140	134	91
42	401	143	137	93
43	401	146	139	95
44	401	149	142	97
45	401	152	144	99
46	401	155	146	100
47	401	158	149	102
48	399	162	151	102
49	396	166	154	102
50	394	170	156	101
51	392	174	158	101
52	389	177	161	101
53	387	181	163	101
54	385	185	166	100
55	383	190	165	98
56	382	195	165	96
57	380	200	165	94
58	378	206	165	91
59	373	205	170	99
60	367	205	175	106
61	365	211	176	101
62	362	217	176	95
63	360	223	177	90
64	357	229	178	85
65	356	233	175	82
66	354	237	173	78
67	352	238	173	79
68	349	238	174	83
69	345	238	176	87
70	342	238	177	91
71	339	238	178	95
72	336	238	179	100
73	332	238	181	104
74	328	237	181	105
75	323	235	181	106
76	318	234	181	108
77	313	233	181	109
78	308	232	181	110
79	304	231	181	112
80	299	230	181	113
81	294	228	181	114
82	289	227	181	115
83	284	226	181	117
84	280	225	181	118
85	276	223	179	119
86	272	222	177	119
87	268	221	175	120
88	264	220	173	121
89	261	218	171	122
90	257	217	169	122
91	253	216	167	123
92	251	214	166	123
93	249	212	164	123
94	247	211	162	122
95	244	209	161	122
96	242	207	159	122
97	240	206	157	122
98	238	204	156	121
99	239	203	153	119
100	240	202	151	117
101	240	201	149	115
102	241	200	147	112
103	242	199	145	110
104	243	198	142	108
105	244	198	140	105
106	246	195	139	107
107	249	192	138	109
108	252	189	137	110
109	255	187	136	112
110	258	184	135	113
111	261	182	132	111
112	265	180	130	110
113	269	179	127	108
114	273	177	124	106
115	277	176	122	104
116	281	176	120	103
117	285	175	117	102
118	289	174	115	100
119	294	173	113	99
120	298	173	111	98
121	302	172	109	97
122	301	170	108	98
123	305	169	106	96
124	309	167	105	95
125	313	166	103	93
126	317	165	101	92
127	321	163	100	90
128	323	163	98	89
129	326	163	97	88
130	328	163	95	87
131	330	162	94	87
132	332	162	92	86
133	335	162	91	85
134	337	162	89	84
135	341	164	84	79
136	343	164	83	78
137	345	164	82	77
138	347	164	81	76
139	349	164	80	74
140	351	164	79	73
141	353	164	77	72
142	356	164	75	72
143	359	164	74	71
144	361	164	72	70
145	364	164	70	69
146	364	163	70	69
147	365	163	70	69
148	365	162	70	69
149	365	159	71	70
150	365	158	70	69
151	365	158	69	68
152	365	158	67	67
153	365	157	66	66
154	365	157	65	65
155	365	156	64	64
156	365	156	63	63
