frame	x	y	width	height
2	522	72	66	40
3	518	74	66	40
4	513	76	66	40
5	507	76	69	42
6	500	79	69	42
7	497	81	69	42
8	492	83	69	42
9	488	84	69	42
10	483	85	69	42
11	479	86	69	42
12	475	88	69	42
13	469	89	73	44
14	465	91	73	44
15	462	92	73	44
16	456	93	73	44
17	452	94	76	46
18	449	95	76	46
19	445	97	76	46
20	443	99	76	46
21	435	101	80	49
22	432	104	80	49
23	428	105	80	49
24	425	108	80	49
25	424	111	80	49
26	421	113	84	51
27	419	116	84	51
28	417	120	84	51
29	412	122	84	51
30	414	126	84	51
31	413	128	84	51
32	412	129	88	54
33	412	132	88	54
34	414	135	88	54
35	416	137	88	54
36	410	138	93	56
37	407	142	98	59
38	409	145	98	59
39	410	147	102	62
40	409	150	102	62
41	409	153	102	62
42	409	155	108	65
43	405	158	113	68
44	405	162	113	68
45	405	165	119	72
46	405	168	119	72
47	405	172	119	72
48	404	176	119	72
49	405	182	119	72
50	401	183	124	75
51	398	188	124	75
52	396	191	124	75
53	392	193	131	79
54	383	195	137	83
55	383	198	137	83
56	380	201	137	83
57	372	202	144	87
58	371	206	144	87
59	369	210	144	87
60	367	214	144	87
61	366	217	144	87
62	364	220	144	87
63	355	223	144	87
64	353	226	144	87
65	353	229	144	87
66	346	230	151	92
67	339	234	151	92
68	336	235	151	92
69	333	238	151	92
70	329	238	151	92
71	329	239	151	92
72	329	240	151	92
73	328	245	144	87
74	320	244	144	87
75	316	245	144	87
76	310	243	151	92
77	306	242	151	92
78	301	245	144	87
79	295	242	151	92
80	295	243	144	87
81	290	242	144	87
82	290	244	137	83
83	285	244	137	83
84	279	243	137	83
85	276	242	137	83
86	271	241	137	83
87	268	240	137	83
88	261	239	137	83
89	258	237	137	83
90	255	235	137	83
91	251	234	137	83
92	252	235	131	79
93	250	234	131	79
94	244	231	137	83
95	247	230	131	79
96	245	229	131	79
97	245	227	131	79
98	244	224	131	79
99	244	221	131	79
100	244	218	131	79
101	244	216	131	79
102	247	216	124	75
103	249	213	124	75
104	249	211	124	75
105	251	207	124	75
106	252	204	124	75
107	253	203	124	75
108	256	201	124	75
109	257	200	124	75
110	259	198	124	75
111	261	196	124	75
112	264	194	124	75
113	268	192	124	75
114	269	189	124	75
115	272	188	124	75
116	274	186	124	75
117	280	186	119	72
118	282	185	119	72
119	285	184	119	72
120	291	185	113	68
121	296	185	108	65
122	299	184	108	65
123	304	185	102	62
124	307	184	102	62
125	309	182	102	62
126	311	180	102	62
127	314	179	102	62
128	315	178	102	62
129	318	178	102	62
130	319	177	102	62
131	322	177	102	62
132	324	177	102	62
133	328	177	98	59
134	329	176	98	59
135	333	175	93	56
136	333	175	93	56
137	335	175	93	56
138	338	175	88	54
139	340	175	88	54
140	342	174	88	54
141	345	175	84	51
142	346	175	84	51
143	350	175	80	49
144	351	174	80	49
145	352	174	80	49
146	355	175	76	46
147	356	174	76	46
148	356	172	76	46
149	356	172	76	46
150	357	171	76	46
151	357	170	76	46
152	357	170	76	46
153	358	169	73	44
154	357	168	73	44
155	355	166	73	44
