frame	PSR
2	5.91806
3	5.5526
4	5.50034
5	5.77988
6	5.73813
7	5.66089
8	5.759
9	5.75735
10	5.81807
11	5.56476
12	5.36966
13	5.50073
14	4.86772
15	4.8259
16	4.22339
17	4.14234
18	2.77337
19	3.11638
20	2.49785
21	3.82019
22	4.68481
23	4.64016
24	4.88355
25	4.89645
26	4.689
27	5.1938
28	4.72229
29	4.65165
30	5.06365
31	5.24851
32	4.57133
33	4.43932
34	4.76468
35	4.84206
36	4.55191
37	5.20174
38	4.6441
39	4.90011
40	3.88069
41	2.68476
42	2.47605
43	2.89166
44	2.6176
45	4.77165
46	4.48676
47	4.40848
48	4.35688
49	4.84898
50	4.17464
51	4.45613
52	4.42307
53	4.30939
54	4.48645
55	4.78874
56	4.51021
57	4.3429
58	3.98207
59	4.24131
60	4.38252
61	4.6916
62	4.27654
63	4.52509
64	4.20093
65	4.00596
66	4.18627
67	4.51289
68	4.37238
69	3.89524
70	4.08006
71	4.2265
72	4.50698
73	4.81926
74	4.67912
75	4.85692
76	4.5302
77	4.46645
78	4.73
79	4.82527
80	4.29611
81	4.26013
82	4.37314
83	4.21521
84	4.32831
85	4.66446
86	4.14202
87	4.36543
88	4.50306
89	4.50246
90	4.29275
91	4.73181
92	4.7039
93	4.61623
94	4.5235
95	4.71702
96	4.3835
97	4.85078
98	4.51377
99	4.11529
100	4.1251
101	4.14383
102	3.6016
103	3.99218
104	2.24627
105	2.15887
106	4.04555
107	4.7043
108	4.54912
109	4.66653
110	4.73743
111	4.79167
112	4.73221
113	4.68717
114	4.747
115	4.88169
116	4.60341
117	4.57019
118	4.66765
119	4.71901
120	4.50476
121	4.89307
122	4.04225
123	4.42118
124	4.83138
125	4.84288
126	4.73153
127	4.75367
128	3.79224
129	4.13783
130	4.88882
131	4.63682
132	4.60828
133	4.67341
134	4.76379
135	4.77241
136	4.74688
137	4.58156
138	4.42317
139	4.80291
140	4.38085
141	4.48313
142	4.47014
143	4.45019
144	4.59742
145	4.87174
146	4.66966
147	4.45488
148	4.44633
149	4.66335
150	4.63545
151	4.90718
152	4.77938
153	4.67462
154	4.53785
155	4.64603
156	4.55517
157	4.79223
158	4.4569
159	4.26112
160	4.26158
161	4.42544
162	4.35606
163	4.77387
164	4.57936
165	4.56955
166	4.57783
167	4.43525
168	4.12305
169	4.75748
170	4.5956
171	4.30422
172	4.46266
173	4.38881
174	4.39024
175	4.96214
176	4.34659
177	4.38104
178	4.49285
179	4.61715
180	4.47816
181	4.94583
182	4.36875
183	4.32302
184	4.32391
185	4.39921
186	4.31824
187	4.77387
188	4.43959
189	4.51477
190	4.69172
191	4.66203
192	4.65364
193	4.6292
194	4.72319
195	4.45823
196	4.21974
197	4.183
198	3.99618
199	4.40489
200	4.67524
201	4.40824
202	4.45722
203	4.43447
204	4.64504
205	4.44447
206	4.49866
207	4.48992
208	4.30964
209	4.44862
210	4.08544
211	4.06292
212	4.50468
213	3.9879
214	3.92485
215	4.1072
216	4.16082
217	4.2224
218	4.41385
219	4.19263
220	4.25301
221	4.22894
222	4.40791
223	4.20485
224	4.3373
225	4.20218
226	4.1591
227	4.29279
228	4.05648
229	4.08472
230	4.30809
231	3.9967
232	4.02926
233	4.08413
234	3.99799
235	3.97082
236	4.1513
237	4.18023
238	4.24881
239	4.0884
240	4.06739
241	4.25073
242	4.29072
243	4.35428
244	4.27458
245	4.09616
246	3.92584
247	4.13487
248	4.40486
249	4.41342
250	4.16195
251	4.13757
252	3.86
253	4.19772
254	4.57265
255	4.32378
256	4.43864
257	4.67826
258	4.51156
259	4.60363
260	4.63026
261	4.69807
262	4.49781
263	4.52591
264	4.68615
265	4.60419
266	4.67107
267	4.76517
268	4.67128
269	4.55741
270	4.58126
271	4.68781
272	4.78348
273	4.9164
274	4.83609
275	4.65273
276	4.63253
277	4.8874
278	4.79984
279	4.0527
280	4.79541
281	4.89404
282	4.57857
283	4.65202
284	4.69898
285	4.55156
286	4.54829
287	4.39613
288	4.56844
289	4.46433
290	4.70327
291	4.47501
292	4.56836
293	4.42101
294	4.44014
295	4.43962
296	4.76187
297	4.42046
298	4.38255
299	4.38664
300	4.48441
301	4.12293
302	4.84482
303	4.36549
304	4.26272
305	4.43955
306	4.26713
307	4.20977
308	4.64595
309	4.23919
310	4.06207
311	4.34355
312	4.12915
313	4.34991
314	4.64502
315	4.0167
316	4.37875
317	4.28029
318	4.56831
319	4.38189
320	4.75602
321	4.12777
322	4.13904
323	4.1581
324	3.91339
325	4.07117
326	4.77271
327	4.44342
328	4.45618
329	4.45636
330	4.57685
331	4.40113
332	4.62695
333	4.34621
334	4.2974
335	4.04277
336	4.21837
337	3.67709
338	4.45792
339	4.54392
340	4.23026
341	3.99141
342	3.74213
343	3.94994
344	4.24367
345	3.86806
346	4.04295
347	3.85959
348	4.09504
349	4.02414
350	4.28944
351	3.74609
352	3.90769
353	3.47624
354	3.82624
355	3.87424
356	4.11923
357	4.05418
358	3.56077
359	4.01771
360	4.02264
361	3.46575
362	3.62693
363	3.53718
364	3.71912
365	3.96481
366	3.34137
367	3.80632
368	4.34435
369	4.19305
370	3.87751
371	3.66647
372	3.81025
373	3.78581
374	3.90979
375	3.76246
376	3.71039
377	3.66093
378	3.88262
379	3.89471
380	4.11558
381	4.0549
382	4.15164
383	3.91543
384	4.18167
385	3.81036
386	4.37267
387	3.92252
388	4.14288
389	4.17241
390	4.14182
391	4.25871
392	4.15497
393	4.52388
394	4.24911
395	4.22867
396	4.15839
397	4.18098
398	3.93066
399	4.55122
400	4.0061
401	3.93865
402	4.09661
403	3.77827
404	4.32184
405	4.47863
406	4.13148
407	4.11262
408	3.67938
409	3.82552
410	3.57463
411	3.96152
412	3.46455
413	3.79605
414	3.84524
415	3.53032
416	3.88343
417	4.15289
418	3.77993
419	3.9011
420	4.06655
421	4.23347
422	4.22609
423	4.27865
424	4.10107
425	3.88207
426	4.18648
427	4.33355
