frame	ave_fps
2	64.856
3	58.4692
4	48.9768
5	52.1733
6	50.9587
7	51.5811
8	41.2257
9	44.3079
10	47.5773
11	49.1731
12	51.5119
13	54.4258
14	57.1609
15	59.7252
16	62.127
17	64.1481
18	66.2598
19	67.8212
20	69.1771
21	70.1512
22	71.0112
23	71.9166
24	73.0478
25	74.09
26	75.1998
27	66.1867
28	63.0517
29	61.705
30	61.9823
31	62.8383
32	63.396
33	63.4161
34	62.1026
35	62.6868
36	63.3213
37	64.0017
38	64.3827
39	64.8678
40	65.414
41	66.0144
42	66.4694
43	67.125
44	67.5145
45	67.8272
46	68.1266
47	68.2054
48	68.7274
49	69.24
50	69.8212
51	70.3103
52	70.3622
53	67.968
54	68.5689
55	69.2155
56	69.7872
57	70.4131
58	70.8977
59	71.2962
60	71.776
61	72.2355
62	72.6433
63	73.0794
64	73.5969
65	74.1559
66	74.6784
67	75.2014
68	75.7113
69	76.1637
70	76.5951
71	76.3838
72	75.6148
73	75.778
74	75.9324
75	75.7472
76	74.771
77	75.0309
78	75.3176
79	75.7502
80	76.148
81	76.5814
82	77.0155
83	77.2769
84	76.3017
85	76.704
86	77.0961
87	77.4936
88	77.8738
89	78.2475
90	78.4517
91	78.7427
92	78.9724
93	78.0947
94	78.3323
95	78.632
96	78.9047
97	79.2831
98	79.5804
99	79.9334
100	79.8407
101	79.4147
102	79.5966
103	79.8423
104	79.9959
105	80.2546
106	80.5036
107	80.7518
108	81.0713
109	81.3868
110	81.519
111	81.0207
112	81.3122
113	81.6251
114	81.8937
115	82.123
116	82.1893
117	82.2624
118	82.5315
119	82.764
120	82.9723
121	81.4293
122	81.3402
123	80.6984
124	80.8279
125	80.8352
126	81.0684
127	81.3444
128	81.5292
129	81.7493
130	81.721
131	81.0426
132	80.3903
133	80.3316
134	80.326
135	80.4315
136	80.3829
137	80.4923
138	80.6699
139	80.8164
140	81.038
141	81.2018
142	81.4268
143	81.2236
144	81.3817
145	81.5665
146	81.8101
147	82.0617
148	81.6061
149	81.1631
150	81.2273
151	81.3345
152	81.4711
153	81.6347
154	81.7761
155	81.9158
156	82.0774
157	82.2699
158	82.4894
159	82.7097
160	82.9239
161	83.1185
162	83.2584
163	83.4068
164	83.5678
165	83.7216
166	83.9063
167	84.1071
168	84.3203
169	84.5272
170	84.7018
171	84.4506
172	84.5973
173	84.7558
174	84.9103
175	85.1123
176	85.3029
177	85.457
178	85.583
179	85.3953
180	85.535
181	85.6436
182	85.7853
183	85.9316
184	86.0906
185	86.2774
186	86.466
187	86.6449
188	86.7772
189	86.8854
190	87.0416
191	87.2281
192	87.4123
193	87.576
194	87.7428
195	87.8294
196	87.9197
197	88.0184
198	88.1649
199	88.3464
200	88.5086
201	88.6705
202	88.8391
203	88.6474
204	88.6912
205	88.8186
206	88.925
207	89.0561
208	89.174
209	89.3468
210	89.4961
211	89.4137
212	89.5271
213	89.6294
214	89.7553
215	89.8682
216	89.998
217	90.1427
218	90.2891
219	90.4218
220	90.4942
221	90.5513
222	90.6361
223	90.7239
224	90.8238
225	90.802
226	90.885
227	91.0161
228	91.0978
229	91.2416
230	91.3738
231	91.5163
232	91.6398
233	91.7569
234	91.8583
235	91.6659
236	91.8082
237	91.8987
238	91.9014
239	92.0376
240	92.1745
241	92.3087
242	92.306
243	92.4258
244	92.5617
245	92.6872
246	92.7815
247	92.8967
248	93.0259
249	93.1619
250	93.2974
251	93.43
252	93.5023
253	93.5863
254	93.6736
255	93.7973
256	93.889
257	93.9918
258	94.0967
259	94.2202
260	94.341
261	94.4165
262	94.5115
263	94.5767
264	94.6529
265	94.7733
266	94.9042
267	94.5554
268	94.687
269	94.7989
270	94.8749
271	94.9781
272	95.1026
273	95.2317
274	95.3473
275	95.2349
276	95.3318
277	95.4457
278	95.5368
279	95.6211
280	95.6979
281	95.8202
282	95.9363
283	96.0113
284	96.1081
285	96.2314
286	96.3407
287	96.4585
288	96.5442
289	96.6264
290	96.7005
291	96.8068
292	96.9255
293	97.0441
294	97.126
295	97.1777
296	97.2671
297	97.3844
298	97.4901
299	97.5522
300	97.6066
301	97.4458
302	97.3634
303	97.4608
304	97.5256
305	97.5897
306	97.6588
307	97.7144
308	97.449
309	97.5559
310	97.6339
311	97.71
312	97.788
313	97.8953
314	97.9997
315	98.0933
316	98.1628
317	98.2312
318	98.303
