frame	x	y	width	height
1	442	334	51	38
2	441	333	51	39
3	440	333	52	39
4	439	333	52	39
5	438	332	52	39
6	437	332	52	39
7	436	332	53	40
8	436	331	53	40
9	435	331	53	40
10	434	331	54	40
11	433	330	54	40
12	432	330	54	41
13	431	330	54	41
14	430	329	55	41
15	428	328	55	42
16	426	327	56	42
17	424	325	56	43
18	422	324	56	43
19	421	323	57	43
20	419	322	57	44
21	417	321	58	44
22	415	320	58	45
23	414	319	58	45
24	412	318	59	46
25	410	317	59	46
26	412	316	60	46
27	414	315	60	46
28	416	314	61	46
29	418	313	61	46
30	420	312	61	46
31	421	311	62	46
32	423	310	62	46
33	425	309	63	46
34	427	309	63	46
35	429	308	63	45
36	431	307	64	45
37	433	306	64	45
38	436	304	64	46
39	438	302	64	46
40	441	301	64	47
41	443	299	63	48
42	446	297	63	48
43	448	295	63	49
44	451	294	63	49
45	454	292	63	50
46	456	290	62	50
47	459	289	62	51
48	461	287	62	51
49	461	286	62	52
50	464	282	62	53
51	464	278	63	54
52	465	274	64	55
53	465	271	65	56
54	465	267	65	58
55	466	264	66	59
56	464	259	67	60
57	462	254	67	61
58	461	250	68	62
59	459	245	69	63
60	457	240	70	64
61	455	236	70	65
62	456	232	71	65
63	456	229	71	65
64	456	225	72	65
65	456	222	72	65
66	456	218	73	65
67	456	215	74	65
68	456	211	74	65
69	453	209	75	65
70	451	207	75	65
71	448	205	76	65
72	445	204	76	65
73	442	202	77	65
74	445	200	77	66
75	447	198	77	66
76	449	197	77	66
77	452	195	77	66
78	455	195	77	67
79	459	196	77	67
80	469	200	77	67
81	482	201	77	67
82	496	203	77	68
83	513	207	77	68
84	529	210	78	68
85	527	210	78	68
86	537	217	77	68
87	546	224	77	68
88	549	228	77	68
89	551	231	77	68
90	553	236	77	68
91	555	240	76	68
92	564	247	76	68
93	572	254	76	68
94	581	260	76	68
95	586	266	76	68
96	590	273	76	68
97	590	274	75	68
98	594	278	76	69
99	597	281	76	69
100	601	285	76	69
101	605	288	76	69
102	607	289	77	69
103	609	290	77	69
104	611	292	77	69
105	613	293	77	69
106	615	294	78	69
107	617	296	78	70
108	619	297	78	70
