frame	x	y	width	height
2	442	334	51	38
3	440	334	51	38
4	440	333	51	38
5	440	333	51	38
6	439	333	51	38
7	439	333	51	38
8	439	333	51	38
9	438	332	51	38
10	438	332	51	38
11	436	332	51	38
12	434	331	54	40
13	434	331	54	40
14	432	330	54	40
15	427	330	54	40
16	426	329	54	40
17	424	328	54	40
18	433	326	54	40
19	432	325	54	40
20	448	323	54	40
21	419	322	56	42
22	417	322	56	42
23	415	321	56	42
24	414	320	56	42
25	413	320	56	42
26	413	318	56	42
27	414	317	56	42
28	415	315	56	42
29	419	314	56	42
30	424	314	54	40
31	424	314	54	40
32	428	313	54	40
33	432	312	54	40
34	436	312	54	40
35	436	309	56	42
36	440	308	56	42
37	440	308	56	42
38	443	307	56	42
39	446	306	56	42
40	452	306	54	40
41	453	301	56	42
42	459	293	56	42
43	458	294	56	42
44	465	293	56	42
45	460	298	56	42
46	463	297	56	42
47	464	295	59	44
48	465	289	62	46
49	465	289	62	46
50	468	285	62	46
51	470	281	62	46
52	472	276	62	46
53	472	272	62	46
54	472	268	62	46
55	472	268	62	46
56	473	263	62	46
57	472	257	62	46
58	468	252	62	46
59	466	248	62	46
60	466	243	62	46
61	466	243	62	46
62	465	239	62	46
63	466	234	62	46
64	467	230	62	46
65	468	226	62	46
66	469	222	62	46
67	469	222	62	46
68	467	220	62	46
69	463	216	62	46
70	460	214	62	46
71	458	211	62	46
72	457	209	62	46
73	456	208	62	46
74	455	206	62	46
75	455	206	62	46
76	456	204	65	48
77	459	202	68	51
78	466	203	68	51
79	466	203	68	51
80	478	204	68	51
81	491	206	68	51
82	503	210	68	51
83	518	214	68	51
84	534	219	68	51
85	535	219	68	51
86	544	223	72	53
87	552	228	72	53
88	558	234	72	53
89	560	240	72	53
90	562	246	72	53
91	562	247	72	53
92	569	253	72	53
93	577	260	72	53
94	586	267	72	53
95	594	273	72	53
96	599	279	72	53
97	599	279	72	53
98	605	285	72	53
99	609	289	72	53
100	613	292	72	53
101	618	295	72	53
102	623	297	72	53
103	623	298	72	53
104	623	300	72	53
105	639	300	68	51
106	630	304	68	51
107	630	305	68	51
108	630	306	68	51
109	630	307	68	51
110	631	307	68	51
111	632	308	68	51
112	632	308	68	51
113	633	309	68	51
114	634	308	68	51
115	634	308	68	51
116	635	308	72	53
117	636	307	72	53
118	636	307	72	53
119	634	306	72	53
120	630	305	72	53
121	629	305	72	53
122	627	303	72	53
123	626	304	68	51
124	625	304	68	51
125	624	305	68	51
126	623	305	68	51
127	622	305	68	51
128	616	305	68	51
129	615	303	72	53
130	614	302	72	53
131	612	302	72	53
132	611	303	72	53
133	611	303	72	53
134	611	304	72	53
135	610	305	72	53
136	609	305	72	53
137	607	306	72	53
138	603	306	72	53
139	602	307	72	53
140	598	306	72	53
141	594	306	72	53
142	589	305	72	53
143	584	305	72	53
144	579	304	72	53
145	579	304	72	53
146	577	305	72	53
147	572	305	72	53
148	568	305	72	53
149	565	304	72	53
150	561	304	72	53
151	560	304	72	53
152	558	304	72	53
153	556	303	72	53
154	554	304	72	53
155	552	303	72	53
156	550	303	72	53
157	549	303	72	53
158	546	302	72	53
159	542	302	72	53
160	538	301	72	53
161	534	301	72	53
162	530	300	72	53
163	530	299	72	53
164	527	298	72	53
165	524	297	72	53
166	519	296	72	53
167	515	295	72	53
168	511	291	72	53
169	510	291	72	53
170	504	290	72	53
171	498	287	72	53
172	492	284	72	53
173	485	280	72	53
174	477	276	72	53
175	477	276	72	53
176	469	273	72	53
177	462	270	72	53
178	455	265	72	53
179	448	262	72	53
180	441	258	72	53
181	440	258	72	53
182	432	254	72	53
183	423	250	72	53
184	415	246	72	53
185	406	243	72	53
186	398	240	72	53
187	398	240	72	53
188	389	237	72	53
189	380	236	72	53
190	373	235	72	53
191	366	235	72	53
192	360	235	72	53
193	352	236	72	53
