frame	PSR
2	4.86111
3	4.11507
4	3.29844
5	3.30607
6	3.39685
7	3.40951
8	3.37971
9	2.75534
10	3.2669
11	3.53101
12	3.12691
13	3.08743
14	2.67922
15	2.497
16	2.67866
17	2.76745
18	2.60285
19	3.01848
20	2.9571
21	3.28546
22	3.00337
23	3.25957
24	3.10002
25	2.80413
26	2.62093
27	2.74868
28	3.33951
29	3.7214
30	3.65639
31	3.63677
32	3.36121
33	3.47726
34	3.32561
35	2.95576
36	2.94389
37	2.52036
38	3.08912
39	3.18318
40	3.29366
41	3.47619
42	3.55108
43	3.35327
44	3.36203
45	3.47768
46	3.77462
47	3.26988
48	3.2099
49	3.01085
50	2.77261
51	3.06406
52	3.06965
53	3.03472
54	3.20443
55	3.45621
56	3.4906
57	3.34959
58	3.02298
59	1.94151
60	2.9235
61	3.37541
62	3.11304
63	3.16284
64	3.31395
65	3.00056
66	2.75443
67	2.94205
68	3.09493
69	3.08964
70	3.35777
71	2.9898
72	3.1919
73	2.88671
74	2.84532
75	2.61094
76	2.68491
77	2.69883
78	2.67881
79	2.79804
80	2.85288
81	2.93467
82	2.95417
83	3.21593
84	3.35686
85	3.53658
86	3.28552
87	3.38607
88	3.48007
89	3.53889
90	3.67083
91	3.50172
92	3.48038
93	3.60022
94	3.75789
95	3.71864
96	3.42028
97	3.07531
98	2.93111
99	2.68825
100	3.01027
101	2.9392
102	3.0114
103	3.102
104	3.16923
105	3.36461
106	3.77579
107	3.56814
108	3.71356
109	3.70449
110	3.55008
111	3.64471
112	3.60531
113	3.46674
114	3.42567
115	3.55906
116	3.55685
117	3.71534
118	3.77503
119	3.58102
120	3.60109
121	3.41829
122	3.41181
123	3.39584
124	3.49306
125	3.50844
126	3.51927
127	3.70771
128	3.7935
129	4.0983
130	3.91683
131	4.05808
132	3.72866
133	3.52042
134	3.42902
135	3.39075
136	3.3244
137	3.4182
138	3.57873
139	3.61426
140	3.59358
141	3.50932
142	3.64016
143	3.72626
144	3.84829
145	3.72604
146	3.43756
147	3.68465
148	3.80344
149	3.9137
150	3.73458
151	3.89405
152	3.94136
153	3.92389
154	3.6982
155	3.6923
156	3.5782
157	3.31973
158	3.01524
159	2.84997
160	2.82194
161	2.98533
162	3.47802
163	3.43721
164	3.55586
165	3.62418
166	3.92732
167	3.8619
168	4.02761
169	4.02512
170	3.89914
171	4.10047
172	4.26805
173	4.21435
174	4.04292
175	4.05808
176	4.24272
177	4.18948
178	3.95943
179	3.92513
180	4.12525
181	4.05846
182	4.04672
183	3.86242
184	3.82597
185	3.87909
186	4.11058
187	4.00527
188	4.11774
189	4.08885
190	4.02353
191	4.03521
192	3.43895
193	3.19963
194	3.43313
195	3.8104
196	3.74265
197	3.77165
198	4.05744
199	3.88807
200	3.92271
201	4.07633
202	3.87835
203	3.70429
204	3.95383
205	4.19169
206	4.13036
207	3.72316
208	3.71446
209	3.42737
210	3.54256
211	3.31403
212	3.18551
213	3.34596
214	3.38624
215	3.65969
216	3.61623
217	3.39852
218	3.48119
219	3.62784
220	3.67567
221	3.92347
222	3.64653
223	3.44374
224	3.2194
225	3.17622
226	2.78793
227	3.02606
228	2.86856
229	2.75479
230	2.67984
231	2.71022
232	2.90503
233	3.01568
234	2.96834
235	3.02358
236	2.93071
237	2.87864
238	3.2046
239	3.10847
240	2.82709
241	2.61905
242	2.6545
243	2.66741
244	2.84728
245	2.86239
246	3.0155
247	3.27673
248	3.19687
249	3.2764
250	3.29829
251	3.33105
252	3.5646
253	3.57756
254	3.41014
255	3.49464
256	3.54132
257	3.49691
258	3.50852
259	3.64187
260	3.62323
261	3.43739
262	3.20197
263	3.12854
264	3.16109
265	3.16721
266	3.29796
267	3.3903
268	3.52341
269	3.50022
270	3.60478
271	3.74071
272	3.84235
273	3.83565
274	3.55203
275	3.46434
276	3.49105
277	3.4404
278	3.68316
279	3.63137
280	3.5494
281	3.28939
282	3.56637
283	3.61181
284	3.50094
285	3.632
286	3.36354
287	3.29091
288	3.21021
289	3.06513
290	2.76472
291	2.63859
292	3.03115
293	3.38353
294	3.62002
295	3.50137
296	3.56295
297	3.53521
298	3.68329
299	3.85055
300	3.8941
301	3.92347
302	3.94031
303	3.77432
304	3.63723
305	3.46113
306	3.44256
307	3.32815
308	3.34214
309	3.37335
310	3.16989
311	3.18217
312	2.7939
313	2.82899
314	2.9524
315	3.00255
316	2.96546
317	2.87848
318	3.12169
319	3.2007
320	3.20393
321	3.32998
322	3.43364
323	3.56509
324	3.69256
325	3.67387
326	3.71131
327	3.61738
328	3.57738
329	3.66384
330	3.6104
331	3.57449
332	3.49526
333	3.4786
334	3.44048
335	3.4816
336	3.48301
337	3.59526
338	3.62994
339	3.57225
340	3.43778
341	3.42802
342	3.42834
343	3.3683
344	3.43532
345	3.58475
346	3.5901
347	3.44033
348	3.57816
349	3.66197
350	3.63931
351	3.52918
352	3.35214
353	3.24044
354	2.88545
355	2.73298
356	2.59636
357	2.63763
358	2.68424
359	2.64902
360	2.91427
361	3.16994
362	2.81789
363	2.93847
364	2.81375
