frame	ave_fps
2	45.5378
3	50.0794
4	48.6131
5	48.4969
6	50.2061
7	49.504
8	48.3956
9	52.2042
10	55.6422
11	58.3626
12	60.6836
13	63.1683
14	65.3536
15	66.8877
16	68.574
17	70.41
18	72.061
19	73.2865
20	74.5024
21	75.8469
22	77.1503
23	77.8666
24	78.6622
25	79.8133
26	80.4418
27	76.2496
28	76.3822
29	76.2195
30	76.1633
31	76.0763
32	76.0733
33	76.1652
34	74.5285
35	74.6606
36	75.2947
37	75.906
38	76.3422
39	76.8801
40	77.5061
41	78.1385
42	78.7246
43	79.2122
44	79.8273
45	80.2804
46	80.7526
47	81.2117
48	81.7791
49	82.18
50	82.5496
51	83.0467
52	83.517
53	83.8852
54	84.2708
55	84.4168
56	84.8665
57	85.1513
58	85.4565
59	85.7657
60	86.1508
61	86.2947
62	84.5633
63	84.5062
64	84.5316
65	83.7556
66	83.3199
67	80.2557
68	77.6374
69	77.3124
70	77.5067
71	77.6436
72	77.7756
73	78.0235
74	78.3563
75	78.5731
76	78.741
77	78.8869
78	79.1979
79	79.4227
80	79.5239
81	79.7049
82	79.8206
83	80.1008
84	80.3671
85	80.524
86	80.6617
87	80.8541
88	81.1283
89	81.3019
90	81.4778
91	80.9974
92	81.262
93	81.4861
94	81.6133
95	81.7634
96	81.9882
97	82.2145
98	82.3568
99	82.5196
100	81.9493
101	82.0716
102	82.1777
103	82.1185
104	82.1294
105	82.2547
106	82.4592
107	82.6684
108	82.7603
109	82.8698
110	82.9821
111	83.1655
112	83.3697
113	83.5289
114	83.682
115	83.8796
116	84.0575
117	84.2181
118	84.3624
119	84.5587
120	84.7188
121	84.8628
122	85.0688
123	85.2361
124	85.3656
125	85.4631
126	85.6542
127	85.5598
128	85.1097
129	85.2317
130	85.4055
131	85.5699
132	85.6955
133	85.8387
134	85.9467
135	86.117
136	86.2515
137	85.9251
138	86.0709
139	86.1596
140	86.2738
141	86.4369
142	86.6099
143	86.7101
144	86.7365
145	86.8983
146	87.0284
147	87.1033
148	87.1796
149	87.3321
150	87.5006
151	87.625
152	87.7368
153	87.8756
154	88.0182
155	88.1284
156	88.2622
157	88.4036
158	88.4976
159	88.5963
160	88.7148
161	88.8512
162	88.889
163	88.9612
164	89.018
165	88.8784
166	88.4185
167	88.4836
168	88.5745
169	88.6996
170	88.8135
171	88.9121
172	88.9922
173	89.1256
174	89.24
175	88.8309
176	88.9427
177	89.0358
178	89.0244
179	89.1212
180	89.2524
181	89.3089
182	89.4002
183	89.5078
184	89.624
185	89.7064
186	89.7986
187	89.8935
188	89.988
189	90.0433
190	90.1443
191	90.2544
192	90.3352
193	90.3969
194	90.5064
195	90.5689
196	90.2571
197	90.3428
198	90.4088
199	90.484
200	90.5877
201	90.6844
202	90.7502
203	90.147
204	90.0274
205	90.1019
206	90.0753
207	90.1286
208	90.2121
209	90.2741
210	90.3313
211	90.429
212	90.005
213	90.0913
214	90.1883
215	90.2608
216	90.3208
217	90.422
218	90.4649
219	90.5181
220	90.596
221	90.6595
222	90.7381
223	90.8013
224	90.8593
225	90.9509
226	91.023
227	91.0662
228	91.1482
229	91.2346
230	91.2993
231	91.317
232	91.3309
233	91.4158
234	91.4711
235	91.5272
236	91.6107
237	91.6735
238	91.6998
239	91.7604
240	91.6374
241	91.4025
242	91.4535
243	91.5039
244	91.558
245	91.5848
246	91.6362
247	91.6804
248	91.7694
249	91.8454
250	91.6143
251	91.6754
252	91.7083
253	91.7129
254	91.7492
255	91.8256
256	91.8957
257	91.9444
258	92.0131
259	92.0292
260	92.1013
261	92.1483
262	92.2003
263	92.2702
264	92.3271
265	92.3818
266	92.4586
267	92.5328
268	92.5864
269	92.6304
270	92.6996
271	92.7655
272	92.805
273	92.8563
274	92.928
275	92.9705
276	93.0175
277	93.073
278	93.1314
279	92.7191
280	92.6833
281	92.7226
282	92.7838
283	92.8089
284	92.8533
285	92.8673
286	92.9246
287	92.9776
288	92.6476
289	92.6939
290	92.7542
291	92.7611
292	92.7854
293	92.8452
294	92.8957
295	92.9391
296	92.9787
297	93.0316
298	93.0672
299	93.1074
300	93.146
301	93.2098
302	93.2354
303	93.2742
304	93.3169
305	93.3643
306	93.3872
307	93.4245
308	93.4879
309	93.5412
310	93.5756
311	93.5841
312	93.6034
313	93.6578
314	93.6911
315	93.7128
316	93.782
317	93.4242
318	93.43
319	93.4713
320	93.5035
321	93.5562
322	93.5931
323	93.62
324	93.529
325	93.4651
326	93.3624
327	93.3623
328	92.8325
329	92.8653
330	92.9122
331	92.9618
332	92.9678
333	92.998
334	93.0382
335	93.0892
336	93.0775
337	93.1144
338	93.1611
339	93.2048
340	93.2192
341	93.2412
342	93.2956
343	93.3325
344	93.358
345	93.3472
346	93.4042
347	93.4484
348	93.482
349	93.5268
350	93.578
351	93.5985
352	93.458
353	93.2027
354	93.2215
355	93.241
356	93.268
357	93.2976
358	93.3302
359	93.352
360	93.3625
361	93.0924
362	93.1013
363	93.1533
364	93.1902
