frame	x	y	width	height
1	225	135	60	70
2	224	135	60	69
3	223	135	60	69
4	222	136	60	69
5	219	131	60	68
6	216	127	60	68
7	214	123	60	68
8	211	119	60	68
9	208	115	60	67
10	206	111	60	67
11	203	107	60	67
12	201	103	60	67
13	200	101	60	66
14	199	100	60	66
15	199	98	60	66
16	198	97	60	65
17	197	96	60	65
18	197	94	60	65
19	196	93	60	65
20	195	92	60	64
21	195	90	60	64
22	194	89	60	64
23	194	88	61	64
24	194	91	61	64
25	195	94	61	64
26	196	97	61	65
27	197	100	60	65
28	198	103	61	65
29	199	107	61	66
30	200	104	60	66
31	201	101	61	66
32	203	98	61	66
33	204	95	61	66
34	206	92	61	67
35	207	87	61	67
36	209	83	61	68
37	210	78	61	68
38	212	74	62	69
39	212	75	62	69
40	212	77	62	70
41	212	79	62	70
42	212	81	62	71
43	212	83	62	71
44	212	85	62	72
45	213	87	63	73
46	216	93	60	69
47	219	100	58	66
48	220	105	57	67
49	222	111	56	69
50	223	117	55	71
51	225	123	55	73
52	227	120	55	73
53	229	117	55	72
54	231	115	55	73
55	233	108	55	73
56	235	102	56	74
57	237	96	56	74
58	239	90	57	75
59	240	90	56	73
60	241	90	55	71
61	243	90	54	69
62	244	90	53	67
63	246	90	53	65
64	245	92	54	65
65	245	94	55	66
66	244	96	56	67
67	244	98	56	68
68	244	101	58	69
69	245	102	57	70
70	246	103	57	72
71	247	104	56	74
72	249	105	56	76
73	250	106	55	78
74	251	107	55	80
75	253	108	55	82
76	251	106	57	81
77	249	104	60	80
78	247	102	62	79
79	246	101	65	78
80	248	93	64	76
81	250	86	63	75
82	253	79	62	74
83	255	72	61	73
84	258	65	61	72
85	256	64	61	72
86	255	63	62	72
87	254	62	63	72
88	255	63	62	72
89	256	64	61	72
90	258	66	61	73
91	259	67	60	74
92	260	68	59	74
93	262	70	59	75
94	259	73	60	76
95	257	77	62	76
96	255	81	64	78
97	253	85	65	79
98	251	89	67	79
99	249	93	69	81
100	243	95	69	79
101	237	97	70	78
102	234	89	70	76
103	231	82	72	76
104	229	75	73	75
105	233	66	71	72
106	237	57	69	70
107	240	60	67	67
108	244	63	66	65
109	248	66	65	63
110	248	70	64	63
111	249	74	64	63
112	250	78	64	63
113	251	82	64	63
114	252	86	64	64
115	253	88	64	65
116	250	88	64	67
117	248	88	66	70
118	246	88	67	72
119	244	88	67	75
120	242	88	69	77
121	240	88	70	80
122	238	89	71	79
123	237	91	73	79
124	236	92	74	79
125	235	94	76	79
126	239	87	73	78
127	244	80	70	78
128	248	73	67	78
129	253	66	64	78
130	258	59	62	78
131	260	65	61	76
132	263	72	61	73
133	266	78	60	72
134	269	85	60	70
135	272	92	60	68
136	270	92	60	69
137	268	93	61	70
138	267	93	62	71
139	265	94	62	72
140	263	94	63	73
141	262	95	64	75
142	255	97	66	75
143	249	100	69	76
144	243	102	72	76
145	237	105	75	77
146	231	108	78	78
147	232	104	76	77
148	233	100	75	76
149	234	96	74	75
150	236	92	73	75
151	238	85	72	74
152	240	78	71	73
153	242	71	70	73
154	253	68	68	69
155	252	69	67	66
156	254	75	66	62
157	256	82	65	59
158	254	89	66	59
159	253	96	68	60
160	252	103	70	61
161	251	100	68	64
162	250	97	66	66
163	250	95	65	70
164	244	93	67	72
165	238	92	70	75
166	232	90	72	77
167	226	89	75	80
168	223	93	74	78
169	221	97	74	77
170	221	95	74	78
171	222	94	74	79
172	222	92	74	80
173	223	91	74	81
174	224	90	75	83
175	226	83	71	81
176	229	76	68	79
177	231	73	70	77
178	233	70	73	75
179	235	67	76	73
180	236	71	75	71
181	237	75	75	70
182	238	79	75	69
183	239	83	75	68
184	240	87	75	67
185	241	92	75	66
186	239	93	74	70
187	237	95	74	74
188	235	96	73	78
189	234	98	73	82
190	231	98	73	82
191	228	98	74	82
192	225	98	75	83
193	222	98	75	83
194	219	98	76	83
195	216	99	77	84
196	216	91	76	83
197	216	84	75	83
198	216	77	75	83
199	216	69	74	83
200	216	62	73	83
201	216	55	73	83
202	215	53	73	82
203	214	52	74	81
204	214	51	75	81
205	213	50	76	80
206	213	49	77	80
207	213	52	76	79
208	213	56	75	79
209	213	60	75	79
210	213	64	74	79
211	214	68	74	79
212	214	72	73	78
213	215	77	73	77
214	216	82	73	76
215	217	87	73	75
216	218	91	73	74
217	219	96	73	73
218	220	101	73	72
219	221	106	73	71
220	221	99	74	72
221	222	93	75	74
222	223	86	76	75
223	224	80	77	77
224	224	74	78	78
225	225	67	79	80
226	226	61	80	81
227	227	55	81	83
228	229	49	80	82
229	231	44	79	81
230	233	38	79	81
231	235	33	78	80
232	238	28	78	80
233	239	28	78	81
234	240	28	80	82
235	242	29	81	84
236	243	29	82	85
237	245	30	83	87
238	244	34	84	88
239	243	39	84	90
240	242	44	86	92
241	241	49	87	93
242	240	54	87	95
243	240	59	89	97
244	236	54	88	95
245	232	50	86	93
246	228	45	86	91
247	224	41	85	89
248	220	36	83	87
249	217	32	83	86
250	213	32	82	86
251	209	32	82	87
252	205	33	81	88
253	201	33	81	89
254	197	34	81	90
255	193	37	81	89
256	189	41	81	88
257	186	45	81	88
258	182	48	81	87
259	178	52	81	87
260	175	56	81	86
261	171	59	81	86
262	167	63	81	85
263	164	67	82	85
264	163	71	81	86
265	162	75	80	86
266	162	80	80	88
267	166	73	79	89
268	170	67	79	90
269	174	60	78	91
270	178	54	78	92
271	182	47	77	93
272	186	41	77	94
273	190	34	76	95
274	194	28	76	96
275	196	25	79	95
276	198	23	83	95
277	200	21	86	94
278	202	19	90	94
279	205	17	94	94
280	207	20	93	94
281	209	23	93	94
282	212	26	92	95
283	214	29	92	95
284	217	32	92	96
285	230	38	92	96
286	230	46	92	97
287	225	54	92	98
288	223	58	91	97
289	221	62	90	96
290	219	66	89	95
291	217	71	89	94
292	211	61	89	94
293	205	51	90	94
294	199	42	91	95
295	193	32	92	95
296	188	23	93	96
297	183	22	91	93
298	179	22	90	91
299	175	21	88	89
300	171	21	87	87
301	170	26	85	85
302	170	31	84	83
303	167	34	83	83
304	165	37	83	83
305	163	41	83	83
306	160	44	83	83
307	158	47	83	82
308	156	51	83	83
309	154	55	82	84
310	152	60	82	84
311	150	65	82	86
312	148	70	82	87
313	146	75	82	87
314	144	80	82	89
315	148	69	80	89
316	153	58	78	90
317	158	47	76	90
318	163	36	74	91
319	168	26	73	92
320	171	22	73	92
321	174	18	74	92
322	177	14	75	92
323	178	14	75	92
324	179	15	76	92
325	180	15	77	92
326	181	16	78	93
327	181	19	78	92
328	182	23	79	92
329	183	27	80	91
330	184	30	80	91
331	185	34	81	90
332	186	38	82	90
333	187	42	83	90
334	186	45	82	91
335	186	48	82	92
336	185	51	81	93
337	185	54	81	94
338	185	58	81	96
339	185	54	79	94
340	185	51	78	93
341	185	47	77	92
342	186	44	76	91
343	186	41	75	90
344	186	37	74	89
345	186	34	73	88
346	187	31	72	87
347	184	30	73	87
348	182	30	75	88
349	180	30	76	89
350	178	30	77	89
351	176	30	79	90
352	174	30	81	91
353	172	35	78	88
354	171	40	76	85
355	170	45	74	82
356	168	50	72	79
357	167	55	70	76
358	166	60	68	73
359	162	67	66	73
360	158	75	64	72
361	155	82	63	73
362	151	90	61	73
363	148	98	60	73
364	144	101	59	75
365	140	105	59	78
